Timestamp (us),Percentage (%),Voltage (V),Charging Status
9680062630,81.619370,3.816194,0.000000
9681063161,81.613998,3.816140,0.000000
9682063694,81.608627,3.816086,0.000000
9683064225,81.599220,3.815992,0.000000
9684064758,81.611305,3.816113,0.000000
9685065289,81.596535,3.815965,0.000000
9686065830,81.587143,3.815871,0.000000
9687066361,81.572365,3.815724,0.000000
9688066892,81.585800,3.815858,0.000000
9689067425,81.573715,3.815737,0.000000
9690067958,81.580421,3.815804,0.000000
9691068489,81.553566,3.815535,0.000000
9692069020,81.571030,3.815711,0.000000
9693069572,81.577736,3.815777,0.000000
9694070103,81.568336,3.815683,0.000000
9695070635,81.558937,3.815589,0.000000
9696071166,81.548187,3.815482,0.000000
9697071703,81.544167,3.815442,0.000000
9698072234,81.521347,3.815213,0.000000
9699072765,81.534775,3.815348,0.000000
9700073296,81.525375,3.815254,0.000000
9701073831,81.514626,3.815146,0.000000
9702074363,81.533424,3.815334,0.000000
9703074894,81.510605,3.815106,0.000000
9704075427,81.524033,3.815240,0.000000
9705075971,81.507912,3.815079,0.000000
9706076502,81.509262,3.815093,0.000000
9707077033,81.510597,3.815106,0.000000
9708077563,81.505226,3.815053,0.000000
9709078100,81.490456,3.814904,0.000000
9710078634,81.490456,3.814904,0.000000
9711079165,81.506569,3.815066,0.000000
9712079715,81.495819,3.814958,0.000000
9713080246,81.490456,3.814905,0.000000
9714080777,81.502541,3.815025,0.000000
9715081308,81.490456,3.814904,0.000000
9716081851,81.501198,3.815012,0.000000
9717082384,81.503883,3.815039,0.000000
9718082918,81.473000,3.814730,0.000000
9719083454,81.463600,3.814636,0.000000
9720083984,81.462257,3.814623,0.000000
9721084515,81.464951,3.814650,0.000000
9722085045,81.462250,3.814622,0.000000
9723085576,81.460907,3.814609,0.000000
9724086113,81.450172,3.814502,0.000000
9725086647,81.451508,3.814515,0.000000
9726087180,81.413918,3.814139,0.000000
9727087714,81.413918,3.814139,0.000000
9728088248,81.416603,3.814166,0.000000
9729088782,81.419296,3.814193,0.000000
9730089314,81.434059,3.814341,0.000000
9731089861,81.413910,3.814139,0.000000
9732090391,81.423317,3.814233,0.000000
9733090922,81.411240,3.814112,0.000000
9734091456,81.396461,3.813965,0.000000
9735091997,81.399147,3.813992,0.000000
9736092528,81.383026,3.813831,0.000000
9737093059,81.388397,3.813884,0.000000
9738093590,81.388405,3.813884,0.000000
