Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9679679466,-0.238634,1.017460,-0.431036
9679700091,-0.189634,0.870460,-0.578036
9679720714,-0.189634,0.919460,-0.578036
9679741342,-0.140634,0.870460,-0.529036
9679761971,-0.091634,0.870460,-0.578036
9679782599,-0.140634,0.919460,-0.627036
9679803228,-0.140634,0.919460,-0.578036
9679823857,-0.140634,0.870460,-0.529036
9679844488,-0.091634,0.870460,-0.480036
9679865119,-0.042634,0.870460,-0.382036
9679885750,-0.091634,0.870460,-0.480036
9679906381,-0.140634,0.919460,-0.480036
9679927012,-0.140634,0.870460,-0.578036
9679947642,-0.140634,0.919460,-0.529036
9679968273,-0.140634,0.919460,-0.480036
9679988904,-0.091634,0.870460,-0.480036
9680009535,-0.189634,0.919460,-0.480036
9680030165,-0.091634,0.870460,-0.480036
9680050795,-0.091634,0.821460,-0.578036
9680071425,-0.091634,0.821460,-0.480036
9680092056,-0.042634,0.870460,-0.431036
9680112687,-0.140634,0.968460,-0.431036
9680133318,-0.091634,0.919460,-0.529036
9680153949,-0.091634,0.870460,-0.627036
9680174580,-0.042634,0.870460,-0.578036
9680195210,-0.091634,0.870460,-0.627036
9680215842,-0.042634,0.772460,-0.578036
9680236474,-0.091634,0.870460,-0.529036
9680257105,0.006366,0.821460,-0.627036
9680277736,-0.042634,0.821460,-0.529036
9680298368,-0.091634,0.919460,-0.578036
9680318999,-0.140634,1.017460,-0.480036
9680339629,-0.091634,0.919460,-0.480036
9680360260,-0.091634,0.919460,-0.529036
9680380891,-0.091634,0.870460,-0.480036
9680401522,-0.042634,0.870460,-0.480036
9680422153,-0.042634,0.919460,-0.529036
9680442785,-0.042634,0.821460,-0.529036
9680463417,-0.091634,0.870460,-0.578036
9680484049,-0.042634,0.870460,-0.578036
9680504679,-0.042634,0.870460,-0.529036
9680525307,-0.091634,0.870460,-0.578036
9680545933,-0.042634,0.870460,-0.578036
9680566560,0.006366,0.870460,-0.578036
9680607810,-0.189634,0.870460,-0.578036
9680628436,-0.091634,0.870460,-0.578036
9680649062,-0.091634,0.772460,-0.627036
9680669689,-0.091634,0.821460,-0.578036
9680690317,-0.140634,0.919460,-0.480036
9680710945,-0.140634,0.919460,-0.529036
9680731572,-0.140634,0.968460,-0.431036
9680752200,-0.091634,0.772460,-0.529036
9680772827,-0.189634,0.870460,-0.480036
9680793453,-0.140634,0.919460,-0.480036
9680814080,-0.189634,1.017460,-0.382036
9680834706,-0.091634,0.821460,-0.431036
9680855332,-0.042634,0.919460,-0.431036
9680875960,-0.189634,0.968460,-0.480036
9680896591,-0.091634,0.821460,-0.431036
9680917220,-0.091634,0.919460,-0.431036
9680937852,-0.140634,1.017460,-0.431036
9680958484,-0.091634,0.870460,-0.382036
9680979113,-0.042634,0.919460,-0.529036
9680999744,-0.140634,0.968460,-0.529036
9681020374,-0.091634,0.919460,-0.480036
9681041008,-0.042634,1.017460,-0.382036
9681061634,-0.042634,0.919460,-0.333036
9681082264,-0.042634,0.968460,-0.333036
9681102895,-0.189634,0.968460,-0.382036
9681123561,-0.140634,0.968460,-0.431036
9681144156,-0.140634,0.919460,-0.333036
9681164786,-0.091634,0.870460,-0.333036
9681185415,-0.042634,0.870460,-0.382036
9681206046,-0.091634,0.968460,-0.431036
9681226675,-0.091634,0.968460,-0.578036
9681247304,0.006366,0.870460,-0.480036
9681267934,0.006366,0.919460,-0.578036
9681288564,-0.042634,0.919460,-0.480036
9681309194,-0.091634,0.919460,-0.627036
9681329823,-0.189634,0.919460,-0.823036
9681350453,-0.091634,0.772460,-0.823036
9681371082,-0.091634,0.674460,-0.921036
9681391712,-0.238634,0.821460,-0.970036
9681412342,-0.042634,0.821460,-0.872036
9681432971,-0.042634,0.821460,-0.921036
9681453599,-0.091634,0.821460,-0.872036
9681474228,-0.042634,0.772460,-0.774036
9681494857,-0.091634,0.723460,-0.774036
9681515486,-0.091634,0.674460,-0.676036
9681536116,-0.042634,0.723460,-0.676036
9681556744,-0.091634,0.674460,-0.676036
9681577372,-0.091634,0.723460,-0.725036
9681598001,0.006366,0.723460,-0.676036
9681618630,-0.042634,0.723460,-0.627036
9681639255,-0.091634,0.723460,-0.774036
9681659881,-0.042634,0.723460,-0.823036
9681680506,-0.140634,0.772460,-0.970036
9681701131,-0.189634,0.625460,-0.872036
9681721756,-0.091634,0.723460,-0.921036
9681742381,0.055366,0.723460,-1.117036
9681763007,-0.042634,0.674460,-0.970036
9681783634,-0.189634,0.772460,-1.019036
9681804260,-0.091634,0.723460,-1.019036
9681824885,-0.189634,0.821460,-0.872036
9681845511,-0.189634,0.870460,-0.725036
9681866136,-0.189634,0.919460,-0.578036
9681886762,-0.042634,0.870460,-0.578036
9681907387,-0.091634,0.821460,-0.333036
9681928012,-0.091634,1.017460,-0.431036
9681948638,-0.189634,1.017460,-0.431036
9681969265,-0.091634,1.017460,-0.235036
9681989894,-0.042634,0.968460,-0.235036
9682010523,-0.042634,0.968460,-0.284036
9682031152,0.006366,0.870460,-0.382036
9682051777,0.006366,0.821460,-0.284036
9682072403,-0.042634,0.870460,-0.382036
9682093030,-0.042634,0.968460,-0.284036
9682113656,0.006366,0.870460,-0.333036
9682134282,-0.042634,0.919460,-0.480036
9682154908,0.006366,0.919460,-0.431036
9682175534,0.104366,0.821460,-0.578036
9682196160,-0.189634,0.919460,-0.529036
9682216786,-0.091634,0.968460,-0.529036
9682237411,-0.091634,0.919460,-0.529036
9682258037,-0.140634,0.968460,-0.431036
9682278663,0.006366,0.919460,-0.431036
9682299288,-0.091634,0.968460,-0.431036
9682319914,-0.140634,0.919460,-0.333036
9682340539,-0.042634,0.968460,-0.284036
9682361167,-0.091634,0.870460,-0.333036
9682381795,0.006366,0.968460,-0.333036
9682402424,-0.042634,1.017460,-0.284036
9682423052,-0.140634,1.017460,-0.382036
9682443680,-0.140634,1.017460,-0.333036
9682484940,-0.042634,0.919460,-0.235036
9682505570,-0.091634,0.919460,-0.284036
9682526199,-0.140634,1.017460,-0.235036
9682546828,-0.042634,1.017460,-0.235036
9682567457,-0.091634,0.968460,-0.529036
9682588087,0.006366,0.919460,-0.431036
9682608716,-0.189634,0.821460,-0.480036
9682629345,-0.140634,0.772460,-0.676036
9682649975,-0.140634,0.772460,-0.823036
9682670606,-0.091634,0.723460,-1.166036
9682691237,-0.091634,0.723460,-1.068036
9682711866,-0.140634,0.870460,-1.068036
9682732495,-0.189634,0.772460,-0.970036
9682753121,-0.140634,0.919460,-0.921036
9682773748,-0.091634,0.821460,-0.921036
9682794375,-0.042634,0.821460,-0.774036
9682815002,-0.140634,0.772460,-0.774036
9682835628,-0.189634,0.674460,-0.627036
9682856255,-0.091634,0.674460,-0.676036
9682876881,-0.091634,0.674460,-0.676036
9682897507,-0.042634,0.723460,-0.627036
9682918133,-0.042634,0.625460,-0.627036
9682938759,-0.140634,0.674460,-0.676036
9682959386,-0.140634,0.674460,-0.725036
9682980012,-0.189634,0.723460,-0.774036
9683000639,0.006366,0.723460,-1.068036
9683021265,-0.140634,0.674460,-0.970036
9683041890,-0.189634,0.919460,-0.970036
9683062517,-0.042634,0.870460,-1.117036
9683083143,0.006366,0.674460,-1.166036
9683103769,-0.042634,0.527460,-0.970036
9683124394,-0.238634,0.625460,-1.166036
9683145019,-0.238634,0.674460,-1.166036
9683165645,-0.287634,0.576460,-1.117036
9683186271,-0.238634,0.674460,-0.970036
9683206898,-0.140634,0.870460,-0.725036
9683227528,-0.042634,0.870460,-0.627036
9683248158,0.006366,0.919460,-0.578036
9683268788,-0.238634,1.017460,-0.529036
9683289418,-0.140634,1.115460,-0.627036
9683310048,-0.189634,0.968460,-0.333036
9683330678,-0.091634,1.017460,-0.333036
9683351308,-0.091634,0.919460,-0.382036
9683371938,-0.042634,0.968460,-0.431036
9683392568,0.055366,0.919460,-0.382036
9683413198,0.055366,0.968460,-0.382036
9683433829,0.006366,0.968460,-0.480036
9683454459,-0.042634,0.919460,-0.480036
9683475088,-0.091634,0.919460,-0.529036
9683495713,0.006366,0.821460,-0.627036
9683516340,0.006366,0.821460,-0.725036
9683536968,-0.091634,0.870460,-0.627036
9683557595,-0.091634,0.870460,-0.529036
9683578250,0.006366,0.821460,-0.627036
9683598847,0.006366,0.821460,-0.676036
9683619473,-0.042634,0.919460,-0.529036
9683640098,-0.042634,0.919460,-0.578036
9683660744,0.006366,0.870460,-0.578036
9683681352,-0.042634,0.870460,-0.529036
9683701978,-0.042634,0.870460,-0.578036
9683722603,-0.091634,0.919460,-0.627036
9683743230,-0.042634,0.870460,-0.529036
9683763855,0.055366,0.821460,-0.382036
9683784481,0.055366,0.870460,-0.431036
9683805107,-0.140634,0.919460,-0.382036
9683825734,0.006366,1.017460,-0.431036
9683846359,0.006366,1.017460,-0.333036
9683866985,-0.042634,0.919460,-0.382036
9683887612,-0.091634,0.919460,-0.431036
9683908238,-0.042634,0.968460,-0.382036
9683928865,-0.091634,0.968460,-0.333036
9683949492,-0.042634,0.968460,-0.333036
9683970119,-0.091634,0.821460,-0.431036
9683990745,-0.042634,0.772460,-0.578036
9684011371,-0.042634,0.919460,-0.578036
9684031995,-0.042634,0.870460,-0.823036
9684052621,-0.091634,0.772460,-0.823036
9684073246,-0.189634,0.772460,-1.068036
9684093870,-0.189634,0.772460,-1.019036
9684114495,-0.091634,0.772460,-0.970036
9684135123,-0.091634,0.821460,-1.215036
9684155750,-0.091634,0.772460,-1.166036
9684176379,-0.140634,0.772460,-0.921036
9684197008,-0.091634,0.772460,-0.774036
9684217638,-0.189634,0.821460,-0.872036
9684238268,-0.238634,0.870460,-0.725036
9684258898,-0.091634,0.772460,-0.725036
9684279527,-0.238634,0.625460,-0.578036
9684300157,-0.091634,0.625460,-0.627036
9684320787,-0.189634,0.674460,-0.774036
9684341416,-0.140634,0.723460,-0.676036
9684362045,-0.189634,0.723460,-0.725036
9684382674,-0.042634,0.674460,-0.970036
9684403303,-0.042634,0.674460,-0.970036
9684423933,-0.042634,0.772460,-0.823036
9684444564,-0.140634,0.821460,-1.068036
9684465193,0.006366,0.821460,-1.068036
9684485823,-0.042634,0.723460,-0.970036
9684506453,-0.091634,0.723460,-0.872036
9684527083,-0.238634,0.772460,-1.019036
9684547712,-0.238634,0.821460,-0.970036
9684568339,-0.042634,0.723460,-0.774036
9684588966,-0.189634,0.919460,-0.823036
9684609591,-0.091634,0.870460,-0.970036
9684630218,0.153366,0.870460,-0.725036
9684650845,0.055366,0.723460,-0.578036
9684671471,-0.140634,0.919460,-0.382036
9684692098,-0.140634,1.017460,-0.382036
9684712727,-0.042634,1.115460,-0.480036
9684733357,0.055366,0.870460,-0.529036
9684753986,-0.042634,0.870460,-0.431036
9684774616,-0.091634,0.870460,-0.431036
9684795247,-0.140634,0.968460,-0.480036
9684815877,-0.140634,0.968460,-0.529036
9684836506,0.055366,0.919460,-0.529036
9684857135,-0.042634,0.919460,-0.578036
9684877764,-0.042634,0.870460,-0.480036
9684898393,-0.091634,0.870460,-0.529036
9684919023,-0.140634,0.919460,-0.627036
9684939652,-0.042634,0.919460,-0.529036
9684960282,-0.091634,0.919460,-0.529036
9684980911,-0.042634,0.919460,-0.529036
9685001540,0.006366,0.919460,-0.529036
9685022167,0.006366,0.968460,-0.431036
9685042794,-0.091634,0.919460,-0.480036
9685063425,-0.042634,0.870460,-0.431036
9685084053,-0.042634,0.870460,-0.382036
9685104681,0.006366,0.919460,-0.480036
9685125309,-0.091634,0.919460,-0.578036
9685145939,-0.140634,0.968460,-0.529036
9685166569,-0.042634,1.017460,-0.431036
9685187197,-0.042634,0.968460,-0.578036
9685207827,-0.140634,0.870460,-0.676036
9685228457,-0.091634,0.870460,-0.774036
9685249087,-0.091634,0.821460,-0.921036
9685269716,-0.042634,0.772460,-0.872036
9685290345,-0.042634,0.870460,-0.921036
9685310975,-0.042634,0.870460,-0.725036
9685331604,-0.042634,0.772460,-0.823036
9685352233,-0.189634,0.625460,-0.823036
9685372863,-0.140634,0.772460,-0.872036
9685393491,-0.140634,0.870460,-0.970036
9685414121,0.055366,0.772460,-0.725036
9685434751,-0.042634,0.821460,-0.627036
9685455382,-0.140634,0.772460,-0.725036
9685476011,-0.042634,0.674460,-0.872036
9685496642,-0.042634,0.772460,-0.823036
9685517272,-0.189634,0.772460,-0.774036
9685537902,-0.189634,0.576460,-0.725036
9685558531,-0.189634,0.674460,-0.725036
9685579160,-0.238634,0.968460,-0.872036
9685599790,-0.140634,1.066460,-0.823036
9685620420,-0.042634,0.919460,-0.823036
9685641044,-0.238634,0.723460,-0.725036
9685661672,-0.189634,0.772460,-0.823036
9685682301,0.153366,0.772460,-0.823036
9685702931,0.104366,0.674460,-0.823036
9685723562,-0.189634,0.723460,-0.921036
9685744191,-0.287634,0.772460,-0.970036
9685764820,-0.042634,0.870460,-0.823036
9685785472,0.055366,0.772460,-0.774036
9685806080,-0.042634,0.674460,-0.872036
9685826708,-0.091634,0.723460,-1.117036
9685847335,-0.189634,0.772460,-0.921036
9685867966,-0.189634,0.772460,-0.823036
9685888590,-0.189634,0.772460,-1.019036
9685909218,-0.091634,0.772460,-1.019036
9685929848,-0.042634,0.576460,-1.019036
9685950477,-0.238634,0.674460,-1.117036
9685971106,-0.140634,0.674460,-1.068036
9685991736,-0.042634,0.723460,-1.215036
9686012367,-0.042634,0.527460,-1.166036
9686032998,-0.140634,0.527460,-0.921036
9686053629,-0.091634,0.576460,-1.166036
9686074259,-0.042634,0.527460,-1.264036
9686094890,-0.042634,0.576460,-1.264036
9686115521,-0.140634,0.576460,-1.362036
9686136151,0.055366,0.527460,-1.362036
9686156781,-0.091634,0.527460,-1.313036
9686177411,0.055366,0.478460,-1.362036
9686198041,0.006366,0.527460,-1.362036
9686218671,0.006366,0.429460,-1.362036
9686239300,0.006366,0.380460,-1.509036
9686259929,0.104366,0.478460,-1.509036
9686280558,-0.189634,0.135460,-1.019036
9686301186,-0.924634,0.772460,-0.529036
9686321813,-0.189634,1.262460,-0.921036
9686342440,0.545366,0.870460,-0.823036
9686363068,0.986366,0.576460,-1.068036
9686383698,0.937366,0.331460,-1.215036
9686404329,0.496366,0.282460,-1.215036
9686424959,0.055366,0.184460,-0.921036
9686445586,-0.238634,0.429460,-1.019036
9686466213,-0.581634,0.723460,-0.970036
9686486840,-0.434634,0.821460,-0.921036
9686507467,-0.238634,0.772460,-0.725036
9686528095,-0.091634,0.772460,-0.774036
9686548722,-0.238634,0.870460,-0.823036
9686569350,-0.042634,0.821460,-0.774036
9686589978,-0.042634,0.723460,-0.823036
9686610605,-0.238634,0.674460,-0.872036
9686631231,-0.238634,0.723460,-0.823036
9686651858,-0.385634,0.821460,-0.774036
9686672486,-0.434634,0.870460,-0.823036
9686693113,-0.434634,0.870460,-0.774036
9686713740,-0.140634,0.919460,-0.676036
9686734368,0.006366,0.821460,-0.774036
9686754994,-0.042634,0.821460,-0.774036
9686775620,-0.189634,0.723460,-0.774036
9686796246,-0.140634,0.723460,-0.529036
9686816872,-0.042634,0.625460,-0.578036
9686837498,-0.287634,0.674460,-0.921036
9686858125,-0.385634,0.723460,-0.774036
9686878751,-0.483634,0.772460,-0.823036
9686899379,-0.189634,0.870460,-0.872036
9686920006,0.055366,0.968460,-1.215036
9686940633,0.153366,0.821460,-1.166036
9686961263,-0.189634,0.772460,-1.019036
9686981894,-0.287634,0.625460,-1.313036
9687002525,-0.042634,0.282460,-1.362036
9687023156,0.006366,0.037460,-1.362036
9687043786,-0.091634,0.037460,-1.460036
9687064415,-0.336634,0.135460,-1.460036
9687085046,-0.875634,0.576460,-0.578036
9687105677,-0.630634,1.164460,-1.068036
9687126308,0.496366,0.772460,-1.117036
9687146940,1.035366,0.576460,-1.264036
