Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9679682683,0.497761,-0.968606,-0.152607
9679732102,0.506765,-0.968903,-0.141850
9679781516,0.497761,-0.968606,-0.152607
9679830931,0.497815,-0.959610,-0.141949
9679880350,0.497686,-0.977975,-0.142071
9679929764,0.497746,-0.968595,-0.152553
9679979175,0.497725,-0.977811,-0.152773
9680028594,0.479662,-0.977370,-0.163535
9680078018,0.488681,-0.977679,-0.152829
9680127439,0.488742,-0.968298,-0.163311
9680176859,0.479723,-0.959147,-0.152606
9680226272,0.488667,-0.968825,-0.131366
9680275691,0.497725,-0.977811,-0.152773
9680325109,0.470540,-0.986408,-0.163594
9680374531,0.488667,-0.986509,-0.174185
9680423946,0.488653,-0.977656,-0.152722
9680473364,0.479535,-0.986892,-0.142244
9680522785,0.488578,-0.987025,-0.142188
9680572197,0.488593,-0.987036,-0.142240
9680621621,0.479573,-0.986728,-0.152944
9680671046,0.479549,-0.986904,-0.142296
9680720463,0.470529,-0.986595,-0.153000
9680769884,0.470565,-0.986232,-0.174241
9680819308,0.479587,-0.995582,-0.174410
9680868726,0.470529,-0.995438,-0.174410
9680918137,0.461560,-0.985936,-0.185001
9680967559,0.461546,-0.985924,-0.184943
9681016981,0.470466,-0.995777,-0.153060
9681066401,0.443397,-0.995040,-0.174578
9681115825,0.452403,-0.995336,-0.163819
9681165251,0.452367,-1.004542,-0.163987
9681214667,0.443273,-1.004761,-0.142746
9681264094,0.443274,-0.995918,-0.121336
9681313531,0.443287,-0.987088,-0.099972
9681362921,0.425075,-0.996544,-0.068248
9681412328,0.434081,-0.996840,-0.057502
9681461735,0.425038,-0.979023,-0.014739
9681511152,0.461165,-0.971062,0.028191
9681560568,0.452195,-0.961560,0.017599
9681609988,0.452109,-0.979960,0.017345
9681659402,0.434082,-0.970313,0.006726
9681708820,0.452269,-0.961033,-0.014346
9681758249,0.461376,-0.960826,-0.035622
9681807672,0.452318,-0.978366,-0.078461
9681857087,0.461287,-0.996711,-0.089279
9681906522,0.443485,-0.976840,-0.163759
9681955954,0.443347,-1.004233,-0.174691
9682005391,0.416240,-1.012502,-0.206917
9682054825,0.443435,-1.003718,-0.206697
9682104256,0.452504,-0.994833,-0.195878
9682153675,0.452515,-0.994645,-0.206467
9682203104,0.470628,-0.994735,-0.217003
9682252522,0.461595,-0.994415,-0.227643
9682301946,0.461595,-0.985573,-0.206237
9682351361,0.452515,-0.994645,-0.206467
9682400787,0.452628,-0.993954,-0.249128
9682450211,0.452713,-0.984398,-0.270244
9682499641,0.461633,-0.994251,-0.238356
