Timestamp (us),W Element,X Element,Y Element,Z Element
9679678656,0.574726,0.698091,0.352932,0.240917
9679681156,0.574763,0.698141,0.352821,0.240847
9679683657,0.574802,0.698191,0.352704,0.240779
9679686162,0.574839,0.698242,0.352589,0.240713
9679688655,0.574877,0.698292,0.352473,0.240649
9679691155,0.574914,0.698340,0.352357,0.240587
9679693654,0.574948,0.698390,0.352243,0.240531
9679696154,0.574979,0.698439,0.352131,0.240476
9679698654,0.575009,0.698488,0.352020,0.240424
9679701154,0.575038,0.698538,0.351908,0.240374
9679703653,0.575066,0.698587,0.351799,0.240323
9679706153,0.575091,0.698638,0.351690,0.240273
9679708652,0.575114,0.698691,0.351583,0.240225
9679711152,0.575131,0.698745,0.351479,0.240176
9679713652,0.575146,0.698802,0.351378,0.240124
9679716152,0.575156,0.698861,0.351280,0.240072
9679718651,0.575162,0.698921,0.351186,0.240021
9679721151,0.575163,0.698983,0.351096,0.239971
9679723651,0.575160,0.699046,0.351008,0.239921
9679726150,0.575154,0.699111,0.350924,0.239870
9679728650,0.575144,0.699177,0.350842,0.239822
9679731150,0.575127,0.699244,0.350767,0.239774
9679733649,0.575105,0.699310,0.350704,0.239729
9679736149,0.575080,0.699375,0.350646,0.239686
9679738649,0.575054,0.699438,0.350589,0.239645
9679741149,0.575026,0.699501,0.350537,0.239605
9679743648,0.574997,0.699561,0.350487,0.239571
9679746148,0.574969,0.699620,0.350440,0.239537
9679748647,0.574939,0.699677,0.350396,0.239506
9679751147,0.574911,0.699731,0.350354,0.239475
9679753647,0.574882,0.699785,0.350314,0.239447
9679756147,0.574854,0.699837,0.350273,0.239423
9679758646,0.574825,0.699886,0.350234,0.239405
9679761146,0.574794,0.699934,0.350197,0.239395
9679763646,0.574762,0.699978,0.350163,0.239391
9679766146,0.574731,0.700018,0.350133,0.239392
9679768645,0.574700,0.700058,0.350101,0.239397
9679771145,0.574667,0.700098,0.350070,0.239405
9679773645,0.574637,0.700135,0.350038,0.239414
9679776144,0.574608,0.700172,0.350004,0.239425
9679778644,0.574584,0.700208,0.349966,0.239436
9679781144,0.574562,0.700242,0.349926,0.239445
9679783643,0.574547,0.700278,0.349878,0.239448
9679786143,0.574532,0.700314,0.349827,0.239452
9679788642,0.574517,0.700351,0.349774,0.239456
9679791142,0.574504,0.700390,0.349717,0.239457
9679793642,0.574493,0.700431,0.349654,0.239456
9679796142,0.574483,0.700474,0.349589,0.239451
9679798641,0.574474,0.700518,0.349520,0.239444
9679801141,0.574465,0.700564,0.349448,0.239436
9679803641,0.574454,0.700612,0.349376,0.239425
9679806140,0.574444,0.700663,0.349300,0.239412
9679808640,0.574433,0.700716,0.349223,0.239397
9679811140,0.574419,0.700772,0.349143,0.239381
9679813640,0.574405,0.700829,0.349063,0.239365
9679816139,0.574389,0.700886,0.348985,0.239351
9679818639,0.574373,0.700943,0.348908,0.239336
9679821138,0.574355,0.701000,0.348832,0.239321
9679823638,0.574337,0.701057,0.348757,0.239306
9679826138,0.574320,0.701113,0.348683,0.239290
9679828638,0.574302,0.701169,0.348611,0.239277
9679831137,0.574282,0.701222,0.348543,0.239267
9679833637,0.574263,0.701272,0.348478,0.239259
9679836137,0.574246,0.701321,0.348415,0.239250
9679838637,0.574232,0.701369,0.348349,0.239239
9679841136,0.574223,0.701414,0.348280,0.239229
9679843636,0.574214,0.701461,0.348208,0.239218
9679846136,0.574207,0.701506,0.348137,0.239206
9679848635,0.574202,0.701549,0.348065,0.239197
9679851135,0.574196,0.701591,0.347994,0.239190
9679853634,0.574192,0.701632,0.347923,0.239185
9679856134,0.574191,0.701668,0.347853,0.239184
9679858634,0.574191,0.701700,0.347786,0.239184
9679861134,0.574188,0.701734,0.347721,0.239189
9679863633,0.574184,0.701766,0.347660,0.239192
9679866133,0.574178,0.701800,0.347599,0.239197
9679868633,0.574174,0.701831,0.347538,0.239202
9679871133,0.574166,0.701865,0.347480,0.239205
9679873632,0.574154,0.701901,0.347426,0.239208
9679876132,0.574139,0.701940,0.347372,0.239209
9679878632,0.574125,0.701980,0.347316,0.239207
9679881131,0.574111,0.702025,0.347257,0.239193
9679883631,0.574097,0.702073,0.347198,0.239172
9679886130,0.574083,0.702122,0.347141,0.239146
9679888630,0.574068,0.702172,0.347082,0.239120
9679891130,0.574051,0.702223,0.347026,0.239090
9679893630,0.574035,0.702275,0.346970,0.239059
9679896130,0.574019,0.702326,0.346915,0.239027
9679898629,0.574003,0.702376,0.346861,0.238997
9679901129,0.573988,0.702423,0.346808,0.238971
9679903628,0.573976,0.702465,0.346758,0.238949
9679906128,0.573965,0.702505,0.346706,0.238934
9679908628,0.573955,0.702541,0.346657,0.238924
9679911127,0.573946,0.702573,0.346608,0.238919
9679913627,0.573938,0.702605,0.346560,0.238917
9679916127,0.573932,0.702633,0.346510,0.238919
9679918626,0.573933,0.702656,0.346462,0.238921
9679921126,0.573936,0.702676,0.346412,0.238925
9679923626,0.573940,0.702696,0.346361,0.238932
9679926126,0.573946,0.702715,0.346309,0.238940
9679928625,0.573952,0.702732,0.346256,0.238949
9679931125,0.573960,0.702752,0.346197,0.238956
9679933625,0.573968,0.702774,0.346135,0.238962
9679936124,0.573976,0.702798,0.346069,0.238968
9679938624,0.573983,0.702824,0.346002,0.238972
9679941124,0.573989,0.702851,0.345935,0.238976
9679943623,0.573992,0.702880,0.345868,0.238979
9679946123,0.573995,0.702909,0.345801,0.238982
9679948623,0.573995,0.702940,0.345735,0.238987
9679951122,0.573997,0.702968,0.345672,0.238992
9679953622,0.573996,0.702997,0.345610,0.238999
9679956122,0.573994,0.703026,0.345547,0.239010
9679958622,0.573989,0.703058,0.345485,0.239020
9679961121,0.573984,0.703088,0.345421,0.239032
9679963621,0.573981,0.703119,0.345354,0.239047
9679966120,0.573978,0.703148,0.345290,0.239062
9679968620,0.573977,0.703177,0.345223,0.239077
9679971120,0.573978,0.703204,0.345155,0.239092
9679973620,0.573979,0.703233,0.345083,0.239106
9679976119,0.573982,0.703264,0.345007,0.239118
9679978619,0.573987,0.703297,0.344927,0.239126
9679981119,0.573995,0.703331,0.344842,0.239129
9679983618,0.574005,0.703367,0.344753,0.239128
9679986118,0.574017,0.703403,0.344661,0.239123
9679988616,0.574029,0.703442,0.344569,0.239112
9679991116,0.574041,0.703482,0.344479,0.239098
9679993616,0.574051,0.703523,0.344390,0.239082
9679996115,0.574057,0.703567,0.344302,0.239064
9679998615,0.574061,0.703611,0.344215,0.239048
9680001115,0.574061,0.703658,0.344131,0.239032
9680003614,0.574058,0.703709,0.344043,0.239016
9680006114,0.574051,0.703764,0.343956,0.238994
9680008614,0.574043,0.703823,0.343868,0.238969
9680011114,0.574036,0.703882,0.343778,0.238941
9680013613,0.574030,0.703943,0.343684,0.238911
9680016113,0.574024,0.704006,0.343585,0.238881
9680018613,0.574022,0.704069,0.343482,0.238848
9680021112,0.574023,0.704132,0.343376,0.238814
9680023612,0.574024,0.704196,0.343271,0.238775
9680026112,0.574024,0.704260,0.343167,0.238735
9680028636,0.574028,0.704327,0.343053,0.238689
9680031111,0.574033,0.704390,0.342944,0.238648
9680033611,0.574037,0.704453,0.342834,0.238610
9680036111,0.574040,0.704514,0.342728,0.238577
9680038610,0.574040,0.704571,0.342630,0.238547
9680041110,0.574038,0.704625,0.342541,0.238522
9680043609,0.574028,0.704680,0.342459,0.238503
9680046109,0.574014,0.704732,0.342384,0.238488
9680048609,0.573993,0.704786,0.342315,0.238479
9680051109,0.573968,0.704839,0.342255,0.238471
9680053608,0.573932,0.704895,0.342202,0.238466
9680056108,0.573887,0.704956,0.342153,0.238463
9680058608,0.573837,0.705020,0.342110,0.238458
9680061107,0.573784,0.705086,0.342069,0.238448
9680063607,0.573729,0.705155,0.342030,0.238432
9680066107,0.573671,0.705229,0.341990,0.238411
9680068606,0.573612,0.705306,0.341949,0.238384
9680071106,0.573556,0.705381,0.341907,0.238355
9680073606,0.573503,0.705457,0.341862,0.238324
9680076105,0.573453,0.705533,0.341812,0.238292
9680078605,0.573405,0.705605,0.341766,0.238259
9680081105,0.573363,0.705674,0.341715,0.238229
9680083604,0.573327,0.705739,0.341661,0.238199
9680086104,0.573293,0.705802,0.341608,0.238173
9680088604,0.573264,0.705860,0.341553,0.238148
9680091104,0.573238,0.705914,0.341498,0.238129
9680093604,0.573214,0.705966,0.341443,0.238114
9680096103,0.573189,0.706016,0.341389,0.238103
9680098602,0.573163,0.706064,0.341341,0.238091
9680101102,0.573137,0.706110,0.341296,0.238083
9680103602,0.573106,0.706157,0.341253,0.238077
9680106102,0.573069,0.706207,0.341215,0.238074
9680108601,0.573025,0.706260,0.341180,0.238071
9680111101,0.572979,0.706315,0.341148,0.238067
9680113601,0.572931,0.706369,0.341120,0.238062
9680116100,0.572883,0.706423,0.341093,0.238056
9680118600,0.572839,0.706474,0.341066,0.238048
9680121100,0.572796,0.706525,0.341041,0.238037
9680123599,0.572755,0.706575,0.341015,0.238024
9680126099,0.572719,0.706621,0.340989,0.238010
9680128599,0.572689,0.706666,0.340957,0.237997
9680131098,0.572663,0.706706,0.340924,0.237987
9680133598,0.572639,0.706745,0.340889,0.237980
9680136098,0.572622,0.706778,0.340852,0.237976
9680138598,0.572611,0.706806,0.340814,0.237973
9680141097,0.572607,0.706828,0.340773,0.237973
9680143597,0.572605,0.706849,0.340732,0.237977
9680146097,0.572604,0.706869,0.340689,0.237980
9680148596,0.572606,0.706888,0.340645,0.237984
9680151096,0.572610,0.706906,0.340599,0.237987
9680153596,0.572614,0.706924,0.340553,0.237989
9680156095,0.572619,0.706942,0.340509,0.237986
9680158595,0.572624,0.706961,0.340464,0.237980
9680161095,0.572627,0.706983,0.340420,0.237974
9680163595,0.572627,0.707005,0.340379,0.237965
9680166094,0.572625,0.707030,0.340338,0.237955
9680168594,0.572618,0.707058,0.340299,0.237945
9680171094,0.572607,0.707088,0.340262,0.237934
9680173593,0.572592,0.707121,0.340227,0.237922
9680176093,0.572577,0.707154,0.340194,0.237908
9680178593,0.572558,0.707188,0.340164,0.237895
9680181092,0.572539,0.707221,0.340134,0.237884
9680183592,0.572519,0.707254,0.340109,0.237872
9680186091,0.572498,0.707284,0.340088,0.237863
9680188591,0.572476,0.707311,0.340070,0.237860
9680191091,0.572452,0.707337,0.340056,0.237862
9680193591,0.572427,0.707362,0.340043,0.237868
9680196091,0.572401,0.707385,0.340032,0.237875
9680198590,0.572377,0.707407,0.340023,0.237882
9680201090,0.572357,0.707425,0.340014,0.237888
9680203590,0.572341,0.707441,0.340005,0.237893
9680206089,0.572326,0.707454,0.339998,0.237898
9680208589,0.572311,0.707465,0.339995,0.237906
9680211089,0.572295,0.707475,0.339993,0.237920
9680213588,0.572278,0.707485,0.339990,0.237935
9680216088,0.572259,0.707497,0.339987,0.237951
9680218588,0.572236,0.707510,0.339986,0.237967
9680221087,0.572213,0.707525,0.339985,0.237981
9680223587,0.572191,0.707538,0.339986,0.237991
9680226087,0.572171,0.707549,0.339989,0.238002
9680228586,0.572146,0.707557,0.340002,0.238020
9680231086,0.572119,0.707565,0.340017,0.238041
9680233586,0.572091,0.707573,0.340031,0.238063
9680236085,0.572062,0.707582,0.340046,0.238084
9680238585,0.572035,0.707591,0.340058,0.238106
9680241085,0.572007,0.707600,0.340070,0.238131
9680243585,0.571978,0.707609,0.340080,0.238158
9680246084,0.571951,0.707616,0.340090,0.238189
9680248584,0.571923,0.707621,0.340103,0.238222
9680251084,0.571896,0.707623,0.340119,0.238259
9680253583,0.571864,0.707627,0.340137,0.238297
9680256083,0.571831,0.707630,0.340157,0.238338
9680258583,0.571799,0.707633,0.340178,0.238378
9680261082,0.571767,0.707635,0.340201,0.238416
9680263582,0.571736,0.707636,0.340225,0.238453
9680266082,0.571707,0.707637,0.340248,0.238488
9680268581,0.571678,0.707638,0.340269,0.238522
9680271081,0.571651,0.707641,0.340290,0.238550
9680273581,0.571625,0.707642,0.340310,0.238578
9680276081,0.571603,0.707647,0.340322,0.238601
9680278580,0.571579,0.707654,0.340328,0.238625
9680281080,0.571556,0.707662,0.340337,0.238647
9680283580,0.571534,0.707668,0.340348,0.238666
9680286079,0.571515,0.707672,0.340358,0.238683
9680288579,0.571499,0.707675,0.340370,0.238698
9680291078,0.571483,0.707678,0.340379,0.238712
9680293578,0.571470,0.707680,0.340389,0.238724
9680296078,0.571457,0.707682,0.340399,0.238736
9680298578,0.571444,0.707682,0.340409,0.238751
9680301077,0.571431,0.707680,0.340424,0.238769
9680303577,0.571419,0.707673,0.340442,0.238790
9680306077,0.571408,0.707665,0.340462,0.238812
9680308576,0.571397,0.707656,0.340483,0.238836
9680311076,0.571388,0.707645,0.340504,0.238860
9680313576,0.571381,0.707631,0.340525,0.238889
9680316075,0.571373,0.707618,0.340543,0.238922
9680318575,0.571366,0.707604,0.340561,0.238955
9680321075,0.571360,0.707588,0.340580,0.238987
9680323575,0.571357,0.707571,0.340599,0.239019
9680326074,0.571357,0.707561,0.340603,0.239042
9680328574,0.571357,0.707553,0.340604,0.239064
9680331074,0.571356,0.707546,0.340605,0.239087
9680333573,0.571356,0.707539,0.340605,0.239108
9680336073,0.571358,0.707531,0.340604,0.239127
9680338573,0.571362,0.707525,0.340599,0.239143
9680341073,0.571366,0.707521,0.340591,0.239155
9680343572,0.571370,0.707519,0.340582,0.239165
9680346072,0.571373,0.707520,0.340571,0.239173
9680348572,0.571373,0.707522,0.340562,0.239180
9680351071,0.571372,0.707523,0.340554,0.239188
9680353571,0.571371,0.707525,0.340547,0.239195
9680356070,0.571368,0.707528,0.340541,0.239203
9680358571,0.571364,0.707530,0.340537,0.239212
9680361070,0.571358,0.707530,0.340536,0.239226
9680363570,0.571349,0.707531,0.340538,0.239242
9680366069,0.571338,0.707532,0.340542,0.239261
9680368569,0.571327,0.707532,0.340548,0.239280
9680371069,0.571318,0.707531,0.340553,0.239296
9680373568,0.571310,0.707531,0.340559,0.239308
9680376068,0.571302,0.707531,0.340564,0.239319
9680378568,0.571295,0.707532,0.340567,0.239328
9680381067,0.571291,0.707532,0.340566,0.239337
9680383567,0.571291,0.707530,0.340568,0.239342
9680386067,0.571290,0.707529,0.340568,0.239347
9680388566,0.571288,0.707531,0.340565,0.239351
9680391066,0.571285,0.707535,0.340562,0.239351
9680393566,0.571283,0.707540,0.340558,0.239346
9680396065,0.571282,0.707544,0.340554,0.239342
9680398565,0.571279,0.707552,0.340548,0.239334
9680401065,0.571274,0.707562,0.340543,0.239325
9680403565,0.571268,0.707570,0.340540,0.239318
9680406064,0.571263,0.707576,0.340539,0.239315
9680408564,0.571255,0.707581,0.340543,0.239314
9680411064,0.571242,0.707587,0.340550,0.239314
9680413563,0.571226,0.707595,0.340560,0.239315
9680416063,0.571207,0.707603,0.340572,0.239320
9680418563,0.571188,0.707609,0.340585,0.239327
9680421062,0.571171,0.707615,0.340598,0.239335
9680423562,0.571157,0.707619,0.340607,0.239343
9680426062,0.571145,0.707619,0.340621,0.239352
9680428561,0.571137,0.707621,0.340628,0.239355
9680431061,0.571133,0.707625,0.340628,0.239353
9680433561,0.571133,0.707630,0.340621,0.239349
9680436061,0.571137,0.707634,0.340609,0.239344
9680438560,0.571146,0.707638,0.340591,0.239337
9680441060,0.571156,0.707642,0.340570,0.239331
9680443560,0.571168,0.707646,0.340548,0.239323
9680446059,0.571181,0.707649,0.340524,0.239314
9680448559,0.571193,0.707654,0.340499,0.239305
9680451059,0.571203,0.707660,0.340476,0.239297
9680453558,0.571213,0.707664,0.340456,0.239291
9680456058,0.571221,0.707669,0.340436,0.239286
9680458558,0.571225,0.707675,0.340419,0.239282
9680461057,0.571226,0.707682,0.340403,0.239282
9680463557,0.571224,0.707690,0.340388,0.239284
9680466057,0.571222,0.707697,0.340372,0.239292
9680468557,0.571218,0.707704,0.340357,0.239302
9680471056,0.571213,0.707711,0.340342,0.239314
9680473556,0.571206,0.707719,0.340327,0.239328
9680476055,0.571199,0.707727,0.340310,0.239347
9680478555,0.571193,0.707734,0.340290,0.239366
9680481055,0.571186,0.707744,0.340269,0.239385
9680483554,0.571179,0.707755,0.340244,0.239404
9680486054,0.571174,0.707766,0.340216,0.239423
9680488554,0.571172,0.707777,0.340187,0.239440
9680491054,0.571168,0.707790,0.340154,0.239455
9680493554,0.571166,0.707804,0.340120,0.239468
9680496053,0.571167,0.707817,0.340082,0.239481
9680498553,0.571169,0.707830,0.340045,0.239488
9680501052,0.571170,0.707846,0.340006,0.239494
9680503552,0.571171,0.707865,0.339966,0.239495
9680506052,0.571171,0.707884,0.339927,0.239492
9680508551,0.571169,0.707905,0.339890,0.239488
9680511051,0.571165,0.707926,0.339858,0.239482
9680513551,0.571158,0.707946,0.339831,0.239476
9680516051,0.571149,0.707965,0.339811,0.239472
9680518550,0.571135,0.707982,0.339798,0.239474
9680521050,0.571114,0.707999,0.339791,0.239483
