Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9679678242,-0.089555,-0.682447,0.064183,-0.017352,0.991556,-0.017330
9679680744,0.032254,-0.682718,0.124903,-0.016603,0.992281,-0.019503
9679683247,0.093077,-0.743751,0.185741,-0.018714,0.998114,-0.023135
9679685748,0.093080,-0.865864,0.125289,-0.017254,0.998828,-0.023122
9679688251,-0.089798,-0.926195,0.125394,-0.017266,0.996653,-0.023856
9679690753,-0.150701,-0.987115,0.064808,-0.017292,0.995920,-0.020950
9679693255,-0.089878,-1.048148,0.125647,-0.018037,0.993748,-0.020963
9679695758,-0.089713,-1.048466,0.004236,-0.018749,0.993760,-0.023149
9679698260,0.032099,-1.170850,0.004503,-0.017310,0.993018,-0.021687
9679700762,-0.028930,-1.170475,0.065201,-0.018057,0.993741,-0.018055
9679703264,0.031933,-1.170532,0.125914,-0.020923,0.996675,-0.020975
9679705767,-0.028892,-0.987387,0.125528,-0.026694,1.000359,-0.023913
9679708269,-0.028689,-0.804615,0.064443,-0.027451,0.996012,-0.024660
9679710771,-0.150458,-0.743367,0.003597,-0.024562,0.995257,-0.022460
9679713273,-0.150375,-0.743526,-0.057109,-0.020201,0.996667,-0.020243
9679715775,-0.089509,-0.865694,-0.056849,-0.022361,0.998864,-0.020978
9679718278,-0.028687,-0.926727,0.003990,-0.023791,0.998885,-0.024624
9679720780,0.032219,-0.987919,0.004123,-0.021616,0.996694,-0.026068
9679723301,0.032136,-0.987761,0.064829,-0.020207,0.990876,-0.026076
9679725795,0.032053,-0.987602,0.125535,-0.027484,0.993105,-0.023215
9679728286,-0.028892,-0.987387,0.125528,-0.029624,0.995309,-0.026859
9679730788,0.032096,-1.048737,0.064955,-0.022382,0.993067,-0.024632
9679733290,0.032222,-1.110032,-0.056329,-0.023150,0.988716,-0.023924
9679735792,0.093168,-1.110247,-0.056322,-0.028971,0.987316,-0.025425
9679738294,0.093168,-1.110247,-0.056322,-0.031103,0.992418,-0.026879
9679740797,0.093165,-0.988135,0.004130,-0.031786,0.996058,-0.029053
9679743299,-0.028606,-0.804774,0.003737,-0.028163,0.996747,-0.026116
9679745801,-0.150461,-0.621255,0.064050,-0.026711,0.998181,-0.023920
9679748304,-0.211286,-0.438109,0.063664,-0.025239,1.000347,-0.023903
9679750806,-0.211206,-0.316156,0.063411,-0.021664,0.993781,-0.022443
9679753308,-0.089355,-0.377563,0.063551,-0.020232,0.991590,-0.021713
9679755811,-0.089601,-0.499199,0.185215,-0.024549,0.993814,-0.026099
9679758312,-0.089598,-0.621311,0.124762,-0.029594,0.996044,-0.030491
9679760815,-0.028652,-0.621526,0.124769,-0.030295,0.996783,-0.033402
9679763317,0.032294,-0.621741,0.124776,-0.026697,0.993121,-0.031933
9679765820,0.215252,-0.439457,0.124418,-0.021672,0.990884,-0.024633
9679768322,0.337390,-0.318251,0.002768,-0.020966,0.989423,-0.023179
9679770824,0.337513,-0.257433,-0.058064,-0.022352,0.997420,-0.023891
9679773326,0.337596,-0.257592,-0.118770,-0.020153,0.998856,-0.024597
9679775829,0.215581,-0.317980,-0.057952,-0.017293,0.995196,-0.021680
9679778331,0.093609,-0.439503,-0.057713,-0.017286,0.992303,-0.026050
9679780833,0.032457,-0.499947,0.063818,-0.017987,0.993766,-0.028232
9679783335,0.032374,-0.499788,0.124523,-0.014389,0.994446,-0.021661
9679785837,0.093443,-0.439185,0.063698,-0.012226,0.994421,-0.018737
9679788340,0.032580,-0.439129,0.002986,-0.012962,0.991529,-0.020932
9679790842,0.032500,-0.561082,0.003239,-0.015875,0.988657,-0.023871
9679793344,0.093366,-0.683251,0.003498,-0.020208,0.990152,-0.026806
9679795847,0.154148,-0.805261,0.064464,-0.019481,0.990146,-0.026800
9679798349,0.154111,-0.988350,0.004137,-0.017300,0.993022,-0.023140
9679800851,0.032262,-1.049055,-0.056456,-0.020177,0.995228,-0.025336
9679803353,-0.028767,-1.048681,0.004243,-0.021610,0.997420,-0.026066
9679805855,-0.028852,-0.926410,0.125401,-0.017276,0.996649,-0.022402
9679808358,0.093037,-0.804728,0.185868,-0.013665,0.995162,-0.020199
9679810860,0.154063,-0.682990,0.185622,-0.018013,0.996651,-0.020953
9679813362,0.093074,-0.621639,0.246194,-0.018756,0.996652,-0.018778
9679815864,0.032291,-0.499629,0.185229,-0.016535,0.999543,-0.020934
9679818367,0.032417,-0.560924,0.063944,-0.015766,1.000999,-0.025285
9679820869,-0.028403,-0.622003,-0.057347,-0.014332,1.000256,-0.023096
9679823371,-0.028360,-0.683138,-0.117927,-0.016577,0.993738,-0.021679
9679825874,0.032586,-0.683353,-0.117920,-0.018015,0.995203,-0.022412
9679828376,0.032503,-0.683195,-0.057214,-0.019443,0.996672,-0.024599
9679830878,0.032460,-0.622059,0.003365,-0.019439,0.995950,-0.026055
9679833380,0.032337,-0.682877,0.064197,-0.015812,0.995917,-0.024574
9679835883,0.093283,-0.683092,0.064204,-0.013659,0.992270,-0.024570
9679838385,0.154186,-0.622172,0.124790,-0.015096,0.994459,-0.024574
9679840887,0.215255,-0.561569,0.063965,-0.018742,0.995933,-0.021688
9679843389,0.154349,-0.500377,0.063832,-0.018758,0.995204,-0.020236
9679845892,0.032377,-0.621900,0.064071,-0.016583,0.992288,-0.022411
9679848394,-0.089552,-0.804559,0.003730,-0.015858,0.990835,-0.023864
9679850896,-0.089632,-0.926512,0.003983,-0.015853,0.990836,-0.024591
9679853398,-0.150578,-0.926297,0.003976,-0.018768,0.990134,-0.024614
9679855901,-0.150621,-0.865162,0.064555,-0.020949,0.991600,-0.023172
9679858403,-0.089758,-0.865218,0.125268,-0.020193,0.994499,-0.023884
9679860905,0.092954,-0.804569,0.246573,-0.020217,0.991596,-0.023893
9679863407,0.154023,-0.743967,0.185748,-0.018762,0.990860,-0.024612
9679865910,0.215052,-0.744340,0.125050,-0.017312,0.991570,-0.023145
9679868412,0.215134,-0.744499,0.064344,-0.019514,0.991581,-0.020253
9679870914,0.215094,-0.805476,0.064471,-0.018741,0.996657,-0.020959
9679873416,0.093162,-0.866022,0.064583,-0.020875,0.995245,-0.029702
9679875919,-0.028727,-0.987704,0.004117,-0.020183,0.994503,-0.025338
9679878421,-0.150784,-0.986956,0.125514,-0.020961,0.985082,-0.029008
9679880923,-0.089755,-0.987330,0.064815,-0.020941,0.989432,-0.026813
9679883425,0.032096,-1.048737,0.064955,-0.021686,0.987984,-0.026096
9679885928,0.093125,-1.049111,0.004257,-0.012193,0.988644,-0.030386
9679888430,0.032096,-1.048737,0.064955,-0.015054,0.992304,-0.033304
9679890932,-0.028729,-0.865592,0.064569,-0.021587,0.995257,-0.031888
9679893434,0.032297,-0.743854,0.064323,-0.017259,0.993760,-0.028227
9679895937,0.154269,-0.622331,0.064085,-0.015835,0.988672,-0.029686
9679898439,0.276243,-0.622920,0.003393,-0.020881,0.994519,-0.029705
9679900941,0.215260,-0.805794,-0.056940,-0.018698,0.999568,-0.023857
9679903443,0.215057,-0.988565,0.004144,-0.017250,0.997382,-0.025307
9679905946,0.153905,-1.049009,0.125675,-0.017205,1.002465,-0.026018
9679908448,0.092793,-1.048476,0.247079,-0.021613,0.998866,-0.023881
9679910950,0.031971,-0.987443,0.186240,-0.025270,0.994546,-0.026102
9679913452,0.032136,-0.987761,0.064829,-0.020910,0.990891,-0.029716
9679915955,0.093165,-0.988135,0.004130,-0.018721,0.992323,-0.028969
9679918457,0.153948,-1.110144,0.065096,-0.018759,0.989414,-0.026797
9679920959,0.214894,-1.110360,0.065103,-0.014394,0.989378,-0.026765
9679923462,0.154071,-1.049326,0.004264,-0.011457,0.991536,-0.028191
9679925964,-0.028441,-0.805092,-0.117674,-0.015839,0.990118,-0.027501
9679928466,-0.028441,-0.805092,-0.117674,-0.019496,0.990140,-0.024620
9679930968,-0.028438,-0.927204,-0.178127,-0.015137,0.989379,-0.024590
9679933471,-0.028641,-1.109975,-0.117042,-0.012212,0.989361,-0.026749
9679935973,-0.028807,-1.109658,0.004369,-0.013634,0.992279,-0.028205
9679938475,-0.028930,-1.170475,0.065201,-0.018762,0.990860,-0.024612
9679940977,0.092922,-1.231883,0.065342,-0.020932,0.993053,-0.023894
9679943480,0.093005,-1.232041,0.004636,-0.015054,0.996646,-0.028201
9679945982,-0.028764,-1.170793,-0.056210,-0.017204,0.998123,-0.031120
9679948484,-0.089670,-1.109601,-0.056343,-0.021661,0.991611,-0.025358
9679950986,-0.089713,-1.048466,0.004236,-0.023835,0.990185,-0.028286
9679953488,-0.028810,-0.987545,0.064822,-0.023824,0.991636,-0.028281
9679955991,0.032053,-0.987602,0.125535,-0.023089,0.993804,-0.026815
9679958493,0.093002,-1.109929,0.065089,-0.023801,0.994539,-0.028272
9679960995,0.093042,-1.048952,0.064962,-0.023088,0.994528,-0.026086
9679963498,0.093122,-0.926999,0.064710,-0.022366,0.993796,-0.026083
9679966000,0.032217,-0.865807,0.064576,-0.023098,0.994524,-0.024632
9679968502,0.032217,-0.865807,0.064576,-0.021631,0.996688,-0.023888
9679971004,0.032179,-1.048896,0.004250,-0.020933,0.996671,-0.019521
9679973507,-0.028684,-1.048840,-0.056463,-0.019449,0.995947,-0.024601
9679976009,-0.150493,-1.048568,-0.117182,-0.021603,0.998869,-0.025335
9679978511,-0.272221,-0.926343,-0.178154,-0.020159,0.998130,-0.024599
9679981013,-0.272181,-0.865366,-0.178281,-0.017255,0.997380,-0.024580
9679983516,-0.272267,-0.743095,-0.057123,-0.015763,0.999553,-0.027470
9679986018,-0.150418,-0.682390,0.003471,-0.020140,0.997413,-0.028236
9679988520,-0.028609,-0.682662,0.064190,-0.021584,0.998153,-0.028972
9679991022,0.093243,-0.744069,0.064330,-0.020902,0.993788,-0.027526
9679993525,0.093162,-0.866022,0.064583,-0.023772,0.993102,-0.034092
9679996027,0.032136,-0.987761,0.064829,-0.024492,0.999624,-0.027534
9679998529,0.032013,-1.048579,0.125661,-0.021641,0.992343,-0.027536
9680001031,0.032013,-1.048579,0.125661,-0.020877,0.993073,-0.031890
9680003534,0.031971,-0.987443,0.186240,-0.020883,0.996690,-0.026790
9680006036,-0.028729,-0.865592,0.064569,-0.019439,0.995950,-0.026055
9680008538,-0.089469,-0.804718,-0.056975,-0.019432,0.993782,-0.029696
9680011040,-0.028400,-0.744115,-0.117800,-0.020866,0.994525,-0.031885
9680013544,0.032545,-0.744330,-0.117793,-0.022315,0.995263,-0.031894
9680016046,0.032422,-0.805148,-0.056961,-0.020850,0.995254,-0.033337
9680018549,0.032299,-0.865966,0.003871,-0.023078,0.990190,-0.032642
9680021051,0.032299,-0.865966,0.003871,-0.022314,0.995987,-0.031165
9680023553,0.032380,-0.744012,0.003618,-0.023786,0.993821,-0.031182
9680026055,0.093366,-0.683251,0.003498,-0.024517,0.995273,-0.029002
9680028558,0.093449,-0.683410,-0.057207,-0.025225,0.995286,-0.031915
9680031060,0.032340,-0.804989,0.003744,-0.024502,0.995279,-0.031183
9680033562,-0.089718,-0.804241,0.125141,-0.021612,0.995248,-0.028254
9680036064,-0.089801,-0.804083,0.185847,-0.021639,0.993791,-0.026078
9680038567,-0.089761,-0.743106,0.185721,-0.022393,0.987997,-0.029009
9680041069,-0.089638,-0.682288,0.124889,-0.028183,0.992398,-0.028311
9680043571,-0.028443,-0.682979,-0.057221,-0.021595,0.993083,-0.033349
9680046074,-0.028358,-0.805250,-0.178379,-0.019399,0.995965,-0.031870
9680048576,-0.089344,-0.866012,-0.178260,-0.017948,1.001741,-0.024572
9680051078,-0.089509,-0.865694,-0.056849,-0.015036,0.994481,-0.033297
9680053580,-0.089469,-0.804718,-0.056975,-0.019442,0.993778,-0.028243
9680056083,-0.150415,-0.804502,-0.056982,-0.023790,0.990925,-0.034099
9680058585,-0.089675,-0.865377,0.064562,-0.027436,0.996017,-0.026840
9680061087,-0.089758,-0.865218,0.125268,-0.022381,0.989449,-0.029005
9680063589,-0.028689,-0.804615,0.064443,-0.016475,0.995947,-0.034030
9680066092,-0.089512,-0.743582,0.003604,-0.018625,0.997423,-0.036949
9680068594,-0.028443,-0.682979,-0.057221,-0.018704,0.993776,-0.029691
9680071096,0.032543,-0.622218,-0.057341,-0.015025,0.995933,-0.033292
9680073598,0.093368,-0.805363,-0.056954,-0.016473,0.997395,-0.032571
9680076100,0.215177,-0.805635,0.003765,-0.017264,0.994483,-0.026770
9680078602,0.276040,-0.805691,0.064478,-0.018724,0.993769,-0.026783
9680081105,0.215134,-0.744499,0.064344,-0.015043,0.997374,-0.028926
9680083607,0.093245,-0.866181,0.003878,-0.014332,0.995914,-0.028198
9680086109,-0.028523,-0.804933,-0.056968,-0.020877,0.997415,-0.026788
9680088612,-0.028566,-0.743797,0.003611,-0.021597,0.995253,-0.030435
9680091114,-0.028609,-0.682662,0.064190,-0.021621,0.992350,-0.030444
9680093616,-0.089678,-0.743265,0.125015,-0.020175,0.993058,-0.028250
9680096118,-0.089595,-0.743423,0.064309,-0.022385,0.995237,-0.021717
9680098620,-0.150418,-0.682390,0.003471,-0.022332,0.998151,-0.026069
9680101123,-0.150338,-0.560437,0.003218,-0.018659,0.998858,-0.030402
9680103625,-0.028323,-0.500049,-0.057600,-0.018667,1.000303,-0.027489
9680106128,0.093569,-0.500479,-0.057586,-0.022371,0.993795,-0.025356
9680108630,0.154432,-0.500536,0.003126,-0.025296,0.993813,-0.023197
9680111132,0.154432,-0.500536,0.003126,-0.018736,0.992317,-0.026788
9680113634,0.215335,-0.439616,0.063712,-0.020171,0.996678,-0.024604
9680116136,0.215335,-0.439616,0.063712,-0.021617,0.995246,-0.027527
9680118639,0.215335,-0.439616,0.063712,-0.025263,0.992378,-0.029744
9680121141,0.215295,-0.500592,0.063839,-0.026745,0.990208,-0.028307
9680123643,0.215298,-0.622705,0.003386,-0.021646,0.992341,-0.026809
9680126153,0.154394,-0.683625,-0.057200,-0.020882,0.993796,-0.030434
9680128648,0.154354,-0.744602,-0.057074,-0.023101,0.992353,-0.026820
9680131150,0.093406,-0.622274,0.003372,-0.025320,0.990910,-0.023206
9680133652,0.032457,-0.499947,0.063818,-0.026761,0.993821,-0.021754
9680136154,-0.028449,-0.438755,0.063684,-0.028190,0.994566,-0.024670
9680138657,-0.028283,-0.439072,-0.057727,-0.023117,0.990899,-0.026098
9680141159,0.032706,-0.500423,-0.118299,-0.023833,0.992357,-0.026098
9680143661,0.093735,-0.500797,-0.178997,-0.024548,0.994538,-0.025370
9680146164,0.093735,-0.500797,-0.178997,-0.025309,0.991637,-0.023931
9680148666,0.032746,-0.439446,-0.118425,-0.023106,0.992351,-0.026093
