Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9679686998,0.491230,-1.062028,0.422919
9679737146,0.491175,-1.053091,0.412879
9679787298,0.500183,-1.053185,0.422774
9679837454,0.491183,-1.044193,0.412762
9679887612,0.491310,-1.044273,0.432600
9679937770,0.500215,-1.044311,0.422844
9679987919,0.491322,-1.044284,0.432696
9680038077,0.491281,-1.044267,0.422964
9680088235,0.491250,-1.053142,0.422894
9680138389,0.491273,-1.053165,0.423083
9680188544,0.500271,-1.053249,0.432886
9680238695,0.482366,-1.044217,0.432626
9680288868,0.491302,-1.053170,0.432720
9680339002,0.482238,-1.044138,0.412788
9680389159,0.491290,-1.035370,0.422845
9680439310,0.482253,-1.053059,0.413091
9680489462,0.491186,-1.053102,0.412972
9680539615,0.491209,-1.053126,0.413158
9680589772,0.482313,-1.044189,0.422801
9680639927,0.491322,-1.044284,0.432696
9680690084,0.509140,-1.053252,0.422842
9680740236,0.491238,-1.053130,0.422800
9680790387,0.500151,-1.044271,0.412922
9680840544,0.491270,-1.044256,0.422870
9680890697,0.500215,-1.044311,0.422844
9680940850,0.500279,-1.044351,0.432765
9680991005,0.491302,-1.053170,0.432720
9681041163,0.500219,-1.053221,0.423057
9681091319,0.500195,-1.053197,0.422868
9681141473,0.500227,-1.044323,0.422938
9681191631,0.500140,-1.044260,0.412829
9681241790,0.491186,-1.053102,0.412972
9681291952,0.500290,-1.044362,0.432861
9681342116,0.482250,-1.044149,0.412881
9681392277,0.491186,-1.053102,0.412972
9681442437,0.482197,-1.044121,0.403052
9681492598,0.482336,-1.044212,0.422990
9681542756,0.482408,-1.035354,0.432793
9681592916,0.482197,-1.044121,0.403052
9681643074,0.491250,-1.053142,0.422894
9681693236,0.482325,-1.044201,0.422896
9681743397,0.500215,-1.044311,0.422844
9681793552,0.509244,-1.053308,0.442492
9681843707,0.491337,-1.053205,0.433007
9681893856,0.500386,-1.053316,0.452634
9681944010,0.509204,-1.053292,0.432764
9681994168,0.509319,-1.053360,0.452509
9682044327,0.527158,-1.053442,0.442634
9682094483,0.500398,-1.053328,0.452732
9682144642,0.518244,-1.062301,0.452507
9682194806,0.500374,-1.053304,0.452535
9682244964,0.518320,-1.062352,0.462528
9682295130,0.518252,-1.053403,0.452385
9682345294,0.509248,-1.062218,0.442710
9682395462,0.500406,-1.044430,0.452609
9682445630,0.518344,-1.062376,0.462727
9682495789,0.500354,-1.044402,0.442784
9682545946,0.500299,-1.053253,0.442518
9682596106,0.491258,-1.044244,0.422775
9682646269,0.509065,-1.053201,0.412827
9682696437,0.509236,-1.044418,0.432835
9682746604,0.500322,-1.053277,0.442712
9682796770,0.491270,-1.044256,0.422870
9682846940,0.491345,-1.044307,0.432887
9682897107,0.500267,-1.044339,0.432670
9682947272,0.500302,-1.044374,0.432957
9682997434,0.500215,-1.044311,0.422844
9683047598,0.491377,-1.053221,0.442738
9683097765,0.509128,-1.053241,0.422748
9683147931,0.509180,-1.053269,0.432572
9683198096,0.500271,-1.053249,0.432886
9683248253,0.500311,-1.053265,0.442615
9683298402,0.509272,-1.062241,0.442904
9683348553,0.509383,-1.053399,0.462429
9683398706,0.509363,-1.044497,0.452681
9683448868,0.509279,-1.071131,0.452558
9683499028,0.509363,-1.062285,0.462454
9683549192,0.509331,-1.053371,0.452607
9683599359,0.509307,-1.053348,0.452411
9683649512,0.518244,-1.062301,0.452507
9683699667,0.518220,-1.062277,0.452311
9683749824,0.518249,-1.053422,0.442951
9683799981,0.518276,-1.053427,0.452581
9683850137,0.509331,-1.053371,0.452607
9683900297,0.509283,-1.035537,0.442443
9683950454,0.500271,-1.053249,0.432886
9684000616,0.509351,-1.044485,0.452583
9684050771,0.509160,-1.044366,0.422818
9684100924,0.500192,-1.044288,0.422655
9684151077,0.500267,-1.044339,0.432670
9684201230,0.500319,-1.044368,0.442493
9684251387,0.500267,-1.044339,0.432670
9684301546,0.500406,-1.044430,0.452609
9684351705,0.500319,-1.044368,0.442493
9684401864,0.509339,-1.044474,0.452484
9684452017,0.509307,-1.053348,0.452411
9684502172,0.500311,-1.053265,0.442615
9684552325,0.509268,-1.053332,0.442686
9684602485,0.509256,-1.053320,0.442589
9684652647,0.509466,-1.044553,0.472325
9684702800,0.509268,-1.053332,0.442686
9684752951,0.527222,-1.053482,0.452555
9684803100,0.509375,-1.062297,0.462554
9684853250,0.500430,-1.062242,0.462580
9684903403,0.518328,-1.053455,0.462403
9684953556,0.518404,-1.053506,0.472425
9685003706,0.518364,-1.071278,0.472474
9685053853,0.527238,-1.062403,0.452875
9685104006,0.509450,-1.062349,0.472577
9685154158,0.518276,-1.053427,0.452581
9685204318,0.518328,-1.053455,0.462403
9685254476,0.509439,-1.044548,0.462704
9685304634,0.500366,-1.062202,0.452658
9685354795,0.509319,-1.053360,0.452509
9685404965,0.500335,-1.071076,0.452584
9685455126,0.509236,-1.062206,0.442613
9685505290,0.518340,-1.053466,0.462503
9685555453,0.509343,-1.053383,0.452706
9685605612,0.500409,-1.053339,0.452830
9685655770,0.527209,-1.053470,0.452457
9685705924,0.518244,-1.062301,0.452507
9685756080,0.509319,-1.053360,0.452509
9685806236,0.509403,-1.044513,0.462405
9685856393,0.518404,-1.053506,0.472425
9685906552,0.509299,-1.062245,0.452533
9685956714,0.518284,-1.044529,0.452458
9686006872,0.509268,-1.053332,0.442686
9686057029,0.518495,-1.035762,0.482195
9686107183,0.518622,-1.035842,0.502036
9686157344,0.518786,-1.035955,0.522201
9686207499,0.519143,-1.036170,0.581516
9686257658,0.501400,-1.027253,0.601387
9686307820,0.492848,-1.045236,0.670786
9686357983,0.475022,-1.045165,0.680759
9686408146,0.457270,-1.045146,0.700785
9686458308,0.430934,-1.054195,0.780405
9686508472,0.395437,-1.045259,0.820327
9686558625,0.386663,-1.045299,0.849820
9686608780,0.368890,-1.045256,0.869560
9686658941,0.360072,-1.045280,0.889427
9686709096,0.333535,-1.054199,0.939132
9686759256,0.288917,-1.062888,0.959127
9686809419,0.262325,-1.071779,0.999086
9686859577,0.226828,-1.080617,1.048463
9686909731,0.209180,-1.089563,1.088401
9686959883,0.209403,-1.080822,1.118518
9687010034,0.209270,-1.080730,1.098485
9687060190,0.155432,-1.098091,1.078846
9687110349,0.119646,-1.097857,1.078766
9687160513,0.066238,-1.097710,1.118984
9687210678,0.012549,-1.106278,1.119355
9687260843,-0.005244,-1.088409,1.128900
9687311008,-0.041214,-1.088082,1.099426
9687361174,-0.068178,-1.087824,1.079473
9687411339,-0.094972,-1.069911,1.079871
9687461497,-0.112947,-1.078635,1.069840
9687511661,-0.131029,-1.078418,1.040302
9687561823,-0.148792,-1.078374,1.060021
9687611986,-0.175630,-1.078233,1.060463
9687662152,-0.193538,-1.086971,1.059994
9687712316,-0.202567,-1.095762,1.050122
9687762474,-0.202487,-1.086954,1.060566
9687812630,-0.202358,-1.087021,1.080233
9687862788,-0.175229,-1.069597,1.120185
9687912947,-0.166283,-1.069640,1.119968
9687963108,-0.175204,-1.087385,1.129778
9688013267,-0.184188,-1.105089,1.129661
9688063428,-0.201718,-1.114116,1.189476
9688113596,-0.174606,-1.105528,1.228662
9688163758,-0.156863,-1.114459,1.208993
9688213923,-0.094391,-1.123679,1.189388
9688264088,-0.067596,-1.141590,1.188959
9688314250,-0.076497,-1.150475,1.199134
9688364408,-0.067507,-1.159456,1.209057
9688414572,-0.085270,-1.159439,1.229164
9688464740,-0.085227,-1.168351,1.238908
9688514901,-0.103224,-1.159303,1.219494
9688565058,-0.094531,-1.185870,1.189360
9688615223,-0.049675,-1.212894,1.218669
9688665388,-0.004822,-1.213249,1.238383
9688715552,0.031220,-1.213659,1.278390
9688765713,0.057901,-1.195918,1.248281
9688815875,0.093619,-1.196100,1.238254
9688866031,0.147373,-1.214268,1.257783
9688916191,0.209913,-1.223516,1.247912
9688966355,0.236849,-1.232632,1.267494
9689016513,0.263501,-1.232694,1.237857
9689066672,0.281138,-1.232646,1.198112
9689116837,0.299084,-1.232780,1.207781
9689167004,0.299077,-1.214999,1.198212
9689217173,0.299068,-1.214984,1.198011
9689267335,0.307991,-1.232842,1.198436
9689317496,0.334679,-1.206200,1.168113
9689367659,0.370362,-1.197470,1.148332
9689417821,0.396924,-1.197447,1.108178
9689467985,0.414747,-1.170821,1.088209
9689518148,0.414468,-1.152850,1.038551
9689568317,0.440690,-1.152647,0.939585
9689618480,0.494077,-1.161692,0.899595
9689668642,0.538633,-1.152963,0.869671
9689718816,0.529269,-1.134844,0.800039
9689768990,0.537682,-1.116771,0.710668
9689819150,0.564096,-1.134470,0.651108
9689869316,0.572782,-1.107669,0.601399
9689919477,0.572381,-1.116317,0.541893
9689969640,0.563164,-1.107203,0.492493
9690019807,0.544842,-1.089017,0.422836
9690069962,0.535515,-1.088724,0.363331
9690120126,0.508377,-1.070564,0.313592
9690170292,0.490268,-1.070331,0.274190
9690220453,0.472103,-1.078948,0.234573
9690270615,0.462912,-1.069836,0.194819
9690320776,0.427024,-1.069559,0.175200
9690370940,0.400017,-1.051479,0.145344
9690421106,0.355276,-1.033402,0.135558
9690471271,0.310371,-1.024110,0.105843
9690521443,0.274306,-1.014826,0.056401
9690571605,0.265257,-1.032503,0.046552
9690621770,0.274202,-1.032559,0.046526
9690671940,0.256351,-1.014676,0.046529
9690722104,0.238373,-0.996713,0.026683
9690772266,0.184548,-0.978490,-0.002983
9690822428,0.166423,-0.969334,-0.042654
9690872597,0.121504,-0.968939,-0.072297
9690922760,0.094664,-0.968764,-0.072245
9690972922,0.076924,-0.959856,-0.052343
9691023088,0.032128,-0.932841,-0.072135
9691073250,-0.012601,-0.932556,-0.072031
9691123415,-0.057223,-0.914565,-0.061971
9691173579,-0.101761,-0.914399,-0.032095
9691223740,-0.128449,-0.905409,-0.012261
9691273895,-0.163828,-0.896540,0.047350
9691324061,-0.190538,-0.896462,0.067317
9691374227,-0.199235,-0.896591,0.107188
9691424394,-0.217017,-0.905438,0.127065
9691474564,-0.216716,-0.914514,0.176659
9691524732,-0.225598,-0.914499,0.186610
9691574904,-0.234369,-0.896724,0.206243
9691625074,-0.270176,-0.905407,0.206500
9691675242,-0.279248,-0.905272,0.186680
9691725413,-0.297047,-0.887454,0.196795
9691775578,-0.297139,-0.905162,0.186732
9691825738,-0.278930,-0.905470,0.236296
9691875902,-0.260703,-0.923610,0.295985
9691926069,-0.251520,-0.932701,0.335605
9691976235,-0.278102,-0.932694,0.375382
9692026407,-0.322993,-0.950101,0.355627
9692076579,-0.349746,-0.967797,0.375688
9692126753,-0.367531,-1.003362,0.405703
9692176927,-0.349591,-1.012387,0.415509
9692227096,-0.349499,-1.030228,0.435311
9692277267,-0.349519,-1.039114,0.435335
9692327433,-0.340760,-1.065749,0.415537
9692377609,-0.349817,-1.056740,0.395782
9692427774,-0.358989,-1.074326,0.365997
9692477936,-0.359219,-1.091979,0.336277
9692528099,-0.385977,-1.082979,0.346337
9692578263,-0.403755,-1.091822,0.366176
9692628436,-0.412577,-1.065148,0.376052
9692678611,-0.385937,-1.065207,0.346288
9692728781,-0.341352,-1.047568,0.316176
9692778947,-0.314846,-1.047570,0.266707
9692829116,-0.306088,-1.047495,0.236834
9692879286,-0.288308,-1.038651,0.216974
9692929452,-0.279442,-1.047541,0.206983
9692979621,-0.270349,-1.038790,0.226781
9693029791,-0.252605,-1.047707,0.206905
9693079955,-0.243643,-1.038887,0.206918
9693130124,-0.234712,-1.047806,0.206788
9693180292,-0.216841,-1.056803,0.206761
9693230460,-0.190217,-1.065747,0.176998
9693280624,-0.181564,-1.083404,0.137268
9693330793,-0.145722,-1.083701,0.147255
9693380960,-0.137005,-1.101373,0.117340
9693431131,-0.128207,-1.110248,0.097541
9693481299,-0.110614,-1.101261,0.047799
9693531463,-0.074980,-1.110277,0.027834
9693581627,-0.030465,-1.092659,-0.011930
9693631789,0.004996,-1.092657,-0.061719
9693681944,0.049509,-1.101688,-0.091617
9693732101,0.067339,-1.101771,-0.101569
9693782253,0.085293,-1.101921,-0.091698
9693832411,0.148357,-1.075899,-0.032383
9693882567,0.228899,-1.067534,-0.032579
9693932725,0.309352,-1.059082,-0.042826
9693982885,0.336383,-1.050457,-0.013223
9694033045,0.354378,-1.068443,0.006691
9694083202,0.390459,-1.077748,0.056234
9694133364,0.408738,-1.042500,0.105656
9694183526,0.426829,-1.042741,0.135429
9694233688,0.453910,-1.043054,0.174988
9694283849,0.472022,-1.034409,0.204746
9694334036,0.490093,-1.034627,0.234399
9694384167,0.499335,-1.025977,0.274189
9694434331,0.499515,-1.026085,0.303889
9694484494,0.481676,-1.026003,0.313786
9694534652,0.490760,-1.026149,0.333688
9694584810,0.490749,-1.026138,0.333606
9694634975,0.490584,-1.034950,0.304173
9694685139,0.490696,-1.026109,0.323764
9694735308,0.490740,-1.035035,0.333713
9694785472,0.472828,-1.026021,0.323977
9694835636,0.481868,-1.017241,0.333936
9694885797,0.490812,-1.026178,0.343529
9694935954,0.490824,-1.026189,0.343613
9694986111,0.490856,-1.035104,0.353477
9695036268,0.481930,-1.026162,0.353479
9695086425,0.481878,-1.026134,0.343639
9695136578,0.490939,-1.026257,0.363376
9695186738,0.482089,-1.017366,0.373388
9695236896,0.482144,-1.026304,0.383426
9695287050,0.482133,-1.026292,0.383337
9695337205,0.491023,-1.017411,0.373275
9695387361,0.491078,-1.026348,0.383311
9695437533,0.491067,-1.026336,0.383222
9695487678,0.482121,-1.026281,0.383248
9695537837,0.482153,-1.017406,0.383313
9695587995,0.491194,-1.026416,0.403069
9695638148,0.491034,-1.017422,0.373362
9695688301,0.490972,-1.035172,0.373236
9695738454,0.482102,-1.035167,0.383273
9695788604,0.482121,-1.026281,0.383248
9695838758,0.482187,-1.017439,0.383579
9695888910,0.491234,-1.008644,0.403020
9695939062,0.482130,-1.017384,0.383135
9695989215,0.490931,-1.035154,0.363486
9696039377,0.499968,-1.017466,0.373248
9696089540,0.473176,-1.026226,0.383274
9696139698,0.482080,-1.026264,0.373500
9696189858,0.482066,-1.017344,0.373213
9696240019,0.482060,-1.035150,0.373525
9696290186,0.490962,-1.026279,0.363548
9696340350,0.481994,-1.026202,0.363402
