Timestamp (us),W Element,X Element,Y Element,Z Element
9679678242,-0.309581,-0.304525,-0.648355,-0.625542
9679680744,-0.309587,-0.304535,-0.648349,-0.625541
9679683247,-0.309593,-0.304547,-0.648344,-0.625537
9679685748,-0.309601,-0.304560,-0.648338,-0.625533
9679688251,-0.309606,-0.304567,-0.648332,-0.625533
9679690753,-0.309613,-0.304574,-0.648325,-0.625534
9679693255,-0.309620,-0.304583,-0.648318,-0.625534
9679695758,-0.309629,-0.304590,-0.648312,-0.625532
9679698260,-0.309638,-0.304599,-0.648306,-0.625528
9679700762,-0.309648,-0.304609,-0.648299,-0.625527
9679703264,-0.309657,-0.304619,-0.648292,-0.625524
9679705767,-0.309665,-0.304626,-0.648288,-0.625521
9679708269,-0.309670,-0.304629,-0.648285,-0.625519
9679710771,-0.309677,-0.304630,-0.648281,-0.625520
9679713273,-0.309683,-0.304631,-0.648277,-0.625522
9679715775,-0.309691,-0.304633,-0.648272,-0.625521
9679718278,-0.309699,-0.304638,-0.648269,-0.625518
9679720780,-0.309706,-0.304644,-0.648266,-0.625514
9679723301,-0.309712,-0.304652,-0.648263,-0.625511
9679725795,-0.309720,-0.304659,-0.648259,-0.625508
9679728286,-0.309728,-0.304665,-0.648256,-0.625504
9679730788,-0.309735,-0.304673,-0.648252,-0.625501
9679733290,-0.309746,-0.304680,-0.648248,-0.625496
9679735792,-0.309757,-0.304686,-0.648247,-0.625489
9679738294,-0.309772,-0.304694,-0.648244,-0.625480
9679740797,-0.309784,-0.304702,-0.648243,-0.625472
9679743299,-0.309793,-0.304707,-0.648240,-0.625468
9679745801,-0.309800,-0.304710,-0.648235,-0.625468
9679748304,-0.309805,-0.304710,-0.648231,-0.625470
9679750806,-0.309807,-0.304709,-0.648227,-0.625474
9679753308,-0.309808,-0.304710,-0.648224,-0.625476
9679755811,-0.309811,-0.304714,-0.648220,-0.625476
9679758312,-0.309816,-0.304718,-0.648218,-0.625474
9679760815,-0.309821,-0.304723,-0.648217,-0.625470
9679763317,-0.309825,-0.304729,-0.648217,-0.625466
9679765820,-0.309825,-0.304733,-0.648218,-0.625462
9679768322,-0.309824,-0.304736,-0.648222,-0.625458
9679770824,-0.309823,-0.304736,-0.648227,-0.625453
9679773326,-0.309822,-0.304736,-0.648232,-0.625448
9679775829,-0.309822,-0.304737,-0.648234,-0.625446
9679778331,-0.309824,-0.304740,-0.648234,-0.625443
9679780833,-0.309825,-0.304745,-0.648233,-0.625441
9679783335,-0.309825,-0.304751,-0.648229,-0.625442
9679785837,-0.309825,-0.304755,-0.648226,-0.625442
9679788340,-0.309825,-0.304758,-0.648224,-0.625443
9679790842,-0.309828,-0.304762,-0.648222,-0.625442
9679793344,-0.309832,-0.304768,-0.648221,-0.625438
9679795847,-0.309837,-0.304776,-0.648220,-0.625433
9679798349,-0.309845,-0.304786,-0.648217,-0.625428
9679800851,-0.309856,-0.304795,-0.648212,-0.625422
9679803353,-0.309866,-0.304805,-0.648207,-0.625418
9679805855,-0.309873,-0.304814,-0.648201,-0.625416
9679808358,-0.309876,-0.304825,-0.648196,-0.625415
9679810860,-0.309877,-0.304833,-0.648193,-0.625413
9679813362,-0.309878,-0.304841,-0.648189,-0.625414
9679815864,-0.309877,-0.304846,-0.648185,-0.625415
9679818367,-0.309879,-0.304851,-0.648183,-0.625414
9679820869,-0.309883,-0.304855,-0.648180,-0.625414
9679823371,-0.309889,-0.304858,-0.648176,-0.625413
9679825874,-0.309896,-0.304861,-0.648174,-0.625410
9679828376,-0.309901,-0.304865,-0.648172,-0.625407
9679830878,-0.309905,-0.304870,-0.648171,-0.625405
9679833380,-0.309908,-0.304876,-0.648167,-0.625404
9679835883,-0.309910,-0.304884,-0.648165,-0.625401
9679838385,-0.309911,-0.304892,-0.648163,-0.625399
9679840887,-0.309913,-0.304898,-0.648163,-0.625395
9679843389,-0.309915,-0.304903,-0.648161,-0.625394
9679845892,-0.309918,-0.304909,-0.648158,-0.625393
9679848394,-0.309926,-0.304916,-0.648152,-0.625392
9679850896,-0.309934,-0.304925,-0.648146,-0.625389
9679853398,-0.309944,-0.304933,-0.648139,-0.625388
9679855901,-0.309953,-0.304940,-0.648132,-0.625387
9679858403,-0.309961,-0.304949,-0.648126,-0.625386
9679860905,-0.309965,-0.304960,-0.648121,-0.625383
9679863407,-0.309967,-0.304970,-0.648119,-0.625379
9679865910,-0.309971,-0.304979,-0.648117,-0.625375
9679868412,-0.309975,-0.304987,-0.648115,-0.625371
9679870914,-0.309981,-0.304996,-0.648112,-0.625366
9679873416,-0.309987,-0.305006,-0.648110,-0.625360
9679875919,-0.309998,-0.305015,-0.648105,-0.625356
9679878421,-0.310007,-0.305026,-0.648098,-0.625353
9679880923,-0.310017,-0.305035,-0.648092,-0.625350
9679883425,-0.310027,-0.305046,-0.648088,-0.625345
9679885928,-0.310034,-0.305060,-0.648084,-0.625338
9679888430,-0.310036,-0.305067,-0.648083,-0.625335
9679890932,-0.310038,-0.305070,-0.648082,-0.625333
9679893434,-0.310037,-0.305072,-0.648082,-0.625332
9679895937,-0.310032,-0.305074,-0.648085,-0.625331
9679898439,-0.310029,-0.305075,-0.648091,-0.625326
9679900941,-0.310030,-0.305076,-0.648093,-0.625323
9679903443,-0.310032,-0.305082,-0.648093,-0.625319
9679905946,-0.310034,-0.305090,-0.648092,-0.625316
9679908448,-0.310036,-0.305098,-0.648089,-0.625314
9679910950,-0.310038,-0.305103,-0.648086,-0.625312
9679913452,-0.310041,-0.305108,-0.648086,-0.625310
9679915955,-0.310044,-0.305112,-0.648085,-0.625306
9679918457,-0.310048,-0.305120,-0.648085,-0.625301
9679920959,-0.310050,-0.305129,-0.648084,-0.625297
9679923462,-0.310052,-0.305136,-0.648083,-0.625293
9679925964,-0.310054,-0.305137,-0.648083,-0.625292
9679928466,-0.310058,-0.305136,-0.648082,-0.625291
9679930968,-0.310062,-0.305137,-0.648081,-0.625290
9679933471,-0.310068,-0.305142,-0.648078,-0.625288
9679935973,-0.310073,-0.305149,-0.648074,-0.625286
9679938475,-0.310083,-0.305161,-0.648068,-0.625281
9679940977,-0.310095,-0.305174,-0.648062,-0.625275
9679943480,-0.310106,-0.305188,-0.648057,-0.625268
9679945982,-0.310117,-0.305199,-0.648053,-0.625262
9679948484,-0.310130,-0.305208,-0.648047,-0.625257
9679950986,-0.310141,-0.305216,-0.648042,-0.625253
9679953488,-0.310150,-0.305224,-0.648038,-0.625248
9679955991,-0.310158,-0.305234,-0.648033,-0.625244
9679958493,-0.310168,-0.305245,-0.648030,-0.625237
9679960995,-0.310177,-0.305256,-0.648027,-0.625231
9679963498,-0.310185,-0.305264,-0.648024,-0.625226
9679966000,-0.310192,-0.305271,-0.648020,-0.625223
9679968502,-0.310199,-0.305279,-0.648017,-0.625219
9679971004,-0.310209,-0.305288,-0.648011,-0.625216
9679973507,-0.310220,-0.305296,-0.648006,-0.625212
9679976009,-0.310233,-0.305302,-0.648000,-0.625208
9679978511,-0.310246,-0.305305,-0.647993,-0.625208
9679981013,-0.310257,-0.305308,-0.647986,-0.625207
9679983516,-0.310264,-0.305312,-0.647980,-0.625208
9679986018,-0.310269,-0.305315,-0.647977,-0.625208
9679988520,-0.310269,-0.305315,-0.647977,-0.625208
9679991022,-0.310268,-0.305317,-0.647978,-0.625207
9679993525,-0.310268,-0.305320,-0.647980,-0.625203
9679996027,-0.310272,-0.305323,-0.647979,-0.625200
9679998529,-0.310275,-0.305329,-0.647977,-0.625198
9680001031,-0.310278,-0.305336,-0.647976,-0.625194
9680003534,-0.310279,-0.305342,-0.647974,-0.625193
9680006036,-0.310281,-0.305344,-0.647972,-0.625193
9680008538,-0.310283,-0.305344,-0.647971,-0.625193
9680011040,-0.310285,-0.305343,-0.647973,-0.625191
9680013544,-0.310287,-0.305341,-0.647976,-0.625188
9680016046,-0.310288,-0.305342,-0.647978,-0.625184
9680018549,-0.310290,-0.305344,-0.647979,-0.625181
9680021051,-0.310292,-0.305346,-0.647980,-0.625178
9680023553,-0.310292,-0.305346,-0.647982,-0.625176
9680026055,-0.310292,-0.305345,-0.647985,-0.625174
9680028558,-0.310293,-0.305343,-0.647989,-0.625170
9680031060,-0.310294,-0.305344,-0.647990,-0.625167
9680033562,-0.310295,-0.305346,-0.647988,-0.625168
9680036064,-0.310294,-0.305348,-0.647986,-0.625170
9680038567,-0.310296,-0.305353,-0.647983,-0.625170
9680041069,-0.310299,-0.305354,-0.647981,-0.625170
9680043571,-0.310302,-0.305356,-0.647982,-0.625167
9680046074,-0.310308,-0.305357,-0.647982,-0.625163
9680048576,-0.310316,-0.305359,-0.647979,-0.625161
9680051078,-0.310320,-0.305364,-0.647977,-0.625158
9680053580,-0.310325,-0.305367,-0.647975,-0.625157
9680056083,-0.310331,-0.305369,-0.647973,-0.625154
9680058585,-0.310338,-0.305372,-0.647970,-0.625153
9680061087,-0.310342,-0.305377,-0.647967,-0.625152
9680063589,-0.310344,-0.305383,-0.647966,-0.625149
9680066092,-0.310346,-0.305387,-0.647965,-0.625146
9680068594,-0.310349,-0.305389,-0.647965,-0.625145
9680071096,-0.310349,-0.305391,-0.647966,-0.625142
9680073598,-0.310351,-0.305396,-0.647967,-0.625137
9680076100,-0.310353,-0.305402,-0.647968,-0.625133
9680078602,-0.310354,-0.305409,-0.647970,-0.625127
9680081105,-0.310354,-0.305416,-0.647971,-0.625123
9680083607,-0.310357,-0.305423,-0.647969,-0.625120
9680086109,-0.310362,-0.305425,-0.647968,-0.625118
9680088612,-0.310365,-0.305428,-0.647967,-0.625115
9680091114,-0.310367,-0.305431,-0.647966,-0.625114
9680093616,-0.310369,-0.305435,-0.647963,-0.625114
9680096118,-0.310373,-0.305437,-0.647959,-0.625115
9680098620,-0.310377,-0.305438,-0.647956,-0.625116
9680101123,-0.310378,-0.305438,-0.647955,-0.625117
9680103625,-0.310378,-0.305437,-0.647955,-0.625117
9680106128,-0.310379,-0.305435,-0.647957,-0.625115
9680108630,-0.310379,-0.305434,-0.647959,-0.625113
9680111132,-0.310378,-0.305435,-0.647962,-0.625111
9680113634,-0.310375,-0.305436,-0.647964,-0.625109
9680116136,-0.310372,-0.305437,-0.647968,-0.625107
9680118639,-0.310369,-0.305437,-0.647972,-0.625103
