Timestamp (us),Percentage (%),Power (dBm)
9679887701,98.000000,-51.000000
9680884045,98.000000,-51.000000
9681887848,96.000000,-52.000000
9682882907,98.000000,-51.000000
9683882920,100.000000,-50.000000
9684888054,100.000000,-50.000000
9685881449,100.000000,-49.000000
9686879850,100.000000,-48.000000
9687883284,86.000000,-57.000000
9688882984,100.000000,-49.000000
9689915086,98.000000,-51.000000
9690887649,100.000000,-50.000000
9691886915,92.000000,-54.000000
9692883035,100.000000,-50.000000
9693881181,98.000000,-51.000000
9694877094,100.000000,-50.000000
9695882983,98.000000,-51.000000
9696883086,96.000000,-52.000000
9697882296,94.000000,-53.000000
9698880678,82.000000,-59.000000
9699883124,82.000000,-59.000000
9700887519,88.000000,-56.000000
9701885918,90.000000,-55.000000
9702881788,100.000000,-50.000000
9703882229,100.000000,-50.000000
9704888615,80.000000,-60.000000
9705885934,92.000000,-54.000000
9706885417,100.000000,-50.000000
9707896601,100.000000,-50.000000
9708883239,80.000000,-60.000000
9709888112,84.000000,-58.000000
9710881525,78.000000,-61.000000
9711889540,98.000000,-51.000000
9712888356,82.000000,-59.000000
9713886740,94.000000,-53.000000
9714885171,100.000000,-49.000000
9715883329,100.000000,-50.000000
9716884455,96.000000,-52.000000
9717883355,84.000000,-58.000000
9718888734,92.000000,-54.000000
9719884663,90.000000,-55.000000
9720885566,100.000000,-50.000000
9721883968,92.000000,-54.000000
9722884869,98.000000,-51.000000
9723890767,96.000000,-52.000000
9724883465,100.000000,-50.000000
9725883532,84.000000,-58.000000
9726888478,96.000000,-52.000000
9727884385,84.000000,-58.000000
9728880253,100.000000,-50.000000
9729885338,100.000000,-47.000000
9730894559,96.000000,-52.000000
9731890457,88.000000,-56.000000
9732891357,100.000000,-47.000000
9733883559,96.000000,-52.000000
9734885684,86.000000,-57.000000
9735883585,86.000000,-57.000000
9736883598,82.000000,-59.000000
9737883385,84.000000,-58.000000
