Timestamp (us),Temperature (degC)
9679763317,33.750000
9680764219,33.750000
9681765121,33.750000
9682766023,33.750000
9683766925,33.750000
9684767828,33.750000
9685768731,33.750000
9686769634,33.750000
9687770542,33.750000
9688771440,33.825001
9689772341,33.875000
9690773244,33.875000
9691774147,33.750000
9692775050,33.750000
9693775953,33.750000
9694776856,33.750000
9695777760,33.750000
9696778665,33.750000
9697779568,33.825001
9698780472,33.825001
9699781375,33.750000
9700782278,33.750000
9701783181,33.750000
9702784083,33.825001
9703784987,33.875000
9704785890,33.875000
9705786793,33.750000
9706787697,33.849998
9707788600,33.799999
9708789503,33.775002
9709790406,33.875000
9710791311,33.875000
9711792214,33.799999
9712793117,33.799999
9713794020,33.875000
9714794924,33.875000
9715795825,33.875000
9716796729,33.799999
9717797632,33.750000
9718798535,33.750000
9719799438,33.875000
9720800342,33.775002
9721801246,33.825001
9722802148,33.849998
9723803051,33.750000
9724803966,33.750000
9725804854,33.750000
9726805757,33.750000
9727806659,33.750000
9728807561,33.750000
9729808463,33.650002
9730809367,33.700001
9731810268,33.750000
9732811170,33.750000
9733812071,33.750000
9734812972,33.650002
9735813874,33.674999
9736814774,33.750000
9737815677,33.750000
