Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9679673357,-0.081444,0.872085,-0.124202
9679693994,-0.032444,0.774085,-0.075202
9679714632,-0.032444,0.774085,-0.173202
9679735270,0.016556,0.823085,-0.124202
9679755909,-0.032444,0.823085,-0.124202
9679776549,-0.032444,0.921085,-0.173202
9679797188,-0.081444,0.872085,-0.173202
9679817827,-0.130444,0.823085,-0.124202
9679838467,-0.081444,0.921085,-0.222202
9679859106,-0.032444,0.872085,-0.173202
9679879745,-0.081444,0.921085,-0.124202
9679900383,-0.130444,0.872085,-0.173202
9679921022,-0.081444,0.872085,-0.173202
9679941661,-0.130444,0.872085,-0.173202
9679962299,-0.130444,0.872085,-0.173202
9679982938,-0.081444,0.872085,-0.075202
9680003577,-0.081444,0.921085,-0.173202
9680024216,-0.081444,0.921085,-0.173202
9680044855,-0.081444,0.921085,-0.124202
9680065493,-0.130444,0.921085,-0.124202
9680086131,0.016556,0.921085,-0.124202
9680106768,-0.081444,0.921085,-0.173202
9680127405,-0.032444,0.872085,-0.124202
9680148043,0.016556,0.823085,-0.124202
9680168680,-0.032444,0.872085,-0.222202
9680189316,-0.032444,0.872085,-0.271202
9680209952,-0.130444,0.872085,-0.222202
9680230590,-0.081444,0.872085,-0.124202
9680251227,-0.081444,0.823085,-0.222202
9680271865,-0.032444,0.872085,-0.173202
9680292502,-0.032444,0.872085,-0.124202
9680313140,-0.081444,0.921085,-0.222202
9680333782,-0.130444,0.970085,-0.222202
9680354416,-0.032444,0.872085,-0.222202
9680375054,-0.130444,0.872085,-0.222202
9680395692,-0.081444,0.921085,-0.173202
9680416331,-0.130444,0.921085,-0.222202
9680436970,-0.032444,0.774085,-0.271202
9680457609,-0.130444,0.921085,-0.271202
9680478247,-0.130444,0.970085,-0.222202
9680498885,-0.032444,0.872085,-0.124202
9680519522,-0.081444,0.823085,-0.222202
9680540161,-0.032444,0.774085,-0.173202
9680560799,-0.228444,0.921085,-0.320202
9680581437,0.016556,0.921085,-0.271202
9680602075,-0.032444,0.823085,-0.222202
9680622713,-0.179444,0.872085,-0.173202
9680643351,-0.081444,0.970085,0.022798
9680663990,-0.032444,0.970085,-0.075202
9680684631,-0.032444,0.872085,-0.173202
9680705270,-0.081444,0.872085,-0.173202
9680725940,0.016556,0.774085,-0.173202
9680746548,-0.032444,0.872085,-0.222202
9680767188,-0.032444,0.872085,-0.173202
9680787827,-0.130444,0.970085,-0.222202
9680808466,-0.032444,0.823085,-0.026202
9680829105,-0.081444,0.823085,-0.173202
9680849744,-0.081444,0.823085,-0.124202
9680870383,-0.081444,0.872085,-0.124202
9680891022,-0.081444,0.823085,-0.173202
9680911662,0.016556,0.823085,-0.124202
