Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9679673990,0.360037,-1.260162,-0.223106
9679723649,0.368933,-1.278305,-0.223148
9679773309,0.368917,-1.269238,-0.223045
9679822960,0.386276,-1.260730,-0.191733
9679872609,0.351056,-1.269386,-0.213011
9679922263,0.351022,-1.269336,-0.212817
9679971923,0.359918,-1.260343,-0.212813
9680021577,0.360052,-1.269229,-0.223209
9680071230,0.350891,-1.269501,-0.202458
9680120888,0.351041,-1.287454,-0.212955
9680170545,0.359925,-1.278445,-0.212886
9680220201,0.360067,-1.278297,-0.223311
9680269866,0.359775,-1.287627,-0.202434
9680319526,0.351336,-1.287175,-0.233870
9680369183,0.359948,-1.278479,-0.213015
9680418847,0.360049,-1.260178,-0.223172
9680468500,0.368779,-1.278436,-0.212660
9680518153,0.359910,-1.269377,-0.212785
9680567817,0.359772,-1.278576,-0.202398
9680617472,0.351037,-1.278403,-0.212918
9680667133,0.359806,-1.278627,-0.202587
9680716799,0.368648,-1.278601,-0.202300
9680766466,0.369071,-1.269106,-0.233535
9680816130,0.369071,-1.269106,-0.233535
9680865800,0.360479,-1.268785,-0.254480
9680915442,0.360606,-1.259569,-0.264795
9680965096,0.369378,-1.268843,-0.254524
9681014755,0.360371,-1.268983,-0.244264
9681064411,0.351463,-1.277959,-0.244189
9681114065,0.342590,-1.286985,-0.244323
9681163730,0.333842,-1.277744,-0.254737
9681213393,0.342325,-1.278264,-0.223571
9681263056,0.324560,-1.278198,-0.223699
9681312712,0.324120,-1.296710,-0.192373
9681362364,0.306225,-1.296808,-0.182145
9681412021,0.315264,-1.296719,-0.192593
9681461673,0.314682,-1.288244,-0.150801
9681511327,0.314279,-1.297774,-0.119667
9681560982,0.305700,-1.306521,-0.140708
9681610639,0.314124,-1.315989,-0.109215
9681660290,0.314401,-1.297591,-0.129990
9681709950,0.332151,-1.315724,-0.129816
9681759603,0.332300,-1.306543,-0.140255
9681809262,0.341742,-1.296925,-0.181817
9681858925,0.351026,-1.278386,-0.212854
9681908580,0.333575,-1.269023,-0.233991
9681958234,0.334002,-1.268579,-0.265267
9682007893,0.343432,-1.258944,-0.306756
9682057552,0.352462,-1.258837,-0.317163
9682107204,0.361043,-1.259141,-0.296138
9682156851,0.369767,-1.232162,-0.285509
9682206505,0.360898,-1.250239,-0.285678
9682256152,0.352320,-1.258985,-0.306738
9682305802,0.361167,-1.240876,-0.306411
9682355459,0.361170,-1.249926,-0.306447
9682405116,0.343428,-1.249893,-0.306720
9682454763,0.361182,-1.249942,-0.306526
9682504417,0.369529,-1.259660,-0.264987
9682554101,0.360467,-1.268768,-0.254409
9682603724,0.351037,-1.278403,-0.212918
9682653381,0.341884,-1.296776,-0.192241
9682703038,0.359211,-1.297271,-0.160775
9682752693,0.358923,-1.288516,-0.139892
9682802339,0.323021,-1.316049,-0.109216
9682851986,0.331589,-1.307284,-0.088137
9682901642,0.349190,-1.307464,-0.077474
9682951301,0.349077,-1.298614,-0.067145
9683000957,0.340452,-1.298240,-0.087957
9683050617,0.358205,-1.298290,-0.087763
9683100272,0.349613,-1.297969,-0.108705
9683149930,0.358923,-1.288516,-0.139892
9683199590,0.359338,-1.288055,-0.171104
9683249254,0.350771,-1.296819,-0.192205
9683298917,0.333575,-1.296159,-0.234033
9683348578,0.333728,-1.296028,-0.244526
9683398246,0.315961,-1.286910,-0.244614
9683447878,0.315670,-1.296240,-0.223737
9683497532,0.324688,-1.296117,-0.234062
9683547184,0.333287,-1.287405,-0.213149
9683596839,0.324407,-1.278329,-0.213210
9683646492,0.324269,-1.287528,-0.202822
9683696150,0.333423,-1.296290,-0.223543
9683745806,0.324969,-1.286770,-0.254870
9683795453,0.316092,-1.286745,-0.254967
9683845111,0.333699,-1.277892,-0.244314
9683894768,0.333280,-1.269303,-0.213076
9683944425,0.333568,-1.278057,-0.233960
9683994082,0.341731,-1.296907,-0.181757
9684043740,0.332570,-1.297179,-0.161010
9684093399,0.341177,-1.306568,-0.140158
9684143060,0.349634,-1.298004,-0.108803
9684192719,0.340459,-1.316342,-0.088030
9684242397,0.358077,-1.307507,-0.077422
9684292027,0.340047,-1.298720,-0.056774
9684341685,0.339894,-1.298850,-0.046309
9684391337,0.357793,-1.307803,-0.056575
9684440994,0.349219,-1.298466,-0.077572
9684490648,0.357957,-1.307690,-0.067084
9684540302,0.358074,-1.298456,-0.077386
9684589957,0.340633,-1.316247,-0.098595
9684639611,0.340892,-1.306864,-0.119311
9684689271,0.341038,-1.315767,-0.129771
9684738925,0.323593,-1.297372,-0.150906
9684788585,0.314973,-1.306049,-0.171721
9684838246,0.315126,-1.305918,-0.182204
9684887901,0.314973,-1.306049,-0.171721
9684937556,0.341465,-1.315323,-0.161042
9684987214,0.323562,-1.297319,-0.150740
9685036872,0.323857,-1.297040,-0.171646
9685086544,0.323857,-1.297040,-0.171646
9685136182,0.314841,-1.306215,-0.161354
9685185839,0.323018,-1.306998,-0.109180
9685235505,0.331589,-1.307284,-0.088137
9685285159,0.322865,-1.307129,-0.098705
9685334812,0.330879,-1.308025,-0.036018
9685384466,0.331014,-1.316909,-0.046438
9685434118,0.330484,-1.308523,-0.004849
9685483768,0.321292,-1.308740,0.016003
9685533423,0.330449,-1.299418,-0.004711
9685583079,0.330335,-1.317704,0.005576
9685632732,0.321295,-1.317791,0.015967
9685682389,0.329884,-1.309061,0.036948
9685732045,0.347253,-1.309628,0.068321
9685781704,0.346525,-1.319384,0.120464
9685831355,0.345800,-1.311055,0.172642
9685881015,0.354243,-1.293422,0.204088
9685930693,0.353661,-1.284946,0.245822
9685980332,0.361972,-1.267480,0.287696
9686029983,0.361258,-1.259169,0.339858
9686079641,0.387440,-1.232518,0.371513
9686129297,0.378286,-1.223756,0.392324
9686178963,0.368684,-1.188267,0.444499
9686228623,0.331890,-1.171399,0.538010
9686278279,0.295945,-1.144591,0.569007
9686327938,0.269034,-1.153864,0.589529
9686377597,0.198033,-1.171783,0.588734
9686427247,0.215638,-1.171965,0.599299
9686476900,0.260856,-1.144032,0.537296
9686526557,0.278901,-1.161887,0.516570
9686576221,0.278909,-1.161903,0.516613
9686625880,0.296650,-1.152886,0.516801
9686675534,0.305953,-1.152466,0.485627
9686725187,0.287928,-1.161779,0.506285
9686774844,0.252567,-1.170583,0.495435
9686824494,0.225364,-1.162050,0.536881
9686874149,0.216177,-1.117051,0.557767
9686923810,0.180398,-1.144400,0.578117
9686973469,0.126275,-1.108951,0.640284
9687023123,0.089911,-1.100690,0.702483
9687072784,0.018595,-1.064569,0.722628
9687122440,-0.026226,-1.037736,0.753523
9687172092,-0.132458,-1.046193,0.731474
9687221751,-0.149481,-1.090642,0.678912
9687271408,-0.131285,-1.135532,0.647785
9687321066,-0.122109,-1.171464,0.626886
9687370721,-0.121810,-1.207372,0.605890
9687420367,-0.139703,-1.216539,0.616143
9687470011,-0.166337,-1.207413,0.615888
9687519658,-0.193255,-1.198567,0.636425
9687569304,-0.211451,-1.171841,0.667748
