Timestamp (us),W Element,X Element,Y Element,Z Element
9679654442,-0.562979,-0.479878,-0.441784,-0.507782
9679656940,-0.562999,-0.479993,-0.441755,-0.507676
9679659437,-0.563016,-0.480112,-0.441727,-0.507569
9679661935,-0.563032,-0.480232,-0.441698,-0.507463
9679664432,-0.563047,-0.480354,-0.441670,-0.507355
9679666930,-0.563062,-0.480478,-0.441642,-0.507244
9679669427,-0.563075,-0.480605,-0.441617,-0.507132
9679671925,-0.563086,-0.480733,-0.441594,-0.507018
9679674422,-0.563092,-0.480859,-0.441575,-0.506909
9679676920,-0.563096,-0.480988,-0.441557,-0.506799
9679679417,-0.563097,-0.481121,-0.441539,-0.506687
9679681915,-0.563097,-0.481254,-0.441521,-0.506576
9679684412,-0.563096,-0.481387,-0.441507,-0.506463
9679686910,-0.563091,-0.481521,-0.441496,-0.506351
9679689407,-0.563083,-0.481655,-0.441487,-0.506239
9679691905,-0.563074,-0.481790,-0.441478,-0.506128
9679694402,-0.563066,-0.481924,-0.441470,-0.506018
9679696900,-0.563058,-0.482055,-0.441463,-0.505908
9679699397,-0.563052,-0.482183,-0.441453,-0.505801
9679701895,-0.563044,-0.482309,-0.441443,-0.505698
9679704392,-0.563036,-0.482434,-0.441434,-0.505596
9679706889,-0.563029,-0.482558,-0.441423,-0.505494
9679709387,-0.563026,-0.482681,-0.441410,-0.505392
9679711884,-0.563026,-0.482802,-0.441392,-0.505291
9679714382,-0.563028,-0.482923,-0.441372,-0.505191
9679716879,-0.563031,-0.483044,-0.441349,-0.505093
9679719377,-0.563033,-0.483161,-0.441329,-0.504996
9679721874,-0.563033,-0.483277,-0.441312,-0.504901
9679724372,-0.563029,-0.483390,-0.441302,-0.504806
9679726869,-0.563021,-0.483503,-0.441297,-0.504711
9679729367,-0.563008,-0.483616,-0.441295,-0.504618
9679731864,-0.562990,-0.483728,-0.441300,-0.504526
9679734362,-0.562967,-0.483840,-0.441311,-0.504435
9679736859,-0.562938,-0.483950,-0.441327,-0.504347
9679739357,-0.562905,-0.484060,-0.441349,-0.504260
9679741854,-0.562869,-0.484168,-0.441377,-0.504173
9679744352,-0.562832,-0.484277,-0.441407,-0.504083
9679746849,-0.562795,-0.484386,-0.441437,-0.503993
9679749346,-0.562756,-0.484496,-0.441467,-0.503904
9679751844,-0.562716,-0.484605,-0.441499,-0.503816
9679754341,-0.562674,-0.484711,-0.441536,-0.503729
9679756839,-0.562632,-0.484815,-0.441573,-0.503644
9679759336,-0.562590,-0.484914,-0.441612,-0.503560
9679761834,-0.562549,-0.485013,-0.441651,-0.503476
9679764331,-0.562510,-0.485108,-0.441689,-0.503394
9679766829,-0.562472,-0.485202,-0.441726,-0.503316
9679769327,-0.562436,-0.485291,-0.441761,-0.503239
9679771824,-0.562403,-0.485377,-0.441791,-0.503166
9679774321,-0.562373,-0.485460,-0.441820,-0.503094
9679776819,-0.562344,-0.485541,-0.441847,-0.503024
9679779316,-0.562317,-0.485619,-0.441876,-0.502954
9679781814,-0.562291,-0.485694,-0.441907,-0.502884
9679784311,-0.562265,-0.485767,-0.441940,-0.502813
9679786809,-0.562237,-0.485843,-0.441973,-0.502742
9679789306,-0.562206,-0.485919,-0.442009,-0.502671
9679791804,-0.562175,-0.485993,-0.442046,-0.502602
9679794301,-0.562142,-0.486067,-0.442085,-0.502533
9679796799,-0.562109,-0.486142,-0.442122,-0.502464
9679799296,-0.562078,-0.486217,-0.442158,-0.502394
9679801794,-0.562049,-0.486295,-0.442193,-0.502321
9679804291,-0.562020,-0.486378,-0.442228,-0.502243
9679806789,-0.561991,-0.486464,-0.442260,-0.502164
9679809286,-0.561964,-0.486551,-0.442290,-0.502083
9679811783,-0.561940,-0.486638,-0.442315,-0.502003
9679814281,-0.561919,-0.486725,-0.442337,-0.501923
9679816778,-0.561900,-0.486813,-0.442355,-0.501844
9679819276,-0.561881,-0.486904,-0.442371,-0.501761
9679821773,-0.561866,-0.486996,-0.442385,-0.501677
9679824271,-0.561835,-0.487079,-0.442410,-0.501610
9679826768,-0.561803,-0.487164,-0.442434,-0.501541
9679829266,-0.561774,-0.487249,-0.442457,-0.501472
9679831763,-0.561747,-0.487334,-0.442475,-0.501403
9679834261,-0.561717,-0.487426,-0.442492,-0.501332
9679836760,-0.561689,-0.487519,-0.442506,-0.501260
9679839257,-0.561662,-0.487613,-0.442520,-0.501187
9679841755,-0.561632,-0.487712,-0.442535,-0.501112
9679844252,-0.561600,-0.487812,-0.442550,-0.501036
9679846750,-0.561565,-0.487913,-0.442568,-0.500961
9679849247,-0.561531,-0.488015,-0.442585,-0.500885
9679851745,-0.561497,-0.488117,-0.442602,-0.500809
9679854242,-0.561468,-0.488217,-0.442614,-0.500734
9679856740,-0.561443,-0.488315,-0.442622,-0.500659
9679859237,-0.561419,-0.488413,-0.442628,-0.500585
9679861735,-0.561401,-0.488504,-0.442631,-0.500514
9679864232,-0.561386,-0.488592,-0.442632,-0.500445
9679866729,-0.561374,-0.488676,-0.442632,-0.500375
9679869227,-0.561363,-0.488761,-0.442633,-0.500303
9679871724,-0.561355,-0.488845,-0.442632,-0.500231
9679874222,-0.561359,-0.488939,-0.442618,-0.500147
9679876719,-0.561366,-0.489032,-0.442600,-0.500064
9679879217,-0.561374,-0.489126,-0.442581,-0.499980
9679881714,-0.561383,-0.489220,-0.442561,-0.499896
9679884212,-0.561393,-0.489311,-0.442544,-0.499811
9679886709,-0.561402,-0.489401,-0.442530,-0.499725
9679889207,-0.561411,-0.489488,-0.442519,-0.499639
9679891704,-0.561420,-0.489571,-0.442509,-0.499556
9679894202,-0.561428,-0.489651,-0.442502,-0.499475
9679896699,-0.561434,-0.489729,-0.442497,-0.499397
9679899197,-0.561440,-0.489807,-0.442491,-0.499318
9679901694,-0.561445,-0.489888,-0.442485,-0.499239
9679904192,-0.561448,-0.489970,-0.442477,-0.499161
9679906689,-0.561453,-0.490051,-0.442469,-0.499084
9679909187,-0.561459,-0.490131,-0.442459,-0.499007
9679911684,-0.561469,-0.490209,-0.442446,-0.498931
9679914182,-0.561486,-0.490289,-0.442424,-0.498853
9679916679,-0.561506,-0.490372,-0.442393,-0.498776
9679919177,-0.561533,-0.490457,-0.442358,-0.498694
9679921674,-0.561566,-0.490545,-0.442313,-0.498610
9679924175,-0.561608,-0.490627,-0.442258,-0.498531
9679926669,-0.561654,-0.490708,-0.442192,-0.498457
9679929167,-0.561700,-0.490792,-0.442125,-0.498383
9679931664,-0.561749,-0.490871,-0.442057,-0.498309
9679934161,-0.561799,-0.490946,-0.441988,-0.498241
9679936659,-0.561841,-0.491025,-0.441927,-0.498170
9679939157,-0.561873,-0.491111,-0.441878,-0.498093
9679941654,-0.561891,-0.491209,-0.441841,-0.498009
9679944151,-0.561894,-0.491322,-0.441821,-0.497911
9679946649,-0.561887,-0.491453,-0.441811,-0.497798
9679949146,-0.561875,-0.491601,-0.441806,-0.497671
9679951644,-0.561863,-0.491758,-0.441800,-0.497534
9679954142,-0.561858,-0.491906,-0.441787,-0.497405
9679956639,-0.561861,-0.492038,-0.441764,-0.497292
9679959136,-0.561866,-0.492152,-0.441739,-0.497195
9679961634,-0.561866,-0.492256,-0.441721,-0.497108
9679964131,-0.561859,-0.492348,-0.441712,-0.497032
9679966629,-0.561851,-0.492428,-0.441703,-0.496971
9679969126,-0.561848,-0.492491,-0.441685,-0.496927
9679971624,-0.561858,-0.492538,-0.441650,-0.496901
9679974121,-0.561879,-0.492575,-0.441600,-0.496885
9679976619,-0.561911,-0.492610,-0.441538,-0.496870
9679979116,-0.561954,-0.492648,-0.441462,-0.496851
9679981625,-0.562008,-0.492690,-0.441373,-0.496827
9679984112,-0.562066,-0.492741,-0.441278,-0.496795
