Timestamp (us),Percentage (%),Power (dBm)
9680159067,76.000000,-62.000000
9681163038,72.000000,-64.000000
9682164543,70.000000,-65.000000
9683158543,72.000000,-64.000000
9684175023,72.000000,-64.000000
9685161527,76.000000,-62.000000
9686156051,74.000000,-63.000000
9687167012,92.000000,-54.000000
9688160981,100.000000,-48.000000
9689162470,90.000000,-55.000000
9690168956,76.000000,-62.000000
9691155462,98.000000,-51.000000
9692171936,92.000000,-54.000000
9693158457,92.000000,-54.000000
9694167423,70.000000,-65.000000
9695171424,74.000000,-63.000000
9696170405,76.000000,-62.000000
9697161904,78.000000,-61.000000
9698175881,100.000000,-47.000000
9699157420,100.000000,-46.000000
9700156385,100.000000,-45.000000
9701167864,100.000000,-44.000000
9702166858,100.000000,-46.000000
9703163364,84.000000,-58.000000
9704177332,92.000000,-54.000000
9705156344,98.000000,-51.000000
9706153017,82.000000,-59.000000
9707166830,74.000000,-63.000000
9708160818,84.000000,-58.000000
9709159811,100.000000,-50.000000
9710166312,100.000000,-49.000000
9711162808,100.000000,-50.000000
9712164282,74.000000,-63.000000
9713163276,70.000000,-65.000000
9714167279,76.000000,-62.000000
9715173777,74.000000,-63.000000
9716170245,72.000000,-64.000000
9717165463,100.000000,-50.000000
9718165755,100.000000,-49.000000
9719155473,78.000000,-61.000000
9720161225,74.000000,-63.000000
9721170207,96.000000,-52.000000
9722164204,96.000000,-52.000000
9723159518,74.000000,-63.000000
9724159693,72.000000,-64.000000
9725166188,94.000000,-53.000000
9726170169,100.000000,-49.000000
9727166664,100.000000,-47.000000
9728158165,100.000000,-49.000000
9729159657,92.000000,-54.000000
9730173635,74.000000,-63.000000
9731162638,96.000000,-52.000000
9732156636,98.000000,-51.000000
9733157885,80.000000,-60.000000
9734157122,78.000000,-61.000000
9735157781,100.000000,-47.000000
9736167595,100.000000,-47.000000
9737169104,100.000000,-47.000000
9738160589,100.000000,-47.000000
