Timestamp (us),Percentage (%),Voltage (V),Charging Status
9680574703,85.893471,3.858935,0.000000
9681575239,85.908249,3.859082,0.000000
9682575772,85.876015,3.858760,0.000000
9683576303,85.871994,3.858720,0.000000
9684576834,85.885422,3.858854,0.000000
9685577365,85.871994,3.858720,0.000000
9686577899,85.867958,3.858680,0.000000
9687578429,85.859909,3.858599,0.000000
9688578971,85.850510,3.858505,0.000000
9689579502,85.850510,3.858505,0.000000
9690580038,85.842453,3.858424,0.000000
9691580606,85.826340,3.858263,0.000000
9692581140,85.823654,3.858236,0.000000
9693581674,85.833054,3.858330,0.000000
9694582205,85.851852,3.858519,0.000000
9695582739,85.827682,3.858277,0.000000
9696583270,85.820961,3.858210,0.000000
9697583804,85.822311,3.858223,0.000000
9698584337,85.798141,3.857981,0.000000
9699584870,85.803505,3.858035,0.000000
9700585401,85.802170,3.858021,0.000000
9701585934,85.799484,3.857995,0.000000
9702586465,85.798141,3.857981,0.000000
9703586999,85.804855,3.858048,0.000000
9704587530,85.791428,3.857914,0.000000
9705588064,85.773972,3.857740,0.000000
9706588597,85.771286,3.857713,0.000000
9707589129,85.760536,3.857605,0.000000
9708589660,85.757851,3.857578,0.000000
9709590194,85.759201,3.857592,0.000000
9710590728,85.767250,3.857672,0.000000
9711591259,85.756516,3.857565,0.000000
9712591790,85.752487,3.857525,0.000000
9713592324,85.775299,3.857753,0.000000
9714592860,85.764565,3.857646,0.000000
9715593390,85.759201,3.857592,0.000000
9716593924,85.756516,3.857565,0.000000
9717594455,85.772629,3.857726,0.000000
9718594989,85.740395,3.857404,0.000000
9719595520,85.737709,3.857377,0.000000
9720596051,85.706825,3.857068,0.000000
9721596581,85.704147,3.857042,0.000000
9722597112,85.696091,3.856961,0.000000
9723597646,85.709518,3.857095,0.000000
9724598177,85.705490,3.857055,0.000000
9725598712,85.690712,3.856907,0.000000
9726599248,85.685349,3.856853,0.000000
9727599779,85.709518,3.857095,0.000000
9728600311,85.678619,3.856786,0.000000
9729600844,85.689377,3.856894,0.000000
9730601375,85.702805,3.857028,0.000000
9731601906,85.698769,3.856988,0.000000
9732602442,85.675949,3.856760,0.000000
9733602973,85.650436,3.856504,0.000000
9734603505,85.666550,3.856666,0.000000
9735604039,85.661171,3.856612,0.000000
9736604570,85.677284,3.856773,0.000000
9737605102,85.677292,3.856773,0.000000
9738605638,85.662521,3.856625,0.000000
