Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9679676399,0.078069,0.989445,-0.586987
9679696291,0.029069,1.038445,-0.635987
9679716183,0.078069,0.940445,-0.586987
9679736075,0.078069,0.989445,-0.635987
9679755966,0.029069,0.989445,-0.488987
9679775858,0.078069,1.038445,-0.537987
9679795752,0.078069,0.989445,-0.586987
9679815645,-0.019931,0.989445,-0.586987
9679835538,0.029069,1.038445,-0.537987
9679855431,-0.019931,0.989445,-0.586987
9679875323,0.078069,0.989445,-0.635987
9679895217,0.029069,1.038445,-0.586987
9679915110,0.078069,1.087445,-0.586987
9679935003,-0.019931,1.087445,-0.537987
9679954895,0.127069,1.038445,-0.586987
9679974787,-0.019931,1.038445,-0.537987
9679994685,0.078069,1.038445,-0.586987
9680014571,0.029069,1.087445,-0.537987
9680034463,0.078069,0.940445,-0.586987
9680054356,0.029069,0.940445,-0.537987
9680074247,0.078069,0.989445,-0.684987
9680094140,0.029069,1.038445,-0.586987
9680114033,0.078069,1.038445,-0.537987
9680133926,0.127069,0.989445,-0.635987
9680153818,0.078069,0.940445,-0.635987
9680173710,0.078069,0.940445,-0.586987
9680193603,0.078069,1.038445,-0.537987
9680213495,0.078069,1.038445,-0.635987
9680233387,0.029069,0.989445,-0.684987
9680253278,0.029069,0.989445,-0.635987
9680273169,0.127069,0.940445,-0.586987
9680293061,0.078069,1.038445,-0.586987
9680312952,0.078069,0.940445,-0.586987
9680332843,0.029069,1.038445,-0.684987
9680352735,0.078069,1.038445,-0.635987
9680372626,0.078069,0.989445,-0.586987
9680392517,0.029069,1.087445,-0.635987
9680412408,0.127069,0.940445,-0.684987
9680432300,0.029069,1.038445,-0.635987
9680452191,0.029069,1.038445,-0.586987
9680472083,0.078069,1.038445,-0.537987
9680491976,0.078069,0.989445,-0.586987
9680511868,0.176069,1.038445,-0.586987
9680531759,0.127069,1.087445,-0.831987
9680551650,-0.019931,1.087445,-1.027987
9680571541,0.029069,0.989445,-0.929987
9680591432,0.323069,0.989445,-0.782987
9680611324,0.617069,1.087445,-0.733987
9680631216,0.617069,1.234445,-0.341987
9680651107,0.274069,1.038445,-0.635987
9680671020,-0.019931,0.842445,-0.684987
9680690889,-0.215931,0.940445,-0.684987
9680710781,-0.068931,1.087445,-0.733987
9680730672,0.078069,1.038445,-0.733987
9680750564,0.176069,1.038445,-0.782987
9680770455,0.274069,0.989445,-0.733987
9680790347,0.323069,0.891445,-0.635987
9680810240,0.470069,0.989445,-0.782987
9680830133,0.421069,0.842445,-0.782987
9680850024,0.421069,0.842445,-0.733987
9680869914,0.372069,0.744445,-0.782987
9680889805,0.421069,0.793445,-0.782987
9680909697,0.470069,0.891445,-0.831987
9680929589,0.519069,0.793445,-0.782987
9680949481,0.568069,0.891445,-0.880987
9680969373,0.470069,0.695445,-0.880987
9680989264,0.372069,0.842445,-0.684987
9681009156,0.323069,0.695445,-0.880987
9681029048,0.029069,0.695445,-0.978987
9681048941,-0.117931,0.597445,-0.978987
9681068833,-0.068931,0.646445,-0.929987
9681088725,0.078069,0.695445,-0.929987
9681108616,0.274069,0.842445,-0.978987
9681128508,0.176069,0.891445,-0.978987
9681148400,0.127069,0.989445,-0.929987
9681168292,0.127069,1.038445,-0.929987
9681188185,-0.068931,1.038445,-0.929987
9681208075,-0.019931,1.038445,-1.027987
9681227966,-0.019931,1.283445,-0.880987
9681247858,0.029069,1.381445,-0.978987
9681267750,0.029069,1.332445,-0.880987
9681287643,-0.313931,1.234445,-0.978987
9681307536,-0.411931,1.136445,-1.027987
9681327428,-0.558931,1.136445,-0.782987
9681347321,-0.558931,1.185445,-0.929987
9681367214,-0.558931,1.087445,-1.076987
9681387106,-0.509931,0.989445,-1.027987
9681406999,-0.460931,0.891445,-1.027987
9681426891,-0.411931,0.695445,-1.027987
9681446784,-0.362931,0.695445,-1.076987
9681466676,-0.362931,0.646445,-0.978987
9681486568,-0.215931,0.548445,-0.929987
9681506459,-0.117931,0.499445,-0.929987
9681526351,-0.166931,0.548445,-0.782987
9681546243,-0.313931,0.499445,-1.027987
9681566134,-0.117931,0.450445,-0.929987
9681586025,-0.166931,0.401445,-0.880987
9681605916,-0.019931,0.352445,-0.978987
9681625806,-0.264931,0.450445,-0.782987
9681645698,-0.264931,0.450445,-0.880987
9681665591,-0.313931,0.499445,-0.978987
9681685482,-0.362931,0.597445,-0.831987
9681705374,-0.509931,0.646445,-0.831987
9681725266,-0.411931,0.744445,-0.880987
9681745157,-0.460931,0.940445,-1.027987
9681765048,-0.411931,1.087445,-0.978987
9681784940,-0.460931,1.332445,-1.125987
