Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9679665261,-0.551503,-2.457804,-5.415775,0.092044,1.011238,-0.081079
9679667757,-0.613047,-2.640445,-5.355755,0.090582,1.008363,-0.082612
9679670252,-0.614194,-2.884756,-5.174418,0.091330,1.006220,-0.085553
9679672747,-0.615465,-3.129342,-4.932368,0.090628,1.005535,-0.087763
9679675243,-0.738482,-3.434028,-4.751412,0.086266,1.005576,-0.087834
9679677738,-0.922144,-3.677596,-4.570346,0.081148,1.002712,-0.087970
9679680234,-1.044650,-3.860265,-4.449702,0.079650,0.998357,-0.088074
9679682729,-1.228065,-4.103280,-4.390064,0.078908,0.996907,-0.088113
9679685225,-1.411092,-4.224554,-4.330023,0.078188,0.995482,-0.089608
9679687720,-1.594684,-4.407526,-4.088041,0.075997,0.995491,-0.088915
9679690216,-1.656651,-4.530677,-3.724250,0.070174,0.996979,-0.087526
9679692711,-1.657340,-4.592651,-3.481594,0.067978,0.993383,-0.089085
9679695207,-1.596925,-4.533409,-3.177732,0.065815,0.991983,-0.091332
9679697702,-1.535681,-4.291002,-2.994693,0.062925,0.992751,-0.092094
9679700198,-1.596309,-4.108971,-2.812036,0.062223,0.992066,-0.094303
9679702693,-1.596027,-3.866592,-2.568374,0.061474,0.989888,-0.094355
9679705189,-1.779089,-3.806634,-2.204157,0.062186,0.988425,-0.094371
9679707684,-1.779266,-3.746592,-2.021813,0.058569,0.987039,-0.096641
9679710179,-1.718675,-3.747392,-1.900295,0.056420,0.987096,-0.098860
9679712675,-1.597122,-3.748164,-1.839400,0.056420,0.987096,-0.098860
9679715171,-1.597104,-3.627250,-1.656855,0.053508,0.985680,-0.099662
9679717666,-1.596893,-3.445467,-1.474108,0.055660,0.984907,-0.098184
9679720162,-1.657326,-3.202564,-1.291250,0.058551,0.986299,-0.095926
9679722657,-1.657115,-3.020780,-1.108503,0.057050,0.984820,-0.093792
9679725153,-1.717618,-2.838473,-0.986560,0.053372,0.984807,-0.090939
9679727648,-1.717989,-2.839301,-0.804418,0.051983,0.987054,-0.093834
9679730144,-1.656815,-2.657489,-0.682295,0.056352,0.987740,-0.093750
9679732639,-1.596083,-2.537099,-0.438945,0.059995,0.990594,-0.092181
9679735135,-1.595660,-2.173532,-0.073451,0.058584,0.990656,-0.095117
9679737630,-1.595626,-1.931705,0.291640,0.060746,0.985574,-0.097360
9679740126,-1.595802,-1.871663,0.473984,0.060019,0.987742,-0.095876
9679742621,-1.657523,-1.994261,0.716347,0.062176,0.992734,-0.090649
9679745116,-1.658282,-2.116830,0.898087,0.063656,0.994189,-0.091327
9679747612,-1.537029,-2.057835,1.202040,0.067232,0.990489,-0.089879
9679750107,-1.415088,-1.936866,1.263337,0.073747,0.991834,-0.086834
9679752603,-1.232873,-1.877843,1.506665,0.075953,0.993282,-0.087499
9679755098,-1.050852,-1.879690,1.749792,0.076658,0.991090,-0.087528
9679757594,-0.868708,-1.881262,1.932205,0.077367,0.992503,-0.085305
9679760090,-0.808381,-2.003527,1.992607,0.080257,0.991735,-0.084543
9679762585,-0.869678,-2.185615,1.931198,0.083180,0.993164,-0.084469
9679765080,-0.931610,-2.489997,1.990815,0.086084,0.991692,-0.085177
9679767576,-0.933145,-2.856049,2.171749,0.088297,0.991707,-0.087326
9679770071,-0.873841,-3.222349,2.352773,0.091892,0.990908,-0.085096
9679772566,-0.875694,-3.649549,2.594219,0.091158,0.992347,-0.083625
9679775062,-0.998729,-4.075148,2.592629,0.087545,0.992406,-0.085140
9679777557,-1.182602,-4.500499,2.590949,0.084648,0.994606,-0.084419
9679780053,-1.427385,-4.986197,2.528263,0.090448,0.988773,-0.087345
9679782548,-1.611523,-5.533014,2.465465,0.089757,0.990260,-0.088786
9679785044,-1.734434,-5.958337,2.403160,0.084673,0.991754,-0.088113
9679787539,-1.857928,-6.566272,2.340252,0.084626,0.990261,-0.085956
9679790035,-1.798518,-7.053209,2.278016,0.080314,0.991079,-0.088925
9679792530,-1.860785,-7.539651,2.215600,0.082541,0.988230,-0.094041
9679795026,-1.861067,-7.782030,1.971938,0.082538,0.988946,-0.093299
9679797521,-1.861101,-8.023856,1.606847,0.075999,0.992614,-0.091153
9679800017,-1.861260,-8.265958,1.302470,0.071717,0.994184,-0.095566
9679802512,-1.800580,-8.508309,0.998183,0.067330,0.992758,-0.094935
9679805008,-1.800279,-8.568075,0.755125,0.065966,0.996473,-0.098532
9679807503,-1.738682,-8.445753,0.573476,0.060216,0.998762,-0.101498
9679809999,-1.676573,-8.201414,0.331515,0.055105,0.998786,-0.100124
9679812494,-1.553044,-7.774711,0.090248,0.054379,1.000954,-0.098640
9679814989,-1.490741,-7.469501,-0.151511,0.056668,1.005375,-0.102892
9679817485,-1.428809,-7.165119,-0.211128,0.049352,1.003952,-0.100852
9679819981,-1.488801,-6.860794,-0.149497,0.047113,1.002468,-0.098002
9679822476,-1.487637,-6.495570,-0.148288,0.042781,1.005423,-0.098019
9679824972,-1.425634,-6.130594,-0.146989,0.042057,1.004714,-0.098772
9679827467,-1.303040,-5.766417,-0.024172,0.040553,1.003951,-0.095897
9679829962,-1.059458,-5.464712,0.341481,0.038429,1.003316,-0.100314
9679832458,-0.815628,-5.162453,0.585705,0.041314,0.998943,-0.101804
9679834953,-0.571993,-4.921066,0.829728,0.041192,0.995205,-0.096047
9679837449,-0.389002,-4.618560,1.073863,0.038251,0.993036,-0.095406
9679839944,-0.206329,-4.377201,1.378510,0.041991,0.998159,-0.098894
9679842440,-0.084176,-4.074448,1.622554,0.049268,0.996657,-0.100259
9679844935,-0.023179,-3.832593,1.927021,0.044883,0.990193,-0.103363
9679847431,0.098391,-3.712452,2.170460,0.045631,0.988050,-0.106304
9679849926,0.098479,-3.530944,2.413921,0.047757,0.985808,-0.104125
9679852422,0.280888,-3.411050,2.657451,0.052159,0.986530,-0.106225
9679854917,0.342326,-3.107773,2.840691,0.053612,0.984356,-0.107698
9679857413,0.464408,-2.865614,3.023820,0.053608,0.980751,-0.109950
9679859908,0.525969,-2.562060,3.146346,0.054277,0.979239,-0.107053
9679862403,0.587972,-2.197084,3.147645,0.057199,0.980668,-0.106979
9679864899,0.650098,-1.831832,3.088229,0.060183,0.982885,-0.110532
9679867395,0.590300,-1.466636,3.150062,0.060969,0.988704,-0.110412
9679869890,0.590829,-1.223705,3.272296,0.061652,0.986488,-0.108985
9679872385,0.651879,-1.042169,3.455133,0.060184,0.985046,-0.109035
9679874881,0.652338,-0.859833,3.516452,0.063848,0.987924,-0.108922
9679877376,0.652920,-0.677221,3.517056,0.065266,0.988590,-0.105973
9679879872,0.713952,-0.616598,3.517347,0.068101,0.985601,-0.103067
9679882367,0.835699,-0.556499,3.578443,0.068868,0.986358,-0.105226
9679884863,0.896150,-0.678488,3.578130,0.071686,0.986950,-0.098613
9679887358,0.896150,-0.678488,3.578130,0.073141,0.989097,-0.097093
9679889853,0.774279,-0.738863,3.577749,0.078356,0.992069,-0.103509
9679892349,0.713370,-0.799210,3.516743,0.081980,0.992023,-0.102722
9679894845,0.774067,-0.920647,3.395002,0.080465,0.991248,-0.099119
9679897340,0.834253,-1.164102,3.333572,0.084165,0.995607,-0.100435
9679899836,0.893981,-1.589892,3.210824,0.084089,0.993362,-0.096835
9679902331,0.892869,-2.015435,3.087985,0.085608,0.995581,-0.099684
9679904826,0.831238,-2.379583,2.904544,0.085019,1.000782,-0.105426
9679907322,0.830762,-2.682832,2.660680,0.088603,0.997810,-0.103965
9679909817,0.708927,-2.924439,2.356123,0.078382,0.997859,-0.101217
9679912313,0.647930,-3.166294,2.051656,0.076943,0.999330,-0.101214
