Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9679709166,-0.167580,-1.202160,-0.305146
9679759612,-0.167198,-1.192573,-0.336225
9679810078,-0.176307,-1.211089,-0.336368
9679860525,-0.185683,-1.201941,-0.326109
9679910978,-0.185828,-1.202068,-0.315797
9679961435,-0.176727,-1.183598,-0.315801
9680011898,-0.185630,-1.183339,-0.336526
9680062356,-0.185825,-1.202052,-0.315749
9680112812,-0.185864,-1.192783,-0.315704
9680163267,-0.185825,-1.202052,-0.315749
9680213712,-0.195161,-1.202173,-0.305533
9680264163,-0.176814,-1.192901,-0.305247
9680314609,-0.176863,-1.183679,-0.305343
9680365055,-0.185828,-1.202068,-0.315797
9680415506,-0.195016,-1.202046,-0.315847
9680465964,-0.176678,-1.192821,-0.315702
9680516415,-0.195059,-1.192793,-0.315850
9680566872,-0.195441,-1.202379,-0.284766
9680617335,-0.195826,-1.211982,-0.253722
9680667786,-0.270596,-1.222203,-0.161276
9680718242,-0.353735,-1.194609,-0.141442
9680768699,-0.418758,-1.167219,-0.100651
9680819161,-0.510908,-1.120920,-0.101682
9680869621,-0.584407,-1.092972,-0.112801
9680920074,-0.649387,-1.046996,-0.082422
9680970529,-0.695728,-1.000835,-0.072594
9681020991,-0.705656,-0.992119,-0.020875
9681071449,-0.705373,-1.019755,-0.031220
9681121904,-0.640560,-1.065869,-0.051258
9681172360,-0.493208,-1.130772,-0.049688
9681222815,-0.309191,-1.195752,-0.037322
9681273270,-0.061035,-1.251679,-0.013935
9681323733,0.214687,-1.214690,-0.021349
9681374201,0.452804,-1.150523,0.022619
9681424666,0.635343,-1.021671,0.076344
9681475126,0.763195,-0.920347,0.108808
9681525587,0.844823,-0.819018,0.151061
9681576045,0.853526,-0.782218,0.171832
9681626502,0.844995,-0.791044,0.130342
9681676959,0.809583,-0.845633,0.047061
9681727421,0.709427,-0.956280,0.014937
9681777887,0.508556,-1.094388,-0.038981
9681828342,0.206070,-1.214271,-0.062913
9681878825,-0.105435,-1.250391,-0.128391
9681929267,-0.418165,-1.176059,-0.142135
9681979727,-0.668109,-1.037966,-0.061913
9682030186,-0.844939,-0.872400,0.039783
9682080646,-0.956589,-0.734082,0.090368
9682131109,-1.021530,-0.604492,0.089638
9682181575,-1.049901,-0.502914,0.110058
9682232037,-1.069143,-0.457185,0.161609
9682282496,-1.068817,-0.466216,0.140892
9682332956,-1.022481,-0.521657,0.131056
9682383433,-0.975505,-0.623034,0.090144
9682484359,-0.760172,-0.945148,-0.083648
9682534824,-0.538559,-1.102381,-0.101965
9682585288,-0.262579,-1.213845,-0.078277
9682635750,0.058559,-1.242361,-0.023014
9682686216,0.388730,-1.168952,0.011565
9682736682,0.626618,-1.030585,0.045164
9682787178,0.827394,-0.864735,0.099091
9682837611,0.880816,-0.736110,0.182551
9682888078,0.907342,-0.662655,0.234643
9682938548,0.916530,-0.634784,0.224341
9682989014,0.899411,-0.689521,0.151639
9683039477,0.836412,-0.799846,0.088795
9683089943,0.718406,-0.937902,0.025389
9683140414,0.517193,-1.094853,0.002559
9683190880,0.196218,-1.224091,-0.011199
9683241343,-0.152713,-1.242124,-0.035639
9683291796,-0.502611,-1.140197,-0.029029
9683342255,-0.715655,-1.002033,0.041200
9683392715,-0.864458,-0.845415,0.112122
9683443172,-0.948252,-0.706891,0.142281
9683493630,-1.022713,-0.568261,0.162176
9683544092,-1.051098,-0.494552,0.192995
9683594555,-1.051617,-0.439250,0.213681
9683645012,-1.042651,-0.420860,0.224137
9683695465,-1.042275,-0.467016,0.213761
9683745914,-1.013910,-0.549986,0.183017
9683796379,-0.975736,-0.669641,0.121263
9683846840,-0.891412,-0.826334,0.060006
9683897294,-0.714764,-0.982760,-0.031345
9683947755,-0.520436,-1.111897,-0.081072
9683998215,-0.253954,-1.214296,-0.036727
9684048671,0.058518,-1.233124,-0.023024
9684099131,0.378495,-1.160455,0.084028
9684149598,0.606788,-1.050328,0.158986
9684200055,0.743010,-0.903151,0.232986
9684250510,0.833778,-0.783341,0.275323
9684300971,0.879679,-0.709121,0.255063
9684351432,0.879593,-0.690614,0.255056
9684401893,0.871242,-0.745692,0.213550
9684452348,0.808075,-0.846883,0.161075
9684502810,0.662590,-0.975557,0.086999
9684553268,0.479822,-1.113920,0.053994
9684603728,0.242045,-1.196345,-0.010712
9684654183,-0.023884,-1.242100,-0.044629
9684704641,-0.263292,-1.214417,-0.026470
9684755101,-0.438856,-1.168572,0.023474
9684805561,-0.587162,-1.085858,0.084055
9684856028,-0.642683,-1.039678,0.093824
9684906493,-0.679962,-1.021479,0.124519
9684956960,-0.661492,-1.012139,0.114361
9685007435,-0.614897,-1.048813,0.083740
9685057910,-0.494321,-1.131632,0.033236
9685108383,-0.337672,-1.187178,0.024559
9685158850,-0.098029,-1.233242,-0.003965
9685209320,0.168213,-1.224390,0.019602
9685259787,0.424972,-1.150772,0.043050
9685310255,0.625837,-1.040531,0.107357
9685360728,0.753633,-0.939160,0.139789
9685411199,0.798669,-0.865597,0.181692
9685461665,0.816882,-0.828595,0.181875
9685512132,0.817323,-0.828271,0.150803
9685562604,0.808500,-0.846549,0.129982
9685613069,0.790075,-0.865165,0.140171
9685663532,0.781829,-0.892233,0.077875
9685713998,0.810403,-0.882249,0.005613
9685764469,0.819510,-0.863747,0.005705
9685814941,0.819480,-0.826620,-0.004675
9685865413,0.856044,-0.789612,-0.004284
9685915882,0.856002,-0.780359,-0.004287
9685966344,0.874417,-0.752506,-0.014472
9686016808,0.911218,-0.706026,-0.034807
9686067266,0.929955,-0.659326,-0.076078
9686117732,0.938972,-0.613073,-0.076027
9686168187,0.947628,-0.567026,-0.055187
9686218645,0.965989,-0.557788,-0.055007
9686269111,0.956695,-0.557899,-0.044764
9686319575,0.937655,-0.604821,0.017263
9686370037,0.871981,-0.717270,0.151370
9686420492,0.826967,-0.772199,0.099060
9686470953,0.855883,-0.743364,-0.004317
9686521418,0.829232,-0.770419,-0.066771
9686571887,0.837527,-0.780480,0.005869
9686622354,0.864462,-0.706681,0.026877
9686672821,0.899339,-0.643141,0.141259
9686723281,0.925553,-0.551411,0.214148
9686773742,0.952042,-0.477948,0.266197
9686824204,0.970013,-0.357548,0.255987
9686874664,0.996800,-0.274613,0.287386
9686925124,0.977701,-0.247287,0.328609
9686975591,0.997090,-0.218648,0.245868
9687026057,0.998549,-0.226789,0.142213
9687076520,0.997897,-0.208726,0.183670
9687126978,0.988283,-0.301926,0.245798
9687177439,0.933062,-0.441254,0.297086
9687227895,0.914282,-0.478702,0.338366
9687278352,0.903892,-0.442456,0.410712
9687328811,0.921466,-0.359520,0.441969
9687379278,0.901274,-0.268081,0.545514
9687429745,0.863600,-0.157335,0.576334
9687480203,0.853921,-0.055538,0.576126
9687530662,0.843961,0.018167,0.607105
9687581120,0.816321,0.018155,0.606490
9687631574,0.891069,-0.018108,0.534967
9687682038,0.920051,0.020120,0.421278
9687732503,0.968052,0.040266,0.266251
9687782962,1.014456,-0.024432,0.256396
9687833423,0.995898,-0.228896,0.339249
9687883879,0.905713,-0.571135,0.328056
9687934344,0.732712,-0.848289,0.295065
9687984805,0.659030,-0.959889,0.346323
9688035262,0.584306,-0.960682,0.428290
9688085724,0.721848,-0.849636,0.419466
9688136187,0.830117,-0.684135,0.513906
9688186652,0.891934,-0.416805,0.607742
9688237108,0.937063,-0.148138,0.576964
9688287571,0.926793,0.027477,0.597618
9688338039,0.926880,0.073979,0.576943
9688388502,0.907506,-0.019664,0.680466
9688438966,0.862493,-0.232486,0.679866
9688489439,1.033669,-0.265273,0.277408
9688539902,1.092199,-0.411262,0.081066
9688590370,0.925497,-0.727902,0.276386
9688640835,0.698112,-0.976607,0.180712
9688691301,0.608147,-1.095721,0.076092
9688741761,0.514053,-1.115962,0.241001
9688792215,0.643569,-1.078253,0.169790
9688842675,0.826314,-0.958530,0.213206
9688893135,0.943334,-0.728367,0.318091
9688943592,1.071062,-0.487731,0.309014
9688994055,1.115445,-0.247491,0.340446
9689044517,1.115109,-0.108454,0.319707
9689094977,1.133685,-0.052602,0.288818
9689145439,1.134080,-0.117281,0.278403
9689195895,1.125997,-0.265003,0.247257
9689246352,1.110920,-0.448180,0.070912
9689296816,1.077974,-0.547277,-0.178237
9689347281,0.912341,-0.844522,-0.065893
9689397735,0.637024,-1.094767,-0.016921
9689448195,0.270811,-1.260592,-0.072676
9689498658,0.214915,-1.288933,-0.010998
9689549116,0.242125,-1.270666,0.010027
9689599577,0.397669,-1.206308,0.042778
9689650034,0.608159,-1.095735,0.076098
9689700494,0.827177,-0.929989,0.140615
9689750956,0.946301,-0.781786,0.121114
9689801417,1.009990,-0.643008,0.121742
9689851885,1.018847,-0.596858,0.132207
9689902347,1.019912,-0.651707,0.069995
9689952812,0.919375,-0.799831,0.079345
9690003271,0.773820,-0.984242,0.025989
9690053735,0.619094,-1.103661,-0.048209
9690104199,0.223749,-1.270688,0.009825
9690154655,-0.115996,-1.325857,-0.004152
9690205111,-0.246755,-1.308783,0.139621
9690255574,-0.191891,-1.309079,0.160981
9690306050,-0.091561,-1.291177,0.213879
9690356502,0.091913,-1.300907,0.246981
9690406963,0.312034,-1.254970,0.269992
9690457424,0.458465,-1.172037,0.292341
9690507880,0.549474,-1.098494,0.334736
9690558342,0.585760,-1.052483,0.355895
9690608803,0.585305,-1.015688,0.376624
9690659264,0.594376,-1.025034,0.386996
9690709728,0.557560,-1.043642,0.397028
9690760187,0.501781,-1.062670,0.448290
9690810648,0.491993,-1.025980,0.479286
9690861099,0.473405,-1.016799,0.489327
9690911565,0.371957,-1.035586,0.519421
9690962032,0.086592,-1.072855,0.557863
9691012497,-0.199071,-1.045346,0.596283
9691062960,-0.282364,-1.017875,0.626577
9691113425,-0.292571,-0.953658,0.678393
9691163889,-0.228336,-0.963103,0.689732
9691214349,-0.182350,-0.963085,0.689850
9691264806,-0.090340,-0.981668,0.690930
9691315270,-0.026358,-0.963425,0.712351
9691365731,0.111037,-0.917457,0.734448
9691416185,0.239341,-0.862139,0.746272
9691466652,0.294777,-0.861944,0.726022
9691517115,0.303421,-0.834531,0.757319
9691567574,0.303851,-0.834206,0.726306
9691618037,0.350075,-0.861870,0.716242
9691668507,0.359132,-0.861997,0.726806
9691718969,0.414117,-0.797124,0.716810
9691769432,0.396427,-0.852322,0.685714
9691819894,0.185095,-0.935704,0.704322
9691870353,0.028856,-0.944830,0.702468
9691920818,-0.026357,-0.963413,0.712255
9691971282,-0.118762,-0.982292,0.752654
9692021748,0.036589,-0.936718,0.806470
9692072213,0.118829,-0.890723,0.828080
