Timestamp (us),W Element,X Element,Y Element,Z Element
9679665261,-0.669739,-0.737741,0.081682,0.027556
9679667757,-0.669747,-0.737733,0.081647,0.027680
9679670252,-0.669753,-0.737726,0.081619,0.027806
9679672747,-0.669758,-0.737718,0.081599,0.027931
9679675243,-0.669765,-0.737709,0.081585,0.028061
9679677738,-0.669774,-0.737696,0.081577,0.028193
9679680234,-0.669785,-0.737682,0.081573,0.028327
9679682729,-0.669798,-0.737664,0.081573,0.028465
9679685225,-0.669814,-0.737645,0.081576,0.028604
9679687720,-0.669832,-0.737622,0.081585,0.028744
9679690216,-0.669852,-0.737597,0.081600,0.028882
9679692711,-0.669871,-0.737572,0.081620,0.029018
9679695207,-0.669889,-0.737548,0.081643,0.029149
9679697702,-0.669906,-0.737525,0.081666,0.029275
9679700198,-0.669924,-0.737501,0.081688,0.029395
9679702693,-0.669942,-0.737478,0.081711,0.029507
9679705189,-0.669964,-0.737451,0.081739,0.029614
9679707684,-0.669985,-0.737424,0.081768,0.029718
9679710179,-0.670004,-0.737399,0.081802,0.029824
9679712675,-0.670021,-0.737375,0.081838,0.029928
9679715171,-0.670039,-0.737351,0.081874,0.030029
9679717666,-0.670057,-0.737326,0.081910,0.030124
9679720162,-0.670077,-0.737300,0.081947,0.030211
9679722657,-0.670099,-0.737273,0.081984,0.030293
9679725153,-0.670122,-0.737245,0.082019,0.030372
9679727648,-0.670145,-0.737217,0.082057,0.030449
9679730144,-0.670167,-0.737189,0.082095,0.030519
9679732639,-0.670190,-0.737162,0.082136,0.030583
9679735135,-0.670212,-0.737135,0.082177,0.030636
9679737630,-0.670234,-0.737108,0.082222,0.030679
9679740126,-0.670257,-0.737080,0.082268,0.030719
9679742621,-0.670282,-0.737050,0.082320,0.030756
9679745116,-0.670307,-0.737019,0.082377,0.030793
9679747612,-0.670331,-0.736989,0.082439,0.030823
9679750107,-0.670354,-0.736960,0.082502,0.030848
9679752603,-0.670375,-0.736933,0.082569,0.030868
9679755098,-0.670392,-0.736909,0.082639,0.030883
9679757594,-0.670407,-0.736886,0.082713,0.030896
9679760090,-0.670422,-0.736864,0.082787,0.030905
9679762585,-0.670437,-0.736841,0.082863,0.030918
9679765080,-0.670453,-0.736817,0.082944,0.030933
9679767576,-0.670467,-0.736793,0.083035,0.030951
9679770071,-0.670481,-0.736769,0.083135,0.030972
9679772566,-0.670494,-0.736743,0.083244,0.030995
9679775062,-0.670508,-0.736716,0.083358,0.031027
9679777557,-0.670525,-0.736686,0.083478,0.031067
9679780053,-0.670543,-0.736653,0.083605,0.031114
9679782548,-0.670563,-0.736617,0.083738,0.031171
9679785044,-0.670585,-0.736579,0.083876,0.031237
9679787539,-0.670607,-0.736538,0.084020,0.031314
9679790035,-0.670627,-0.736499,0.084170,0.031401
9679792530,-0.670646,-0.736461,0.084326,0.031496
9679795026,-0.670664,-0.736422,0.084482,0.031598
9679797521,-0.670682,-0.736383,0.084634,0.031712
9679800017,-0.670698,-0.736346,0.084783,0.031834
9679802512,-0.670713,-0.736310,0.084929,0.031966
9679805008,-0.670726,-0.736276,0.085072,0.032103
9679807503,-0.670737,-0.736244,0.085209,0.032242
9679809999,-0.670748,-0.736213,0.085338,0.032382
9679812494,-0.670758,-0.736183,0.085460,0.032522
9679814989,-0.670766,-0.736156,0.085574,0.032660
9679817485,-0.670774,-0.736130,0.085682,0.032796
9679819981,-0.670785,-0.736103,0.085785,0.032927
9679822476,-0.670796,-0.736076,0.085881,0.033053
9679824972,-0.670806,-0.736051,0.085972,0.033173
9679827467,-0.670816,-0.736026,0.086060,0.033286
9679829962,-0.670822,-0.736006,0.086148,0.033388
9679832458,-0.670824,-0.735990,0.086237,0.033481
9679834953,-0.670824,-0.735975,0.086327,0.033566
9679837449,-0.670822,-0.735963,0.086415,0.033643
9679839944,-0.670817,-0.735954,0.086506,0.033710
9679842440,-0.670810,-0.735946,0.086598,0.033767
9679844935,-0.670803,-0.735941,0.086690,0.033816
