Timestamp (us),Percentage (%),Power (dBm)
9680286752,82.000000,-59.000000
9681289359,88.000000,-56.000000
9682288135,92.000000,-54.000000
9683298194,88.000000,-56.000000
9684286996,98.000000,-51.000000
9685297666,94.000000,-53.000000
9686305837,92.000000,-54.000000
9687294062,84.000000,-58.000000
9688292238,94.000000,-53.000000
9689287933,98.000000,-51.000000
9690297994,76.000000,-62.000000
9691284313,76.000000,-62.000000
9692297479,74.000000,-63.000000
9693302470,72.000000,-64.000000
9694288873,84.000000,-58.000000
9695292083,86.000000,-57.000000
9696292743,98.000000,-51.000000
9697293446,82.000000,-59.000000
9698286648,72.000000,-64.000000
9699289843,74.000000,-63.000000
9700293013,82.000000,-59.000000
9701287897,76.000000,-62.000000
9702294157,98.000000,-51.000000
9703288842,100.000000,-50.000000
9704290122,84.000000,-58.000000
9705289142,76.000000,-62.000000
9706287142,78.000000,-61.000000
9707292712,52.000000,-74.000000
9708288519,72.000000,-64.000000
9709289228,82.000000,-59.000000
9710291716,78.000000,-61.000000
9711298093,74.000000,-63.000000
9712292020,96.000000,-52.000000
9713289245,100.000000,-49.000000
9714287576,94.000000,-53.000000
9715295835,96.000000,-52.000000
9716299796,82.000000,-59.000000
9717294453,90.000000,-55.000000
9718289117,96.000000,-52.000000
9719301085,96.000000,-52.000000
9720294287,78.000000,-61.000000
9721297474,76.000000,-62.000000
9722288210,68.000000,-66.000000
9723286374,94.000000,-53.000000
9724294551,96.000000,-52.000000
9725287752,68.000000,-66.000000
9726298423,80.000000,-60.000000
9727294122,80.000000,-60.000000
9728297334,90.000000,-55.000000
9729297994,100.000000,-50.000000
9730289462,96.000000,-52.000000
9731306856,84.000000,-58.000000
9732292597,80.000000,-60.000000
9733304933,64.000000,-68.000000
9734291479,74.000000,-63.000000
9735297134,78.000000,-61.000000
9736282848,76.000000,-62.000000
9737288556,80.000000,-60.000000
9738299525,76.000000,-62.000000
