Timestamp (us),Temperature (degC)
9679715171,37.625000
9680713360,37.625000
9681711552,37.625000
9682709740,37.724998
9683707932,37.750000
9684706120,37.724998
9685704312,37.625000
9686702503,37.750000
9687700692,37.674999
9688698884,37.674999
9689697075,37.750000
9690695265,37.750000
9691693457,37.650002
9692691650,37.700001
9693689840,37.750000
9694688034,37.750000
9695686224,37.750000
9696684416,37.849998
9697682609,37.825001
9698680800,37.750000
9699678994,37.750000
9700677184,37.849998
9701675376,37.799999
9702673571,37.799999
9703671762,37.875000
9704669954,37.875000
9705668148,37.875000
9706666339,37.875000
9707664532,37.849998
9708662726,37.750000
9709660918,37.875000
9710659111,37.875000
9711657305,37.875000
9712655497,37.875000
9713653690,37.875000
9714651884,37.775002
9715650076,37.825001
9716648270,37.825001
9717646464,37.750000
9718644656,37.875000
9719642850,37.875000
9720641045,37.825001
9721639237,37.775002
9722637433,37.875000
9723635626,37.875000
9724633819,37.799999
9725632014,37.799999
9726630214,37.875000
9727628399,37.875000
9728626594,37.875000
9729624785,37.799999
9730622978,37.775002
9731621173,37.875000
9732619364,37.875000
9733617557,37.775002
9734615751,37.799999
9735613942,37.875000
9736612136,37.875000
9737610328,37.775002
