Timestamp (us),Percentage (%),Voltage (V),Charging Status
9679741639,93.247963,3.932480,0.000000
9680742173,93.254677,3.932547,0.000000
9681742705,93.249306,3.932493,0.000000
9682743241,93.227821,3.932278,0.000000
9683743773,93.249306,3.932493,0.000000
9684744303,93.245277,3.932453,0.000000
9685744834,93.253326,3.932533,0.000000
9686745369,93.233192,3.932332,0.000000
9687745899,93.229156,3.932292,0.000000
9688746435,93.218430,3.932184,0.000000
9689746966,93.222443,3.932224,0.000000
9690747497,93.229164,3.932292,0.000000
9691748028,93.215729,3.932158,0.000000
9692748559,93.199615,3.931996,0.000000
9693749090,93.215736,3.932158,0.000000
9694749631,93.206337,3.932063,0.000000
9695750161,93.204987,3.932050,0.000000
9696750692,93.214386,3.932144,0.000000
9697751223,93.207687,3.932077,0.000000
9698751754,93.199623,3.931996,0.000000
9699752289,93.214394,3.932144,0.000000
9700752821,93.210358,3.932104,0.000000
9702753885,93.184853,3.931849,0.000000
9703754416,93.186203,3.931862,0.000000
9704754951,93.176788,3.931768,0.000000
9705755485,93.207680,3.932077,0.000000
9706756017,93.200966,3.932010,0.000000
9707756548,93.196938,3.931969,0.000000
9708757078,93.192909,3.931929,0.000000
9709757609,93.194252,3.931942,0.000000
9710758140,93.194252,3.931942,0.000000
9711758672,93.170082,3.931700,0.000000
9712759203,93.172768,3.931728,0.000000
9713759733,93.157997,3.931580,0.000000
9714760265,93.174110,3.931741,0.000000
9715760796,93.176796,3.931768,0.000000
9716761326,93.123085,3.931231,0.000000
9717761857,93.072052,3.930721,0.000000
9718762389,93.059967,3.930600,0.000000
9719762929,93.063995,3.930640,0.000000
9720763460,93.070709,3.930707,0.000000
9721763990,93.069366,3.930694,0.000000
9722764525,93.074745,3.930748,0.000000
9723765056,93.047882,3.930479,0.000000
9724765590,93.054596,3.930546,0.000000
9725766136,93.063995,3.930640,0.000000
9726766670,93.072060,3.930721,0.000000
9727767204,93.053261,3.930532,0.000000
9728767735,93.027740,3.930278,0.000000
9729768267,93.039825,3.930398,0.000000
9730768806,93.031769,3.930318,0.000000
9731769336,93.030426,3.930304,0.000000
9732769869,93.019684,3.930197,0.000000
9733770402,93.012970,3.930130,0.000000
9734770950,93.026398,3.930264,0.000000
9735771484,93.026398,3.930264,0.000000
9736772015,93.019684,3.930197,0.000000
9737772545,93.023712,3.930237,0.000000
