Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9679697748,0.054034,0.830954,-0.413118
9679718188,0.054034,0.732954,-0.462118
9679738629,-0.043966,0.732954,-0.413118
9679759067,0.054034,0.732954,-0.462118
9679779506,-0.043966,0.781954,-0.413118
9679799944,0.054034,0.830954,-0.413118
9679820384,0.054034,0.781954,-0.364118
9679840823,0.103034,0.732954,-0.511118
9679861260,0.054034,0.830954,-0.364118
9679881700,0.005034,0.781954,-0.413118
9679902139,0.005034,0.781954,-0.413118
9679922577,0.005034,0.830954,-0.462118
9679943016,0.103034,0.732954,-0.511118
9679963456,0.054034,0.732954,-0.462118
9679983896,0.005034,0.830954,-0.364118
9680004334,0.054034,0.830954,-0.364118
9680024774,0.005034,0.781954,-0.364118
9680045214,-0.043966,0.830954,-0.364118
9680065653,0.054034,0.781954,-0.364118
9680086091,-0.092966,0.781954,-0.462118
9680106530,0.005034,0.781954,-0.364118
9680126971,0.005034,0.781954,-0.413118
9680147411,-0.043966,0.830954,-0.462118
9680167850,0.005034,0.830954,-0.413118
9680188289,0.005034,0.781954,-0.413118
9680208729,0.005034,0.781954,-0.511118
9680229168,0.054034,0.781954,-0.462118
9680249608,0.005034,0.830954,-0.364118
9680270047,0.005034,0.781954,-0.462118
9680290486,0.005034,0.781954,-0.413118
9680310925,0.054034,0.781954,-0.462118
9680331364,0.005034,0.781954,-0.413118
9680351802,0.005034,0.830954,-0.462118
9680372241,-0.043966,0.830954,-0.462118
9680392679,0.005034,0.732954,-0.511118
9680413118,-0.043966,0.781954,-0.413118
9680433557,0.005034,0.781954,-0.462118
9680453996,0.005034,0.830954,-0.413118
9680474435,0.054034,0.732954,-0.413118
9680494873,-0.043966,0.781954,-0.364118
9680515312,0.005034,0.781954,-0.364118
9680535750,-0.043966,0.781954,-0.413118
9680556189,0.054034,0.830954,-0.511118
9680576627,0.348034,0.732954,-0.462118
9680597066,0.152034,0.781954,-0.560118
9680617505,0.201034,0.732954,-0.707118
9680637943,-0.092966,0.781954,-0.609118
9680658382,-0.043966,0.879954,-0.609118
9680678821,0.250034,0.781954,-0.511118
9680699260,0.103034,0.830954,-0.413118
9680719699,0.103034,0.781954,-0.511118
9680740138,0.201034,0.781954,-0.462118
9680760577,0.103034,0.683954,-0.511118
9680781016,0.152034,0.732954,-0.511118
9680801455,0.054034,0.683954,-0.707118
9680821893,0.103034,0.634954,-0.658118
9680842332,0.054034,0.585954,-0.560118
9680862771,0.103034,0.585954,-0.560118
9680883210,0.152034,0.536954,-0.609118
9680903649,0.152034,0.536954,-0.609118
9680924088,0.152034,0.536954,-0.462118
9680944527,0.152034,0.536954,-0.511118
9680964965,0.005034,0.585954,-0.609118
9680985403,0.103034,0.389954,-0.854118
9681005842,0.005034,0.536954,-0.756118
9681026281,0.103034,0.683954,-0.168118
9681046719,0.201034,0.536954,-0.119118
9681067157,0.446034,0.585954,-0.217118
9681087595,0.299034,0.536954,-0.217118
9681108033,0.250034,0.585954,-0.217118
9681128471,0.201034,0.634954,-0.315118
9681148909,0.299034,0.683954,-0.315118
9681169348,0.299034,0.830954,-0.266118
9681189786,0.250034,0.977954,-0.217118
9681210224,0.299034,1.124954,-0.217118
9681230662,0.299034,1.173954,-0.217118
9681251100,0.299034,1.173954,-0.315118
9681271539,0.250034,1.320954,-0.315118
9681291976,0.299034,1.173954,-0.168118
9681312414,0.348034,1.173954,-0.070118
9681332852,0.397034,1.075954,0.076882
9681353291,0.348034,1.124954,0.223882
9681373729,0.348034,1.124954,0.321882
9681394169,0.299034,1.173954,0.566882
9681414607,0.348034,1.026954,0.370882
9681435046,0.299034,1.026954,0.272882
9681455485,0.348034,0.879954,0.174882
9681475925,0.348034,0.585954,-0.021118
9681496364,0.299034,0.438954,0.027882
9681516803,0.299034,0.340954,0.027882
9681537242,0.299034,0.291954,-0.021118
9681557681,0.348034,0.242954,-0.119118
9681578121,0.250034,0.144954,0.125882
9681598560,0.201034,0.095954,0.125882
9681618999,0.250034,0.193954,0.125882
9681639438,0.299034,0.242954,0.174882
9681659878,0.299034,0.291954,0.223882
9681680318,0.299034,0.193954,0.076882
9681700758,0.250034,0.340954,0.027882
9681721196,0.201034,0.536954,0.027882
9681741635,0.348034,0.585954,0.076882
9681762074,0.397034,0.634954,0.125882
9681782513,0.446034,0.781954,0.076882
9681802951,0.348034,1.075954,0.125882
9681823388,0.446034,1.320954,0.076882
9681843827,0.446034,1.467954,0.027882
9681864265,0.593034,1.369954,-0.315118
9681884703,0.495034,1.320954,-0.560118
9681905141,0.642034,1.369954,-0.609118
9681925579,0.397034,1.369954,-0.707118
9681946018,0.348034,1.467954,-0.756118
9681966456,0.397034,1.369954,-0.707118
9681986894,0.397034,1.173954,-0.511118
9682007332,0.397034,0.879954,-0.609118
9682027769,0.348034,0.732954,-0.609118
9682048205,0.201034,0.732954,-0.462118
9682068642,0.299034,0.585954,-0.462118
9682089079,0.299034,0.438954,-0.560118
9682109515,0.299034,0.340954,-0.609118
9682129953,0.201034,0.193954,-0.609118
9682150391,0.201034,0.193954,-0.511118
9682170831,0.250034,0.095954,-0.413118
9682191306,0.152034,0.095954,-0.462118
9682211709,0.250034,0.046954,-0.315118
9682232147,0.348034,0.046954,-0.266118
9682252585,0.348034,0.095954,-0.364118
9682273023,0.201034,-0.002046,-0.462118
9682293462,0.250034,-0.051046,-0.462118
9682313900,0.446034,-0.002046,-0.462118
9682334339,0.397034,0.046954,-0.315118
9682354777,0.299034,0.046954,-0.315118
9682375215,0.348034,0.193954,-0.413118
9682395653,0.299034,0.193954,-0.511118
9682416090,0.348034,0.340954,-0.413118
9682436528,0.348034,0.389954,-0.511118
9682456967,0.348034,0.585954,-0.609118
9682477405,0.446034,0.683954,-0.658118
9682518281,0.348034,0.879954,-0.707118
9682538720,0.495034,1.075954,-0.756118
9682559157,0.446034,1.173954,-0.707118
9682579595,0.397034,1.271954,-0.511118
9682600032,0.348034,1.271954,-0.462118
9682620470,0.446034,1.418954,-0.266118
9682640909,0.495034,1.467954,-0.217118
9682661349,0.495034,1.418954,-0.070118
9682681787,0.642034,1.320954,0.174882
9682702225,0.544034,1.124954,0.125882
9682722664,0.495034,1.173954,0.272882
9682743103,0.495034,1.124954,0.223882
9682763540,0.397034,0.732954,0.321882
9682783979,0.348034,0.585954,0.272882
9682804418,0.348034,0.340954,0.174882
9682824858,0.397034,0.242954,0.027882
9682845298,0.397034,0.095954,-0.119118
9682865737,0.348034,0.193954,-0.070118
9682886175,0.299034,0.095954,-0.021118
9682906613,0.397034,0.095954,0.027882
9682927051,0.397034,0.095954,0.027882
9682947519,0.250034,0.095954,-0.021118
9682967927,0.299034,0.095954,0.027882
9682988365,0.397034,0.144954,0.174882
9683008803,0.397034,0.193954,0.223882
9683029241,0.250034,0.144954,0.321882
9683049679,0.250034,0.193954,0.125882
9683070117,0.152034,0.340954,0.174882
9683090555,0.152034,0.536954,0.125882
9683110993,0.348034,0.928954,0.321882
9683131432,0.397034,0.879954,0.272882
9683151870,0.544034,0.879954,0.272882
9683172309,0.544034,1.124954,-0.021118
9683192748,0.593034,1.418954,-0.364118
9683213188,0.593034,1.467954,-0.609118
9683233625,0.642034,1.418954,-0.854118
9683254065,0.544034,1.516954,-0.756118
9683274505,0.495034,1.516954,-0.609118
9683294944,0.397034,1.565954,-0.609118
9683315384,0.397034,1.565954,-0.609118
9683335823,0.397034,1.271954,-0.462118
9683356262,0.348034,0.928954,-0.315118
9683376701,0.397034,0.781954,-0.364118
9683397140,0.299034,0.683954,-0.462118
9683417580,0.348034,0.487954,-0.511118
9683438020,0.348034,0.242954,-0.560118
9683458460,0.250034,0.291954,-0.609118
9683478898,0.299034,0.291954,-0.511118
9683499338,0.299034,0.242954,-0.511118
9683519777,0.299034,0.144954,-0.413118
9683540217,0.299034,0.095954,-0.315118
9683560656,0.299034,0.095954,-0.364118
9683581095,0.299034,0.095954,-0.511118
