Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9679687985,-0.493105,-4.884230,0.607035,0.211271,0.860308,-0.458703
9679690481,-0.674777,-4.947937,0.484382,0.215612,0.862532,-0.458674
9679692976,-0.796786,-4.949795,0.423092,0.215647,0.855981,-0.458584
9679695472,-0.802614,-4.644716,0.302054,0.214900,0.853833,-0.455649
9679697968,-0.808639,-4.339745,0.242045,0.213385,0.858241,-0.452086
9679700464,-0.748584,-4.277683,0.181350,0.216283,0.860442,-0.452805
9679702959,-0.623891,-4.397665,0.181204,0.212631,0.858995,-0.449920
9679705455,-0.498610,-4.517326,-0.002028,0.211173,0.860437,-0.449959
9679707951,-0.498414,-4.517220,-0.063057,0.213342,0.864804,-0.451447
9679710446,-0.499462,-4.456141,-0.123881,0.214793,0.866262,-0.452176
9679712942,-0.441896,-4.272132,-0.184168,0.215495,0.869192,-0.451477
9679715438,-0.384721,-4.088337,-0.122397,0.216962,0.869184,-0.452915
9679717934,-0.325255,-4.026595,-0.000006,0.211890,0.861900,-0.449969
9679720430,-0.445559,-4.150825,0.182411,0.208256,0.861877,-0.449290
9679722925,-0.442023,-4.333851,0.242828,0.212599,0.861928,-0.448502
9679725421,-0.499590,-4.517859,0.303115,0.211858,0.863388,-0.447803
9679727917,-0.497102,-4.639805,0.302707,0.211814,0.868505,-0.446416
9679730412,-0.496053,-4.700885,0.363532,0.216189,0.862733,-0.445548
9679732908,-0.432659,-4.821956,0.424283,0.216226,0.860517,-0.447704
9679735404,-0.371752,-4.821080,0.485443,0.212563,0.862699,-0.445598
9679737900,-0.371752,-4.821080,0.485443,0.209632,0.861987,-0.442713
9679740396,-0.435734,-4.700328,0.607777,0.210388,0.865569,-0.447124
9679742891,-0.438418,-4.578489,0.669213,0.212508,0.871445,-0.444989
9679745387,-0.381244,-4.394694,0.730984,0.213278,0.872115,-0.449361
9679747883,-0.321385,-4.332738,0.731318,0.209624,0.874287,-0.447983
9679750379,-0.322825,-4.271872,0.792551,0.208204,0.867005,-0.447174
9679752874,-0.443590,-4.334703,0.731057,0.206044,0.865517,-0.447912
9679755370,-0.627094,-4.337756,0.791694,0.206020,0.869885,-0.447972
9679757866,-0.692125,-4.155926,0.853203,0.206783,0.870566,-0.451615
9679760362,-0.636194,-3.911157,0.915177,0.206787,0.871283,-0.452354
9679762857,-0.642610,-3.606398,0.977225,0.214053,0.873503,-0.454471
9679765353,-0.647978,-3.362719,1.100098,0.207534,0.873431,-0.455288
9679767849,-0.714057,-3.119808,1.100782,0.200997,0.871935,-0.453900
9679770344,-0.717789,-2.936889,1.101394,0.209750,0.871952,-0.458153
9679772840,-0.722765,-2.692997,1.102209,0.203956,0.873332,-0.459709
9679775336,-0.788648,-2.449980,1.041865,0.205407,0.873345,-0.459690
9679777832,-0.915633,-2.207946,0.981391,0.206141,0.876232,-0.461906
9679780328,-1.042619,-1.965911,0.920916,0.204702,0.872589,-0.461147
9679782823,-1.109746,-1.661921,0.860776,0.207598,0.870454,-0.459620
9679785319,-1.178508,-1.297171,0.922897,0.207590,0.870465,-0.458892
9679787815,-1.244391,-1.054155,0.862553,0.209791,0.870453,-0.461048
9679790311,-1.309882,-0.810925,0.680152,0.208344,0.869711,-0.461058
9679792807,-1.315711,-0.505846,0.559114,0.205394,0.869749,-0.456725
9679795302,-1.259192,-0.260759,0.438003,0.203205,0.869022,-0.455288
9679797798,-1.202674,-0.015671,0.316892,0.209753,0.866889,-0.455898
9679800294,-1.143864,0.107364,0.256402,0.209708,0.866225,-0.451516
9679802789,-1.082565,0.108453,0.195504,0.205347,0.866195,-0.450846
9679805285,-1.019827,0.048675,0.073373,0.207479,0.868443,-0.447932
9679807781,-1.016947,-0.073058,-0.049091,0.206008,0.870624,-0.447253
9679810275,-0.955453,-0.071863,-0.171018,0.208897,0.869945,-0.445747
9679812771,-0.955453,-0.071863,-0.171018,0.208203,0.865559,-0.446425
9679815267,-1.013479,-0.194472,-0.354642,0.208913,0.867033,-0.445707
9679817763,-0.950349,-0.254037,-0.598829,0.211871,0.864094,-0.449271
9679820258,-0.829192,-0.190993,-0.659393,0.209643,0.869202,-0.447184
9679822754,-0.644640,-0.249020,-0.659205,0.208873,0.871422,-0.444309
9679825250,-0.518703,-0.429974,-0.659555,0.209529,0.873688,-0.439229
9679827745,-0.450989,-0.733645,-0.782501,0.209479,0.870863,-0.433360
9679830241,-0.323415,-0.975360,-0.905112,0.208012,0.872316,-0.432671
9679832737,-0.195842,-1.217075,-1.027723,0.210951,0.874462,-0.437033
9679835233,-0.069709,-1.397923,-1.089102,0.206588,0.878050,-0.437871
9679837729,0.058716,-1.700824,-1.089860,0.206535,0.880288,-0.434258
9679840224,0.308103,-1.940788,-1.090153,0.205818,0.878825,-0.434248
9679842720,0.375426,-2.244671,-1.091041,0.197852,0.880902,-0.436572
9679845216,0.503851,-2.547572,-1.091799,0.205802,0.880292,-0.433539
9679847712,0.633520,-2.911447,-1.092761,0.199959,0.883182,-0.431472
9679850207,0.762994,-3.275428,-1.032694,0.201394,0.886107,-0.431492
9679852703,0.890175,-3.517355,-1.033248,0.205002,0.891226,-0.432241
9679855199,0.954814,-3.699399,-0.972700,0.201410,0.884641,-0.432201
9679857695,1.080360,-3.880567,-0.850994,0.197812,0.883846,-0.434426
9679860190,1.207149,-4.122708,-0.729490,0.198534,0.887471,-0.435923
9679862686,1.274080,-4.426805,-0.608322,0.200662,0.890447,-0.433019
9679865182,1.402505,-4.729705,-0.609080,0.204332,0.883918,-0.433608
9679867678,1.407286,-4.973705,-0.548867,0.203614,0.883901,-0.434347
9679870173,1.348475,-5.096739,-0.488376,0.197894,0.882293,-0.440964
9679872669,1.289469,-5.219881,-0.366857,0.200053,0.880890,-0.438728
9679875165,1.231903,-5.403889,-0.306571,0.197135,0.882330,-0.438059
9679877661,1.112185,-5.527800,-0.307240,0.199356,0.880123,-0.440914
9679880157,1.049839,-5.467809,-0.307167,0.200064,0.875816,-0.437201
9679882652,1.045715,-5.285102,-0.184498,0.198634,0.877943,-0.440165
9679885148,1.042835,-5.163369,-0.062033,0.197941,0.875003,-0.441592
9679887644,0.982585,-5.225537,0.059689,0.196470,0.875739,-0.440165
9679890140,0.800325,-5.289564,0.120122,0.200105,0.877207,-0.441593
9679892635,0.678120,-5.291528,0.119861,0.200153,0.874252,-0.444467
9679895131,0.550939,-5.049600,0.120415,0.200883,0.876421,-0.445945
9679897627,0.423953,-4.807566,0.059941,0.197955,0.881490,-0.446054
9679900122,0.357022,-4.503469,-0.061228,0.195021,0.881506,-0.443179
9679902618,0.230037,-4.261435,-0.121702,0.194348,0.879261,-0.446802
9679905114,0.103051,-4.019400,-0.182177,0.205289,0.878560,-0.451745
9679907610,-0.025178,-3.716393,-0.242448,0.206053,0.882131,-0.456885
9679910105,-0.031398,-3.411527,-0.241428,0.201623,0.882915,-0.450396
9679912601,-0.037619,-3.106661,-0.240409,0.200945,0.877063,-0.451784
9679915097,-0.167288,-2.742787,-0.239448,0.202383,0.874925,-0.449548
9679917593,-0.355572,-2.501841,-0.239024,0.202419,0.871264,-0.450956
9679920088,-0.542220,-2.321656,-0.360862,0.200957,0.874879,-0.451754
9679922584,-0.606007,-2.200798,-0.299556,0.203149,0.874878,-0.453182
9679925080,-0.669401,-2.079728,-0.360308,0.206054,0.874177,-0.453132
9679927576,-0.671694,-1.957675,-0.420928,0.205301,0.877821,-0.452463
9679930071,-0.615175,-1.712587,-0.542040,0.204539,0.875695,-0.448071
9679932567,-0.620151,-1.468695,-0.541224,0.203789,0.877166,-0.446644
9679935063,-0.687278,-1.164705,-0.601364,0.203027,0.876485,-0.443001
9679937559,-0.692254,-0.920813,-0.600549,0.203003,0.879408,-0.442312
9679940055,-0.751721,-0.982555,-0.722941,0.203036,0.879364,-0.445226
9679942550,-0.686691,-1.164385,-0.784450,0.203052,0.877898,-0.445935
9679945046,-0.621464,-1.346110,-0.906988,0.207407,0.877211,-0.445866
9679947542,-0.559970,-1.344914,-1.028914,0.203065,0.881494,-0.448900
9679950038,-0.499063,-1.344039,-0.967755,0.201569,0.879372,-0.443789
9679952533,-0.439400,-1.282190,-0.906392,0.201535,0.876525,-0.439377
9679955029,-0.376006,-1.403260,-0.845641,0.203722,0.871472,-0.437821
9679957525,-0.313855,-1.463358,-0.784685,0.201557,0.869267,-0.437820
9679960021,-0.188113,-1.644419,-0.724007,0.204468,0.873619,-0.440755
9679962516,-0.186017,-1.766578,-0.602358,0.203698,0.872949,-0.436383
9679965012,-0.186017,-1.766578,-0.602358,0.203701,0.872221,-0.436373
9679967508,-0.182089,-1.949391,-0.663998,0.208065,0.871523,-0.437033
9679970003,-0.175869,-2.254257,-0.665017,0.207287,0.873754,-0.433429
9679972499,-0.106058,-2.680086,-0.666313,0.207291,0.871581,-0.432671
9679974995,-0.040175,-2.923103,-0.605969,0.205107,0.873017,-0.432720
9679977491,0.021780,-2.983307,-0.483985,0.200706,0.873041,-0.428408
9679979987,0.020535,-2.922334,-0.483781,0.200722,0.870129,-0.428368
9679982483,0.143789,-2.981449,-0.422695,0.201496,0.870071,-0.432730
9679984978,0.268482,-3.101431,-0.422842,0.205103,0.873745,-0.432730
9679987474,0.334561,-3.344341,-0.423527,0.205050,0.874537,-0.428369
9679989970,0.276994,-3.528349,-0.363240,0.199978,0.876652,-0.429925
9679992466,0.280531,-3.711375,-0.302823,0.201452,0.875188,-0.431342
9679994961,0.223356,-3.895170,-0.364594,0.204399,0.877324,-0.436433
9679997457,0.164742,-4.018098,-0.365132,0.201547,0.877232,-0.440844
9679999953,0.228136,-4.139169,-0.304380,0.194991,0.877931,-0.438757
9680002448,0.230428,-4.261222,-0.243760,0.197142,0.876538,-0.435793
9680004944,0.352634,-4.259257,-0.243498,0.196465,0.873577,-0.438678
9680007440,0.291335,-4.260346,-0.182600,0.195743,0.871397,-0.437929
9680009936,0.291531,-4.260240,-0.243629,0.197883,0.875079,-0.436492
9680012431,0.230428,-4.261222,-0.243760,0.197240,0.874964,-0.443788
9680014927,0.167034,-4.140151,-0.304511,0.199449,0.874941,-0.446673
9680017423,0.164350,-4.018311,-0.243075,0.196528,0.877109,-0.446014
9680019919,0.224012,-3.956463,-0.181712,0.193585,0.875690,-0.441662
9680022414,0.224012,-3.956463,-0.181712,0.191360,0.878625,-0.438816
9680024910,0.222964,-3.895383,-0.242537,0.190661,0.881476,-0.442509
9680027406,0.222964,-3.895383,-0.242537,0.192808,0.880811,-0.439555
9680029902,0.284459,-3.894188,-0.364463,0.193493,0.883762,-0.437399
9680032398,0.346149,-3.892886,-0.547418,0.192051,0.885183,-0.438896
9680034894,0.410327,-4.013531,-0.730781,0.193477,0.885229,-0.436691
9680037389,0.536656,-4.194273,-0.853188,0.191312,0.880134,-0.435193
9680039885,0.539145,-4.316219,-0.853596,0.189866,0.882283,-0.436700
9680042381,0.479090,-4.378281,-0.792902,0.193481,0.885946,-0.437429
9680044876,0.356297,-4.380565,-0.610077,0.192780,0.884462,-0.438877
9680047372,0.357345,-4.441645,-0.549253,0.186986,0.885842,-0.440433
9680049868,0.357149,-4.441751,-0.488224,0.189198,0.883646,-0.442559
9680052364,0.417860,-4.440981,-0.366036,0.192820,0.881518,-0.441023
9680054860,0.478375,-4.440319,-0.182820,0.192792,0.883723,-0.439595
9680057355,0.539086,-4.439549,-0.060632,0.187739,0.882198,-0.441102
9680059851,0.542818,-4.622468,-0.061244,0.187747,0.882187,-0.441830
9680062347,0.484203,-4.745397,-0.061782,0.191411,0.881450,-0.444685
9680064842,0.485252,-4.806477,-0.000957,0.190020,0.876298,-0.447550
9680067338,0.540986,-4.561815,0.122046,0.189311,0.877714,-0.449766
9680069834,0.594429,-4.195100,0.184428,0.190791,0.879858,-0.453419
9680072330,0.405949,-3.954261,0.245880,0.193004,0.879107,-0.456294
9680074825,0.097948,-3.837226,0.245635,0.194479,0.879088,-0.458460
9680077321,-0.149146,-3.719316,0.306548,0.193774,0.876887,-0.459169
9680079817,-0.212737,-3.598351,0.306825,0.195208,0.876922,-0.457692
9680082313,-0.220201,-3.232512,0.308048,0.195205,0.879095,-0.458450
9680084808,-0.291256,-2.745710,0.309548,0.193770,0.877615,-0.459179
9680087304,-0.483272,-2.321845,0.310583,0.193799,0.876855,-0.461355
9680089800,-0.734099,-2.021014,0.372108,0.195999,0.875398,-0.462762
9680092296,-0.922579,-1.780175,0.433560,0.195998,0.873953,-0.462014
9680094791,-1.049956,-1.538354,0.495143,0.197440,0.871087,-0.459768
9680097287,-1.116034,-1.295443,0.495828,0.198879,0.873284,-0.459778
9680099783,-1.119571,-1.112418,0.435411,0.197433,0.873988,-0.460537
9680102279,-1.245312,-0.931356,0.374732,0.192347,0.872506,-0.459129
9680104774,-1.430912,-0.812250,0.313720,0.193825,0.868869,-0.459788
9680107270,-1.677615,-0.694126,0.252576,0.196026,0.868857,-0.461944
9680109766,-1.926609,-0.453950,0.130812,0.192396,0.870996,-0.462752
9680112262,-2.116989,-0.090845,0.009586,0.190912,0.871025,-0.459857
9680114758,-2.247903,0.334002,0.010752,0.191621,0.869609,-0.457641
9680117253,-2.375937,0.637116,-0.110548,0.191600,0.870358,-0.456194
9680119749,-2.500238,0.757311,-0.232458,0.191544,0.873324,-0.452591
9680122245,-2.563437,0.878488,-0.354239,0.194466,0.874047,-0.454747
9680124741,-2.501942,0.879683,-0.476165,0.195917,0.875506,-0.455476
