Timestamp (us),W Element,X Element,Y Element,Z Element
9679687985,-0.384796,-0.469803,0.708067,0.360697
9679690481,-0.384719,-0.469730,0.708126,0.360759
9679692976,-0.384642,-0.469657,0.708184,0.360822
9679695472,-0.384569,-0.469588,0.708237,0.360884
9679697968,-0.384501,-0.469523,0.708287,0.360944
9679700464,-0.384434,-0.469458,0.708335,0.361004
9679702959,-0.384363,-0.469395,0.708385,0.361063
9679705455,-0.384288,-0.469335,0.708435,0.361124
9679707951,-0.384212,-0.469275,0.708484,0.361185
9679710446,-0.384137,-0.469217,0.708533,0.361246
9679712942,-0.384065,-0.469162,0.708578,0.361305
9679715438,-0.383996,-0.469107,0.708624,0.361360
9679717934,-0.383926,-0.469052,0.708671,0.361412
9679720430,-0.383857,-0.468994,0.708719,0.361468
9679722925,-0.383787,-0.468932,0.708770,0.361523
9679725421,-0.383715,-0.468866,0.708822,0.361582
9679727917,-0.383642,-0.468800,0.708874,0.361643
9679730412,-0.383569,-0.468732,0.708929,0.361702
9679732908,-0.383494,-0.468663,0.708986,0.361761
9679735404,-0.383418,-0.468593,0.709043,0.361819
9679737900,-0.383342,-0.468524,0.709099,0.361878
9679740396,-0.383270,-0.468454,0.709155,0.361935
9679742891,-0.383200,-0.468383,0.709211,0.361992
9679745387,-0.383133,-0.468314,0.709266,0.362044
9679747883,-0.383066,-0.468246,0.709320,0.362096
9679750379,-0.383000,-0.468178,0.709376,0.362146
9679752874,-0.382933,-0.468110,0.709429,0.362199
9679755370,-0.382869,-0.468040,0.709482,0.362255
9679757866,-0.382808,-0.467969,0.709534,0.362309
9679760362,-0.382751,-0.467901,0.709584,0.362359
9679762857,-0.382700,-0.467833,0.709634,0.362404
9679765353,-0.382653,-0.467765,0.709682,0.362446
9679767849,-0.382608,-0.467701,0.709727,0.362488
9679770344,-0.382568,-0.467637,0.709771,0.362526
9679772840,-0.382530,-0.467575,0.709814,0.362563
9679775336,-0.382496,-0.467514,0.709854,0.362599
9679777832,-0.382465,-0.467455,0.709891,0.362635
9679780328,-0.382439,-0.467398,0.709924,0.362671
9679782823,-0.382419,-0.467343,0.709954,0.362705
9679785319,-0.382406,-0.467289,0.709981,0.362736
9679787815,-0.382396,-0.467238,0.710005,0.362765
9679790311,-0.382390,-0.467191,0.710025,0.362794
9679792807,-0.382387,-0.467148,0.710039,0.362822
9679795302,-0.382387,-0.467109,0.710051,0.362849
9679797798,-0.382389,-0.467074,0.710061,0.362872
9679800294,-0.382394,-0.467041,0.710069,0.362894
9679802789,-0.382397,-0.467010,0.710077,0.362916
9679805285,-0.382398,-0.466981,0.710084,0.362940
9679807781,-0.382396,-0.466952,0.710090,0.362966
9679810275,-0.382394,-0.466925,0.710095,0.362992
9679812771,-0.382391,-0.466899,0.710101,0.363018
9679815267,-0.382385,-0.466873,0.710106,0.363047
9679817763,-0.382376,-0.466852,0.710110,0.363077
9679820258,-0.382367,-0.466833,0.710113,0.363106
9679822754,-0.382355,-0.466814,0.710117,0.363133
9679825250,-0.382339,-0.466793,0.710124,0.363163
9679827745,-0.382318,-0.466771,0.710133,0.363197
9679830241,-0.382291,-0.466750,0.710143,0.363233
