Timestamp (us),Temperature (degC)
9679885148,39.375000
9680883451,39.375000
9681881754,39.450001
9682880056,39.500000
9683878360,39.500000
9684876661,39.375000
9685874965,39.474998
9686873267,39.500000
9687871572,39.500000
9688869873,39.500000
9689868178,39.500000
9690866480,39.500000
9691864784,39.500000
9692863088,39.500000
9693861392,39.500000
9694859697,39.500000
9695857999,39.500000
9696856304,39.500000
9697854606,39.500000
9698852912,39.500000
9699851214,39.575001
9700849519,39.575001
9701847823,39.500000
9702846127,39.500000
9703844432,39.500000
9704842737,39.500000
9705841043,39.500000
9706839347,39.500000
9707837654,39.625000
9708835958,39.549999
9709834263,39.500000
9710832570,39.500000
9711830874,39.500000
9712829181,39.500000
9713827484,39.500000
9714825792,39.525002
9715824096,39.625000
9716822423,39.625000
9717820707,39.549999
9718819012,39.500000
9719817318,39.500000
9720815622,39.625000
9721813929,39.625000
9722812233,39.625000
9723810540,39.625000
9724808843,39.625000
9725807150,39.625000
9726805454,39.625000
9727803760,39.575001
9728802064,39.500000
9729800371,39.625000
9730798675,39.625000
9731796980,39.625000
9732795286,39.625000
9733793591,39.625000
9734791897,39.500000
9735790202,39.575001
9736788507,39.575001
9737786812,39.500000
