Timestamp (us),Percentage (%),Voltage (V),Charging Status
9680278758,72.825409,3.728254,0.000000
9681279288,72.771698,3.727717,0.000000
9682279820,72.803917,3.728039,0.000000
9683280350,72.759598,3.727596,0.000000
9684280881,72.799889,3.727999,0.000000
9685281411,72.820030,3.728200,0.000000
9686281942,72.801239,3.728013,0.000000
9687282472,72.814667,3.728147,0.000000
9688283004,72.767670,3.727676,0.000000
9689283533,72.770355,3.727704,0.000000
9690284063,72.778412,3.727784,0.000000
9691284594,72.781090,3.727811,0.000000
9692285123,72.774376,3.727744,0.000000
9693285654,72.773033,3.727730,0.000000
9694286184,72.752899,3.727529,0.000000
9695286715,72.756912,3.727569,0.000000
9696287244,72.747528,3.727475,0.000000
9697287774,72.779755,3.727798,0.000000
9698288304,72.758263,3.727582,0.000000
9699288834,72.755577,3.727556,0.000000
9700289419,72.732750,3.727327,0.000000
9701289949,72.738121,3.727381,0.000000
9702290480,72.742157,3.727422,0.000000
9703291010,72.723358,3.727233,0.000000
9704291540,72.724693,3.727247,0.000000
9705292073,72.734100,3.727341,0.000000
9706292603,72.724701,3.727247,0.000000
9707295933,72.696503,3.726965,0.000000
9708296464,72.712608,3.727126,0.000000
9709296995,72.704552,3.727046,0.000000
9710297528,72.711273,3.727113,0.000000
9711298058,72.715286,3.727153,0.000000
9712298588,72.705894,3.727059,0.000000
9713299119,72.688438,3.726884,0.000000
9714299649,72.683075,3.726831,0.000000
9715300182,72.688446,3.726884,0.000000
9716300713,72.662918,3.726629,0.000000
9717301244,72.657547,3.726575,0.000000
9718301775,72.673668,3.726737,0.000000
9719302314,72.645477,3.726454,0.000000
9720302845,72.652191,3.726522,0.000000
9721303376,72.670982,3.726710,0.000000
9722303908,72.638756,3.726388,0.000000
9723304439,72.661583,3.726616,0.000000
9724304971,72.642784,3.726428,0.000000
9725305501,72.664276,3.726643,0.000000
9726306032,72.645477,3.726454,0.000000
9727306563,72.644135,3.726442,0.000000
9728307093,72.633392,3.726334,0.000000
9729307628,72.636070,3.726361,0.000000
9730308159,72.617279,3.726173,0.000000
9731308688,72.623978,3.726240,0.000000
9732309218,72.641441,3.726414,0.000000
9733309749,72.615929,3.726159,0.000000
9734310285,72.614586,3.726146,0.000000
9735310815,72.606529,3.726065,0.000000
9736311344,72.598473,3.725985,0.000000
9737311875,72.602501,3.726025,0.000000
9738312417,72.589073,3.725891,0.000000
