Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9679689946,0.240051,0.318329,0.662502
9679709571,0.289051,0.220329,0.613502
9679729196,0.387051,0.269329,0.564502
9679748822,0.338051,0.269329,0.662502
9679768448,0.289051,0.269329,0.662502
9679788073,0.338051,0.171329,0.564502
9679807698,0.289051,0.318329,0.613502
9679827324,0.191051,0.367329,0.613502
9679846951,0.338051,0.269329,0.515502
9679866576,0.289051,0.269329,0.613502
9679886201,0.240051,0.269329,0.662502
9679905827,0.240051,0.269329,0.564502
9679925451,0.289051,0.220329,0.564502
9679945076,0.338051,0.269329,0.564502
9679964701,0.289051,0.269329,0.613502
9679984326,0.338051,0.171329,0.564502
9680003953,0.240051,0.220329,0.662502
9680023578,0.338051,0.318329,0.662502
9680043203,0.289051,0.171329,0.662502
9680062828,0.240051,0.220329,0.613502
9680082455,0.338051,0.269329,0.613502
9680102080,0.240051,0.269329,0.613502
9680121707,0.289051,0.269329,0.613502
9680141332,0.240051,0.367329,0.760502
9680160959,0.289051,0.220329,0.662502
9680180587,0.289051,0.269329,0.662502
9680200212,0.240051,0.318329,0.564502
9680219838,0.338051,0.416329,0.613502
9680239464,0.289051,0.269329,0.662502
9680259089,0.289051,0.269329,0.662502
9680278715,0.289051,0.269329,0.613502
9680298341,0.338051,0.318329,0.662502
9680317968,0.338051,0.318329,0.564502
9680337594,0.240051,0.220329,0.564502
9680357220,0.289051,0.269329,0.662502
9680376846,0.338051,0.269329,0.613502
9680396472,0.338051,0.269329,0.515502
9680416097,0.240051,0.318329,0.613502
9680435723,0.240051,0.269329,0.564502
9680455348,0.387051,0.269329,0.613502
9680474974,0.387051,0.318329,0.613502
9680494602,0.289051,0.269329,0.662502
9680514231,0.289051,0.269329,0.613502
9680533857,0.240051,0.318329,0.613502
9680553483,0.338051,0.318329,0.564502
9680573109,0.289051,0.220329,0.515502
9680592734,0.387051,0.220329,0.564502
9680612358,0.289051,0.269329,0.711502
9680631982,0.338051,0.318329,0.662502
9680651608,0.338051,0.171329,0.564502
9680671233,0.289051,0.171329,0.613502
9680690858,0.338051,0.269329,0.613502
9680710483,0.240051,0.220329,0.613502
9680730108,0.289051,0.367329,0.564502
9680749735,0.338051,0.416329,0.662502
9680769361,0.338051,0.367329,0.466502
9680788987,0.289051,0.269329,0.613502
9680808612,0.240051,0.220329,0.613502
9680828239,0.387051,0.220329,0.564502
9680847863,0.338051,0.269329,0.613502
9680867488,0.240051,0.269329,0.515502
9680887114,0.289051,0.269329,0.613502
9680906740,0.289051,0.220329,0.613502
9680926365,0.289051,0.269329,0.515502
9680945989,0.191051,0.318329,0.515502
9680965615,0.240051,0.269329,0.662502
9680985240,0.289051,0.318329,0.564502
9681004866,0.240051,0.318329,0.613502
9681024491,0.191051,0.318329,0.564502
9681044117,0.289051,0.318329,0.564502
9681063742,0.240051,0.269329,0.564502
9681083367,0.289051,0.318329,0.662502
9681102993,0.240051,0.269329,0.515502
9681122619,0.338051,0.269329,0.515502
9681142246,0.387051,0.269329,0.662502
9681161872,0.289051,0.318329,0.564502
9681181500,0.289051,0.318329,0.613502
9681201125,0.338051,0.318329,0.662502
9681220751,0.289051,0.318329,0.613502
9681240375,0.240051,0.318329,0.613502
9681260000,0.338051,0.220329,0.662502
9681279624,0.338051,0.318329,0.613502
9681299257,0.240051,0.367329,0.613502
9681318874,0.240051,0.269329,0.564502
9681338498,0.289051,0.269329,0.613502
9681358123,0.289051,0.269329,0.711502
9681377749,0.240051,0.220329,0.613502
9681397373,0.338051,0.220329,0.613502
9681416997,0.289051,0.220329,0.711502
9681436620,0.240051,0.171329,0.515502
9681456243,0.289051,0.220329,0.711502
9681475867,0.289051,0.171329,0.662502
9681495491,0.289051,0.171329,0.662502
9681515115,0.289051,0.220329,0.662502
9681534740,0.289051,0.171329,0.564502
9681554364,0.191051,0.171329,0.564502
9681573988,0.338051,0.171329,0.662502
9681593613,0.289051,0.171329,0.613502
9681613237,0.240051,0.220329,0.613502
9681632864,0.289051,0.318329,0.711502
9681652491,0.240051,0.220329,0.613502
9681672116,0.338051,0.220329,0.613502
9681691741,0.436051,0.171329,0.515502
9681711365,0.240051,0.220329,0.515502
9681730991,0.240051,0.318329,0.662502
9681750617,0.289051,0.269329,0.515502
9681770244,0.338051,0.269329,0.613502
9681789869,0.289051,0.318329,0.613502
9681809494,0.289051,0.269329,0.613502
9681829120,0.240051,0.367329,0.564502
9681848744,0.289051,0.416329,0.662502
9681868369,0.240051,0.269329,0.613502
9681887994,0.289051,0.318329,0.613502
9681907620,0.289051,0.416329,0.613502
9681927245,0.338051,0.367329,0.613502
9681946871,0.387051,0.367329,0.515502
9681966498,0.289051,0.318329,0.564502
9681986123,0.191051,0.367329,0.515502
9682005749,0.240051,0.318329,0.613502
9682025376,0.289051,0.318329,0.564502
9682045002,0.240051,0.367329,0.564502
9682064629,0.289051,0.318329,0.613502
9682084254,0.387051,0.367329,0.564502
9682103880,0.289051,0.318329,0.613502
9682123507,0.289051,0.318329,0.564502
9682143133,0.289051,0.318329,0.613502
9682162760,0.289051,0.367329,0.564502
9682182387,0.289051,0.318329,0.613502
9682202015,0.240051,0.318329,0.662502
9682221640,0.289051,0.220329,0.564502
9682241266,0.289051,0.318329,0.613502
9682260891,0.338051,0.220329,0.613502
9682280518,0.240051,0.171329,0.662502
9682300145,0.289051,0.318329,0.613502
9682319772,0.338051,0.318329,0.613502
9682339400,0.289051,0.269329,0.613502
9682359026,0.338051,0.318329,0.613502
9682378651,0.338051,0.318329,0.564502
9682398278,0.387051,0.367329,0.564502
9682417905,0.240051,0.269329,0.515502
9682437531,0.240051,0.367329,0.564502
9682476782,0.387051,0.269329,0.613502
9682496406,0.240051,0.367329,0.613502
9682516034,0.191051,0.367329,0.613502
9682535662,0.240051,0.269329,0.662502
9682555290,0.240051,0.269329,0.662502
9682574917,0.338051,0.171329,0.662502
9682594544,0.289051,0.318329,0.613502
