Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9679679965,0.081978,-0.050449,-0.519499,0.282190,0.303548,0.917254
9679682467,0.021123,-0.111130,-0.519251,0.282250,0.302106,0.910677
9679684970,0.081630,-0.233239,-0.518444,0.279359,0.303598,0.910657
9679687473,0.081398,-0.355098,-0.517740,0.283041,0.307203,0.909997
9679689980,0.142137,-0.355347,-0.517636,0.284454,0.304268,0.910719
9679692478,0.081630,-0.233239,-0.518444,0.278632,0.304333,0.911384
9679694981,0.021123,-0.111130,-0.519251,0.278666,0.304341,0.908466
9679697483,0.021239,-0.050201,-0.519603,0.283051,0.305023,0.907062
9679699986,0.021113,-0.110834,-0.458629,0.284546,0.306469,0.904901
9679702488,0.081746,-0.172309,-0.518795,0.278755,0.310178,0.906325
9679704991,0.020890,-0.232990,-0.518548,0.280247,0.315261,0.907840
9679707494,0.021006,-0.172060,-0.518899,0.277333,0.313839,0.907067
9679709997,-0.160990,-0.049158,-0.459293,0.281638,0.307230,0.905604
9679712499,-0.160999,-0.048862,-0.398671,0.281621,0.307227,0.907063
9679715002,-0.221845,-0.109840,-0.459045,0.279466,0.308712,0.906321
9679717505,-0.221961,-0.170769,-0.458693,0.278715,0.305806,0.905560
9679720007,-0.222068,-0.231996,-0.518963,0.283737,0.302823,0.908511
9679722510,-0.282701,-0.170521,-0.458797,0.283743,0.306462,0.911458
9679725012,-0.343450,-0.169976,-0.398279,0.285972,0.309356,0.910046
9679727515,-0.343343,-0.108749,-0.338008,0.286021,0.311548,0.907875
9679730018,-0.282729,-0.169631,-0.276930,0.285303,0.311559,0.907138
9679732520,-0.343478,-0.169085,-0.216412,0.280927,0.309424,0.906343
9679735023,-0.404333,-0.229767,-0.216164,0.278690,0.305800,0.907749
9679737526,-0.464966,-0.168292,-0.155998,0.279384,0.305058,0.909939
9679740028,-0.464850,-0.107362,-0.156350,0.282243,0.300650,0.909936
9679742549,-0.525483,-0.045887,-0.096183,0.285893,0.300611,0.908518
9679745032,-0.525483,-0.045887,-0.096183,0.284465,0.301361,0.907048
9679747535,-0.586231,-0.045341,-0.035665,0.283054,0.300659,0.902650
9679750037,-0.586222,-0.045638,-0.096287,0.283078,0.302119,0.901932
9679752540,-0.586213,-0.045935,-0.156909,0.286645,0.300608,0.906337
9679755043,-0.586195,-0.046528,-0.278154,0.284406,0.300621,0.911419
9679757545,-0.586204,-0.046232,-0.217532,0.282258,0.302835,0.910683
9679760048,-0.586320,-0.107161,-0.217180,0.279393,0.302878,0.907004
9679762551,-0.586204,-0.046232,-0.217532,0.276528,0.303648,0.904060
9679765054,-0.585972,0.075628,-0.218235,0.279443,0.304343,0.904098
9679767556,-0.585739,0.197488,-0.218939,0.281581,0.304309,0.907769
9679770059,-0.585633,0.258714,-0.158668,0.277940,0.303622,0.907723
9679772562,-0.707130,0.259805,-0.037632,0.277155,0.301436,0.910615
9679775064,-0.767879,0.260350,0.022886,0.282161,0.297723,0.914290
9679777567,-0.767995,0.199420,0.023238,0.282203,0.297004,0.909907
9679780069,-0.768209,0.076967,-0.097303,0.281525,0.299933,0.908464
9679782572,-0.768432,-0.045189,-0.157221,0.278634,0.302152,0.909178
9679785075,-0.768530,-0.106713,-0.278114,0.275760,0.302193,0.906229
9679787577,-0.707799,-0.106664,-0.217388,0.277915,0.302889,0.909176
9679790080,-0.646934,-0.046280,-0.278258,0.280053,0.302128,0.912112
