Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9679708393,-1.338875,-0.399298,-0.264016
9679759368,-1.338792,-0.398935,-0.244300
9679810342,-1.330025,-0.399473,-0.264027
9679861319,-1.347642,-0.398760,-0.244289
9679912295,-1.330024,-0.408154,-0.253918
9679963264,-1.347704,-0.399124,-0.263954
9680014236,-1.347747,-0.399121,-0.264054
9680065207,-1.338834,-0.399117,-0.254157
9680116173,-1.356534,-0.398766,-0.254133
9680167149,-1.347703,-0.399308,-0.273711
9680218124,-1.338834,-0.407614,-0.234292
9680269092,-1.329983,-0.407973,-0.244063
9680320060,-1.338979,-0.408157,-0.263915
9680371034,-1.347785,-0.416665,-0.253693
9680422006,-1.347661,-0.399127,-0.263853
9680472970,-1.338812,-0.399118,-0.254108
9680523945,-1.338771,-0.398937,-0.244253
9680574914,-1.329983,-0.399476,-0.263927
9680625883,-1.347641,-0.398944,-0.254047
9680676851,-1.347703,-0.407805,-0.253846
9680727823,-1.347806,-0.416847,-0.263500
9680778793,-1.347744,-0.407986,-0.263702
9680829756,-1.347662,-0.398943,-0.254096
9680880726,-1.347641,-0.398944,-0.254047
9680931688,-1.338832,-0.399300,-0.263915
9680982649,-1.338873,-0.408163,-0.263663
9681033603,-1.338792,-0.398935,-0.244300
9681084562,-1.338709,-0.390076,-0.244454
9681135534,-1.347621,-0.390264,-0.264105
9681186501,-1.347831,-0.399300,-0.274020
9681237464,-1.356471,-0.390089,-0.264093
9681288424,-1.330004,-0.399474,-0.263977
9681339396,-1.347601,-0.390082,-0.254298
9681390355,-1.338750,-0.390441,-0.264066
9681441316,-1.347598,-0.390450,-0.273809
9681492282,-1.338750,-0.390441,-0.264066
9681543245,-1.338831,-0.399484,-0.273671
9681594215,-1.347681,-0.399309,-0.273659
9681645190,-1.347621,-0.398762,-0.244241
9681696162,-1.338790,-0.399303,-0.263814
9681747135,-1.338811,-0.399302,-0.263865
9681798104,-1.347703,-0.407805,-0.253846
9681849074,-1.347724,-0.407804,-0.253895
9681900047,-1.347743,-0.416667,-0.253595
9681951022,-1.356636,-0.416489,-0.253681
9682001999,-1.347785,-0.416665,-0.253693
9682052972,-1.365442,-0.407819,-0.273434
9682103947,-1.356676,-0.416854,-0.273296
9682154913,-1.356634,-0.416673,-0.263438
9682205884,-1.356677,-0.425168,-0.243672
9682256851,-1.347744,-0.407986,-0.263702
9682307827,-1.356573,-0.407812,-0.263640
9682358782,-1.347807,-0.408167,-0.273612
9682409750,-1.347702,-0.407988,-0.263601
9682511695,-1.347620,-0.390448,-0.273861
9682562665,-1.347661,-0.399127,-0.263853
9682613641,-1.356553,-0.399133,-0.273699
9682664608,-1.356451,-0.389907,-0.254286
9682715581,-1.338831,-0.399484,-0.273671
9682766546,-1.338750,-0.390441,-0.264066
9682817523,-1.347600,-0.390266,-0.264055
9682868485,-1.338688,-0.381580,-0.264268
9682919453,-1.338750,-0.390441,-0.264066
9682970419,-1.338875,-0.399298,-0.264016
9683021389,-1.356471,-0.390089,-0.264093
9683072365,-1.347786,-0.408168,-0.273561
9683123337,-1.347804,-0.417031,-0.273256
9683174305,-1.347810,-0.407615,-0.244325
9683225278,-1.347807,-0.416664,-0.253742
9683276254,-1.356779,-0.434394,-0.263085
9683327218,-1.356802,-0.434210,-0.253376
9683378193,-1.356636,-0.416489,-0.253681
9683429164,-1.356657,-0.424985,-0.233865
9683480139,-1.347764,-0.416666,-0.253644
9683531115,-1.347807,-0.416664,-0.253742
9683582086,-1.356656,-0.416672,-0.263489
9683633052,-1.356615,-0.416307,-0.243874
9683684021,-1.356554,-0.407446,-0.244076
9683734986,-1.347764,-0.408169,-0.273509
9683785957,-1.356640,-0.407441,-0.244266
9683836947,-1.356553,-0.399133,-0.273699
9683887909,-1.356656,-0.408175,-0.283358
9683938884,-1.338853,-0.399483,-0.273722
9683989853,-1.356574,-0.399131,-0.273751
9684040820,-1.347519,-0.372541,-0.264558
9684091781,-1.347601,-0.381584,-0.274165
9684142750,-1.338668,-0.372900,-0.274327
9684193718,-1.347580,-0.381586,-0.274114
9684244689,-1.347456,-0.363864,-0.274517
9684295653,-1.338649,-0.364036,-0.274632
9684346630,-1.347396,-0.354819,-0.264962
9684397605,-1.347480,-0.354995,-0.274925
9684448576,-1.347538,-0.381405,-0.264256
9684499553,-1.347581,-0.381402,-0.264357
9684550531,-1.356470,-0.390273,-0.273849
9684601514,-1.347621,-0.390264,-0.264105
9684652496,-1.347828,-0.408165,-0.273664
9684703481,-1.347661,-0.399127,-0.263853
9684754457,-1.347767,-0.407801,-0.253992
9684805436,-1.356616,-0.407810,-0.263740
9684856415,-1.356534,-0.398766,-0.254133
9684907397,-1.356617,-0.399129,-0.273854
9684958376,-1.356533,-0.398950,-0.263892
9685009356,-1.347786,-0.399671,-0.293434
9685060333,-1.338875,-0.399298,-0.264016
9685111309,-1.347580,-0.381586,-0.274114
9685162278,-1.356554,-0.398949,-0.263942
9685213251,-1.347703,-0.399308,-0.273711
9685264227,-1.347642,-0.381765,-0.284027
9685315202,-1.356451,-0.389907,-0.254286
9685366180,-1.347581,-0.381402,-0.264357
9685417166,-1.356534,-0.390269,-0.274004
9685468153,-1.347621,-0.390264,-0.264105
9685519136,-1.347581,-0.381402,-0.264357
9685570118,-1.356556,-0.390267,-0.274055
9685621101,-1.356431,-0.389724,-0.244479
9685672086,-1.356493,-0.390088,-0.264144
9685723065,-1.356493,-0.390088,-0.264144
9685774041,-1.356451,-0.381409,-0.274154
9685825016,-1.356308,-0.355007,-0.284620
9685875993,-1.356162,-0.337472,-0.294725
9685926981,-1.364952,-0.319752,-0.305034
9685977964,-1.364622,-0.267136,-0.335614
9686028952,-1.373001,-0.196067,-0.337275
9686079933,-1.354687,-0.107616,-0.329562
9686130905,-1.353865,-0.000932,-0.312247
9686181883,-1.335305,0.106146,-0.255838
9686232861,-1.307752,0.222445,-0.170180
9686283833,-1.262586,0.304603,0.004478
9686334803,-1.244255,0.351677,0.170180
9686385776,-1.190623,0.380712,0.355939
9686436753,-1.128374,0.357085,0.582055
9686487722,-1.066561,0.279545,0.769994
9686538685,-1.005099,0.166260,0.939483
9686589659,-0.917503,-0.001482,1.070726
9686640626,-0.865328,-0.160391,1.162574
9686691598,-0.831239,-0.339047,1.127319
9686742566,-0.823688,-0.508866,1.062340
9686793541,-0.816087,-0.661324,0.977711
9686844514,-0.799366,-0.761890,0.832737
9686895485,-0.817921,-0.844204,0.677444
