Timestamp (us),Percentage (%),Power (dBm)
9679847776,94.000000,-53.000000
9680836290,92.000000,-54.000000
9681847396,88.000000,-56.000000
9682835911,84.000000,-58.000000
9683837000,88.000000,-56.000000
9684840540,86.000000,-57.000000
9685849111,94.000000,-53.000000
9686847670,80.000000,-60.000000
9687841224,92.000000,-54.000000
9688847326,96.000000,-52.000000
9689851694,100.000000,-50.000000
9690831900,96.000000,-52.000000
9691840481,94.000000,-53.000000
9692854048,100.000000,-49.000000
9693837592,100.000000,-47.000000
9694838655,92.000000,-54.000000
9695832210,86.000000,-57.000000
9696845896,86.000000,-57.000000
9697849352,96.000000,-52.000000
9698845252,92.000000,-54.000000
9699846214,100.000000,-49.000000
9700847572,92.000000,-54.000000
9701848608,80.000000,-60.000000
9702834649,88.000000,-56.000000
9703850761,82.000000,-59.000000
9704846798,100.000000,-50.000000
9705850354,100.000000,-50.000000
9706841704,100.000000,-49.000000
9707850287,90.000000,-55.000000
9708843830,98.000000,-51.000000
9709849934,88.000000,-56.000000
9710853497,100.000000,-50.000000
9711847023,94.000000,-53.000000
9712843115,80.000000,-60.000000
9713846648,100.000000,-49.000000
9714855221,100.000000,-50.000000
9715843770,100.000000,-50.000000
9716842333,92.000000,-54.000000
9717843397,88.000000,-56.000000
9718849257,88.000000,-56.000000
9719840519,96.000000,-52.000000
9720842277,96.000000,-52.000000
9721857664,92.000000,-54.000000
9722841211,100.000000,-48.000000
9723849796,98.000000,-51.000000
9724843340,94.000000,-53.000000
9725849515,90.000000,-55.000000
9726848077,96.000000,-52.000000
9727844031,90.000000,-55.000000
9728844405,80.000000,-60.000000
9729846158,88.000000,-56.000000
9730844725,94.000000,-53.000000
9731848392,98.000000,-51.000000
9732846857,100.000000,-49.000000
9733837902,94.000000,-53.000000
9734843972,100.000000,-50.000000
9735840031,94.000000,-53.000000
9736856111,90.000000,-55.000000
9737854673,98.000000,-51.000000
