Timestamp (us),Temperature (degC)
9680200517,28.625000
9681201579,28.625000
9682202641,28.625000
9683203703,28.625000
9684204764,28.625000
9685205826,28.625000
9686206889,28.625000
9687207952,28.625000
9688209014,28.625000
9689210077,28.625000
9690211140,28.674999
9691212203,28.750000
9692213265,28.625000
9693214329,28.725000
9694215392,28.674999
9695216455,28.625000
9696217518,28.625000
9697218581,28.750000
9698219644,28.750000
9699220707,28.750000
9700221771,28.750000
9701222835,28.750000
9702223899,28.750000
9703224963,28.750000
9704226026,28.750000
9705227090,28.725000
9706228154,28.625000
9707232018,28.625000
9708233082,28.700001
9709234146,28.750000
9710235210,28.750000
9711236274,28.750000
9712237339,28.750000
9713238403,28.750000
9714239467,28.750000
9715240531,28.750000
9716241595,28.750000
9717242659,28.750000
9718243723,28.750000
9719244787,28.750000
9720245851,28.750000
9721246915,28.750000
9722247979,28.750000
9723249043,28.700001
9724250108,28.650000
9725251172,28.750000
9726252237,28.750000
9727253301,28.750000
9728254366,28.750000
9729255430,28.750000
9730256495,28.625000
9731257559,28.725000
9732258624,28.750000
9733259688,28.750000
9734260752,28.750000
9735261817,28.625000
9736262881,28.700001
9737263945,28.750000
9738265011,28.750000
