Timestamp (us),Percentage (%),Voltage (V),Charging Status
9095750680,83.753067,3.837531,0.000000
9096751214,83.755753,3.837558,0.000000
9097751745,83.730240,3.837302,0.000000
9098752277,83.746353,3.837463,0.000000
9099752852,83.730240,3.837302,0.000000
9100753383,83.711433,3.837114,0.000000
9101753914,83.724869,3.837249,0.000000
9102754445,83.734268,3.837343,0.000000
9103754976,83.696663,3.836967,0.000000
9104755510,83.712784,3.837128,0.000000
9105756043,83.700699,3.837007,0.000000
9106756575,83.700699,3.837007,0.000000
9107757106,83.681900,3.836819,0.000000
9108757639,83.695328,3.836953,0.000000
9109758179,83.704720,3.837047,0.000000
9110758710,83.689957,3.836900,0.000000
9111759241,83.685928,3.836859,0.000000
9112759771,83.691292,3.836913,0.000000
9113760341,83.669815,3.836698,0.000000
9114760873,83.681892,3.836819,0.000000
9115761406,83.679214,3.836792,0.000000
9116761938,83.677872,3.836779,0.000000
