Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9094938909,-0.042634,0.870460,-0.676036
9094959513,-0.091634,0.870460,-0.627036
9094980116,-0.042634,0.821460,-0.627036
9095000718,-0.091634,0.821460,-0.627036
9095021321,-0.091634,0.919460,-0.725036
9095041925,-0.042634,0.870460,-0.529036
9095062528,-0.091634,0.870460,-0.627036
9095083131,-0.140634,0.919460,-0.627036
9095103734,-0.042634,0.821460,-0.578036
9095124336,-0.091634,0.919460,-0.627036
9095144939,-0.189634,0.870460,-0.627036
9095165544,-0.140634,0.821460,-0.627036
9095186151,-0.091634,0.870460,-0.578036
9095206757,-0.091634,0.821460,-0.578036
9095227364,-0.140634,0.821460,-0.578036
9095247971,-0.140634,0.870460,-0.578036
9095268577,-0.140634,0.919460,-0.627036
9095289183,-0.091634,0.919460,-0.578036
9095309788,-0.091634,0.919460,-0.774036
9095330393,-0.189634,0.870460,-0.480036
9095350999,-0.189634,0.870460,-0.578036
9095371605,-0.189634,0.919460,-0.676036
9095392211,-0.140634,0.870460,-0.627036
9095412830,-0.091634,0.821460,-0.676036
9095433423,-0.091634,0.870460,-0.725036
9095454027,-0.140634,0.870460,-0.627036
9095474630,-0.091634,0.821460,-0.627036
9095495234,-0.091634,0.870460,-0.578036
9095515837,-0.140634,0.919460,-0.676036
9095536441,-0.091634,0.821460,-0.578036
9095557046,-0.042634,0.821460,-0.578036
9095577650,-0.091634,0.870460,-0.676036
9095598255,-0.140634,0.870460,-0.627036
9095618862,-0.140634,0.919460,-0.529036
9095639469,-0.042634,0.870460,-0.578036
9095660076,-0.189634,0.919460,-0.529036
9095680683,-0.140634,0.919460,-0.676036
9095701290,-0.091634,0.870460,-0.627036
9095721897,-0.091634,0.919460,-0.725036
9095742504,-0.091634,0.968460,-0.627036
9095763111,-0.091634,0.821460,-0.578036
9095783718,-0.091634,0.919460,-0.627036
9095804326,-0.091634,0.870460,-0.529036
9095824933,-0.140634,0.870460,-0.725036
9095845540,-0.140634,0.821460,-0.627036
9095866145,-0.140634,0.870460,-0.725036
9095886748,-0.189634,0.870460,-0.676036
9095907352,-0.140634,0.870460,-0.725036
9095927960,-0.140634,0.870460,-0.676036
9095948567,-0.140634,0.870460,-0.627036
9095969174,-0.042634,0.821460,-0.774036
9095989781,-0.091634,0.821460,-0.578036
9096010387,-0.140634,0.968460,-0.529036
9096030996,-0.189634,0.919460,-0.578036
9096051604,-0.140634,0.723460,-0.676036
9096072212,-0.091634,0.821460,-0.578036
9096092820,-0.140634,0.919460,-0.578036
9096113427,-0.042634,0.870460,-0.627036
9096134034,-0.042634,0.821460,-0.627036
9096154641,-0.091634,0.870460,-0.627036
9096175248,-0.042634,0.919460,-0.627036
9096195855,0.006366,0.870460,-0.480036
9096216462,-0.042634,0.919460,-0.627036
9096237069,-0.189634,0.968460,-0.578036
9096257701,-0.091634,0.919460,-0.480036
9096278278,-0.042634,0.870460,-0.578036
9096298884,-0.091634,0.870460,-0.382036
9096319489,-0.042634,0.919460,-0.578036
9096340095,-0.042634,0.919460,-0.480036
9096360701,-0.042634,0.870460,-0.480036
9096381307,-0.091634,1.017460,-0.480036
9096401914,-0.042634,0.919460,-0.529036
9096422519,-0.042634,0.919460,-0.480036
9096443126,-0.042634,0.870460,-0.480036
9096463730,-0.042634,0.870460,-0.578036
9096484332,0.006366,0.821460,-0.627036
9096504933,-0.042634,0.821460,-0.627036
9096525536,-0.091634,0.919460,-0.480036
9096546139,0.006366,0.919460,-0.431036
9096566742,0.055366,0.919460,-0.431036
9096587348,-0.091634,0.968460,-0.480036
9096607955,-0.042634,0.870460,-0.431036
9096628561,-0.042634,0.919460,-0.382036
9096649168,-0.042634,0.919460,-0.382036
9096669774,-0.042634,0.919460,-0.431036
9096690380,-0.189634,0.968460,-0.382036
9096710983,-0.238634,0.919460,-0.382036
9096731586,-0.091634,1.017460,-0.480036
9096752189,-0.042634,1.017460,-0.480036
9096772792,-0.042634,1.017460,-0.480036
9096793394,-0.042634,0.870460,-0.431036
9096813998,-0.140634,0.968460,-0.627036
9096834604,0.006366,0.821460,-0.725036
9096855210,0.006366,0.821460,-0.774036
9096875816,-0.189634,0.772460,-0.725036
9096896422,-0.140634,0.772460,-0.921036
9096917028,-0.189634,0.723460,-0.921036
9096937635,-0.140634,0.772460,-0.921036
9096958242,-0.189634,0.821460,-0.970036
9096999454,-0.042634,0.772460,-0.970036
9097020088,-0.189634,0.723460,-0.921036
9097040667,-0.189634,0.772460,-0.921036
9097061271,-0.238634,0.723460,-0.872036
9097081873,-0.189634,0.821460,-0.823036
9097102476,-0.238634,0.772460,-0.774036
9097123079,-0.238634,0.772460,-0.823036
9097143682,-0.189634,0.674460,-0.774036
9097164285,-0.189634,0.674460,-0.627036
9097184891,-0.189634,0.674460,-0.725036
9097205498,-0.140634,0.625460,-0.725036
9097226106,-0.238634,0.772460,-0.725036
9097246713,-0.042634,0.723460,-0.823036
9097267319,-0.189634,0.821460,-0.921036
9097287925,-0.140634,0.772460,-0.970036
9097308532,-0.189634,0.919460,-1.117036
9097329139,-0.336634,0.772460,-1.019036
9097349746,-0.336634,0.625460,-0.970036
9097370352,-0.091634,0.674460,-1.068036
9097390957,-0.091634,0.919460,-0.921036
9097411563,-0.385634,0.674460,-0.970036
9097432169,-0.385634,0.723460,-1.166036
9097452775,-0.238634,0.870460,-0.872036
9097473381,-0.140634,0.772460,-0.970036
9097493988,-0.140634,0.919460,-0.676036
9097514594,-0.140634,0.919460,-0.774036
9097535199,-0.091634,0.821460,-0.725036
9097555804,-0.091634,0.919460,-0.676036
9097576410,-0.042634,0.968460,-0.676036
9097597017,0.006366,0.821460,-0.480036
9097617622,0.006366,0.870460,-0.529036
9097638227,0.006366,0.968460,-0.431036
9097658834,-0.091634,0.919460,-0.578036
9097679440,-0.091634,0.919460,-0.431036
9097700047,-0.042634,0.870460,-0.480036
9097720653,-0.140634,0.919460,-0.529036
9097741260,-0.091634,0.919460,-0.529036
9097761866,-0.091634,0.919460,-0.480036
9097782472,-0.091634,0.919460,-0.578036
9097803080,-0.042634,0.870460,-0.578036
9097823686,-0.140634,0.870460,-0.578036
9097844293,-0.091634,0.919460,-0.676036
9097864902,-0.042634,0.919460,-0.676036
9097885506,-0.091634,0.870460,-0.627036
9097906112,-0.189634,0.919460,-0.725036
9097926718,-0.091634,0.870460,-0.774036
9097947323,-0.091634,0.919460,-0.725036
9097967928,-0.091634,0.919460,-0.529036
9097988533,-0.091634,0.919460,-0.480036
9098009139,0.006366,0.919460,-0.529036
9098029745,0.006366,0.870460,-0.529036
9098050349,-0.042634,0.919460,-0.480036
9098070951,-0.042634,0.870460,-0.431036
9098091555,-0.042634,0.919460,-0.431036
9098112158,-0.042634,0.968460,-0.333036
9098132762,-0.042634,0.919460,-0.382036
9098153367,-0.189634,1.017460,-0.284036
9098173973,-0.091634,1.017460,-0.333036
9098194579,-0.091634,0.968460,-0.333036
9098215185,-0.189634,0.968460,-0.333036
9098235790,-0.189634,0.919460,-0.431036
9098256398,-0.091634,0.870460,-0.578036
9098277006,0.006366,0.821460,-0.578036
9098297611,-0.091634,0.723460,-0.774036
9098318218,-0.140634,0.772460,-1.019036
9098338824,-0.140634,0.821460,-0.970036
9098359431,-0.091634,0.723460,-1.166036
9098380038,-0.238634,0.821460,-1.264036
9098400644,-0.140634,0.821460,-1.068036
9098421251,-0.091634,0.870460,-1.019036
9098441858,-0.091634,0.870460,-1.019036
9098462465,-0.189634,0.870460,-0.872036
9098483072,0.006366,0.772460,-0.823036
9098503679,-0.091634,0.674460,-0.725036
9098524285,-0.189634,0.674460,-0.529036
9098544893,-0.189634,0.625460,-0.627036
9098565500,-0.238634,0.723460,-0.725036
9098586107,-0.091634,0.674460,-0.774036
9098606714,-0.091634,0.674460,-0.676036
9098627343,-0.091634,0.674460,-0.676036
9098647926,-0.238634,0.674460,-0.823036
9098668532,-0.238634,0.821460,-0.872036
9098689138,-0.189634,0.723460,-0.725036
9098709744,-0.189634,0.723460,-0.725036
9098730351,0.104366,0.625460,-0.970036
9098750959,0.104366,0.674460,-1.117036
9098771567,-0.091634,0.723460,-1.068036
9098792174,-0.140634,0.576460,-0.970036
9098812781,-0.140634,0.723460,-0.921036
9098833387,-0.189634,0.772460,-1.117036
9098853990,-0.238634,0.870460,-1.117036
9098874593,-0.287634,0.772460,-0.970036
9098895196,-0.091634,0.870460,-0.921036
9098915799,0.006366,0.919460,-1.019036
9098936402,-0.091634,0.821460,-0.823036
9098957005,-0.091634,0.772460,-0.480036
9098977608,0.006366,0.919460,-0.480036
