Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9094932821,-0.259822,1.325906,0.323640,-0.055311,0.938104,-0.325341
9094935321,-0.199131,1.387630,0.201530,-0.058990,0.943154,-0.326786
9094937821,-0.077338,1.388206,0.140485,-0.059010,0.945332,-0.327513
9094940320,0.045130,1.205151,0.140445,-0.051021,0.946132,-0.324624
9094942820,-0.015314,1.082476,0.201459,-0.048126,0.947611,-0.323177
9094945319,-0.015068,1.021524,0.140363,-0.049578,0.948329,-0.318807
9094947819,-0.015084,1.021331,0.201436,-0.047387,0.946895,-0.319541
9094950323,0.106923,0.960567,0.201441,-0.049590,0.949052,-0.322445
9094952822,0.167812,0.960759,0.201456,-0.054714,0.953364,-0.323158
9094955326,0.228701,0.960950,0.201470,-0.051801,0.952664,-0.322439
9094957829,0.289558,0.960754,0.323631,-0.049589,0.949052,-0.321717
9094960338,0.351121,0.777315,0.384650,-0.050292,0.946870,-0.318805
9094962837,0.412930,0.532925,0.384573,-0.048824,0.945431,-0.317354
9094965318,0.413621,0.349488,0.384505,-0.049558,0.946151,-0.318080
9094967817,0.353423,0.165861,0.384423,-0.050296,0.947597,-0.317350
9094970317,0.415002,-0.017385,0.384369,-0.051027,0.947588,-0.320258
9094972817,0.477041,-0.322921,0.384269,-0.052485,0.948302,-0.319527
9094975316,0.416613,-0.445403,0.384210,-0.055382,0.947552,-0.318064
9094977816,0.295296,-0.568076,0.384136,-0.056827,0.946813,-0.317333
9094980316,0.234637,-0.629413,0.384099,-0.057575,0.948984,-0.318786
9094982816,0.173780,-0.629217,0.261938,-0.056101,0.946090,-0.321700
9094985315,0.173796,-0.629024,0.200865,-0.056109,0.946815,-0.322428
9094987814,0.173796,-0.629024,0.200865,-0.056096,0.945363,-0.322428
9094990314,0.234899,-0.690172,0.261929,-0.053180,0.943934,-0.323891
9094992814,0.356414,-0.629031,0.384127,-0.055357,0.943916,-0.322430
9094995314,0.477716,-0.506551,0.445274,-0.058251,0.942438,-0.323150
9094997813,0.599279,-0.444829,0.384252,-0.059692,0.940972,-0.323874
9095000313,0.721073,-0.444254,0.323207,-0.059707,0.942423,-0.325329
9095002812,0.781763,-0.382530,0.201097,-0.058244,0.940982,-0.326788
9095005312,0.781795,-0.382144,0.078950,-0.056079,0.942453,-0.327521
9095007811,0.842700,-0.381759,0.017891,-0.057513,0.940261,-0.327517
9095010311,0.782041,-0.443096,0.017854,-0.064037,0.938752,-0.326772
9095012811,0.782041,-0.443096,0.017854,-0.061122,0.938052,-0.325325
9095015310,0.782025,-0.443289,0.078927,-0.059657,0.936613,-0.325329
9095017810,0.781335,-0.259853,0.078996,-0.064731,0.935114,-0.326771
9095020310,0.719525,-0.015462,0.079072,-0.066893,0.932915,-0.327493
9095022810,0.657518,0.290461,-0.042975,-0.063985,0.932942,-0.326045
9095025309,0.534836,0.534854,-0.103986,-0.062529,0.932957,-0.323866
9095027808,0.473503,0.657147,-0.165028,-0.064704,0.932940,-0.321678
9095030308,0.351265,0.779056,-0.165010,-0.063996,0.935855,-0.317314
9095032808,0.229257,0.839819,-0.165016,-0.061122,0.939512,-0.317322
9095035307,0.229257,0.839819,-0.165016,-0.057507,0.941724,-0.315876
9095037807,0.229503,0.778867,-0.226112,-0.052427,0.942496,-0.315162
9095040307,0.229487,0.778674,-0.165039,-0.051715,0.943224,-0.320257
9095042806,0.108646,0.533903,-0.226231,-0.051015,0.946135,-0.320986
9095045306,-0.012457,0.349891,-0.165254,-0.052444,0.943946,-0.318072
9095047805,-0.012012,0.227406,-0.104227,-0.053176,0.944667,-0.317343
9095050305,0.049321,0.105113,-0.043185,-0.050250,0.942514,-0.316623
9095052804,0.110670,-0.016987,-0.043216,-0.050260,0.943238,-0.318806
9095055304,0.172233,-0.200425,0.017804,-0.051023,0.946861,-0.321714
9095057804,0.233812,-0.383671,0.017749,-0.053921,0.946109,-0.320978
9095060304,0.295145,-0.505964,0.078792,-0.056849,0.948990,-0.319515
9095062803,0.356494,-0.628064,0.078760,-0.053989,0.954099,-0.320250
9095065303,0.356740,-0.689016,0.017664,-0.053267,0.954103,-0.323162
9095067802,0.417629,-0.688825,0.017678,-0.054691,0.951187,-0.320976
