Timestamp (us),W Element,X Element,Y Element,Z Element
9094932821,-0.207772,-0.247201,-0.774778,-0.543769
9094935321,-0.207745,-0.247181,-0.774784,-0.543780
9094937821,-0.207718,-0.247162,-0.774792,-0.543788
9094940320,-0.207692,-0.247146,-0.774798,-0.543795
9094942820,-0.207667,-0.247133,-0.774803,-0.543804
9094945319,-0.207645,-0.247120,-0.774807,-0.543813
9094947819,-0.207621,-0.247108,-0.774811,-0.543822
9094950323,-0.207598,-0.247097,-0.774816,-0.543829
9094952822,-0.207576,-0.247085,-0.774822,-0.543833
9094955326,-0.207553,-0.247074,-0.774829,-0.543837
9094957829,-0.207528,-0.247066,-0.774836,-0.543841
9094960338,-0.207505,-0.247061,-0.774842,-0.543844
9094962837,-0.207486,-0.247059,-0.774847,-0.543844
9094965318,-0.207470,-0.247060,-0.774852,-0.543843
9094967817,-0.207458,-0.247062,-0.774855,-0.543843
9094970317,-0.207450,-0.247069,-0.774857,-0.543839
9094972817,-0.207447,-0.247079,-0.774859,-0.543833
9094975316,-0.207448,-0.247090,-0.774860,-0.543826
9094977816,-0.207452,-0.247102,-0.774858,-0.543822
9094980316,-0.207457,-0.247114,-0.774856,-0.543817
9094982816,-0.207464,-0.247124,-0.774854,-0.543813
9094985315,-0.207471,-0.247133,-0.774853,-0.543808
9094987814,-0.207478,-0.247142,-0.774852,-0.543802
9094990314,-0.207484,-0.247154,-0.774851,-0.543796
9094992814,-0.207488,-0.247167,-0.774851,-0.543788
9094995314,-0.207488,-0.247180,-0.774854,-0.543779
9094997813,-0.207489,-0.247192,-0.774858,-0.543767
9095000313,-0.207489,-0.247202,-0.774865,-0.543753
9095002812,-0.207489,-0.247211,-0.774873,-0.543737
9095005312,-0.207489,-0.247219,-0.774882,-0.543720
9095007811,-0.207491,-0.247225,-0.774893,-0.543702
9095010311,-0.207495,-0.247230,-0.774902,-0.543684
9095012811,-0.207499,-0.247236,-0.774912,-0.543667
9095015310,-0.207502,-0.247243,-0.774921,-0.543650
9095017810,-0.207503,-0.247247,-0.774931,-0.543633
9095020310,-0.207501,-0.247249,-0.774942,-0.543617
9095022810,-0.207495,-0.247245,-0.774954,-0.543604
9095025309,-0.207486,-0.247236,-0.774965,-0.543595
9095027808,-0.207478,-0.247225,-0.774976,-0.543588
9095030308,-0.207468,-0.247211,-0.774985,-0.543585
9095032808,-0.207457,-0.247196,-0.774993,-0.543586
9095035307,-0.207445,-0.247182,-0.774999,-0.543587
9095037807,-0.207433,-0.247169,-0.775006,-0.543588
9095040307,-0.207420,-0.247158,-0.775013,-0.543589
9095042806,-0.207413,-0.247148,-0.775017,-0.543590
9095045306,-0.207409,-0.247140,-0.775019,-0.543592
9095047805,-0.207407,-0.247134,-0.775019,-0.543595
9095050305,-0.207404,-0.247132,-0.775020,-0.543596
9095052804,-0.207404,-0.247132,-0.775020,-0.543595
9095055304,-0.207405,-0.247135,-0.775021,-0.543593
9095057804,-0.207411,-0.247140,-0.775022,-0.543587
9095060304,-0.207418,-0.247146,-0.775022,-0.543581
9095062803,-0.207426,-0.247156,-0.775022,-0.543573
