Timestamp (us),Percentage (%),Power (dBm)
9095795308,80.000000,-60.000000
9096795187,76.000000,-62.000000
9097792520,82.000000,-59.000000
9098794072,84.000000,-58.000000
9099802235,86.000000,-57.000000
9100807069,80.000000,-60.000000
9101796920,82.000000,-59.000000
9102791785,80.000000,-60.000000
9103791604,78.000000,-61.000000
9104793464,80.000000,-60.000000
9105801304,82.000000,-59.000000
9106807681,72.000000,-64.000000
9107803521,86.000000,-57.000000
9108790853,82.000000,-59.000000
9109794841,80.000000,-60.000000
9110807279,90.000000,-55.000000
9111802902,82.000000,-59.000000
9112807754,90.000000,-55.000000
9113805103,100.000000,-50.000000
9114796643,76.000000,-62.000000
9115804805,88.000000,-56.000000
9116792174,86.000000,-57.000000
