Timestamp (us),Percentage (%),Voltage (V),Charging Status
9095738991,81.090302,3.810903,0.000000
9096739522,81.076881,3.810769,0.000000
9097740054,81.041969,3.810420,0.000000
9098740585,81.070160,3.810702,0.000000
9099741117,81.063446,3.810635,0.000000
9100741650,81.055389,3.810554,0.000000
9101742183,81.043304,3.810433,0.000000
9102742717,81.037933,3.810379,0.000000
9103743247,81.044647,3.810447,0.000000
9104743779,81.016449,3.810165,0.000000
9105744311,81.028542,3.810286,0.000000
9106744845,81.015106,3.810151,0.000000
9107745386,81.068825,3.810688,0.000000
9108745917,81.003021,3.810030,0.000000
9109746447,81.031219,3.810312,0.000000
9110746978,81.035248,3.810352,0.000000
9111747509,81.000328,3.810004,0.000000
9112748041,81.001678,3.810017,0.000000
9113748612,80.994965,3.809949,0.000000
9114749150,80.994965,3.809950,0.000000
9115749680,80.973488,3.809735,0.000000
9116750211,80.988258,3.809883,0.000000
9117750742,80.957367,3.809573,0.000000
