Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9094926931,-0.152808,0.986749,-0.345792
9094947767,-0.103808,0.986749,-0.345792
9094968602,-0.054807,0.937749,-0.247792
9094989437,-0.054807,1.035749,-0.296792
9095010271,-0.103808,0.986749,-0.394792
9095031149,-0.005808,0.937749,-0.345792
9095051944,0.043193,0.888749,-0.443792
9095072777,-0.005808,0.937749,-0.345792
9095093611,-0.103808,0.937749,-0.345792
9095114445,-0.054807,0.937749,-0.345792
9095135278,-0.005808,0.937749,-0.345792
9095156113,-0.005808,0.937749,-0.345792
9095176948,-0.201807,0.937749,-0.394792
9095197781,-0.054807,0.937749,-0.345792
9095218617,-0.054807,0.986749,-0.394792
9095239452,-0.152808,0.937749,-0.296792
9095260285,-0.103808,0.937749,-0.247792
9095281116,-0.152808,0.888749,-0.443792
9095301948,-0.005808,0.888749,-0.345792
9095322780,-0.054807,0.839749,-0.296792
9095343610,-0.054807,0.937749,-0.345792
9095364440,-0.103808,1.035749,-0.296792
9095385272,-0.103808,0.937749,-0.345792
9095406104,-0.103808,0.937749,-0.443792
9095426935,0.043193,0.937749,-0.296792
9095447768,-0.103808,0.937749,-0.345792
9095468605,-0.103808,0.937749,-0.296792
9095489438,-0.054807,0.937749,-0.345792
9095510268,-0.054807,0.937749,-0.345792
9095531102,-0.054807,0.937749,-0.394792
9095551935,-0.054807,0.888749,-0.296792
9095572771,-0.103808,0.937749,-0.394792
9095593604,-0.103808,0.986749,-0.345792
9095614435,-0.103808,0.937749,-0.296792
9095635269,0.043193,0.888749,-0.296792
9095656105,-0.005808,0.839749,-0.296792
9095676936,-0.103808,1.035749,-0.394792
9095697769,-0.103808,0.986749,-0.296792
9095718602,-0.103808,0.888749,-0.345792
9095739439,-0.103808,0.986749,-0.345792
9095760273,-0.054807,0.937749,-0.394792
9095781105,-0.054807,0.937749,-0.443792
9095801939,-0.103808,0.986749,-0.394792
9095822776,-0.054807,0.888749,-0.345792
9095843612,-0.054807,0.937749,-0.443792
9095864446,-0.054807,0.888749,-0.443792
9095885276,-0.103808,0.937749,-0.345792
9095906107,-0.103808,0.937749,-0.394792
9095926939,-0.152808,0.937749,-0.345792
9095947773,-0.054807,0.937749,-0.296792
9095968603,-0.054807,0.986749,-0.296792
9095989438,-0.103808,0.986749,-0.492792
9096010269,-0.005808,0.937749,-0.443792
9096031099,-0.005808,0.937749,-0.443792
9096051929,-0.005808,0.937749,-0.345792
9096072757,-0.103808,0.888749,-0.296792
9096093587,-0.054807,0.986749,-0.345792
9096114420,-0.103808,1.035749,-0.394792
9096135249,-0.103808,0.937749,-0.394792
9096156079,-0.054807,0.937749,-0.296792
9096176911,-0.005808,0.986749,-0.296792
9096197745,-0.103808,0.937749,-0.296792
9096218578,-0.103808,0.937749,-0.247792
9096239410,-0.103808,0.986749,-0.296792
9096260243,-0.054807,0.888749,-0.296792
9096281073,-0.054807,0.937749,-0.443792
9096301904,-0.054807,0.937749,-0.296792
9096322737,-0.054807,0.937749,-0.296792
9096343570,-0.103808,0.986749,-0.345792
9096364402,-0.005808,0.986749,-0.296792
9096385232,-0.005808,0.986749,-0.345792
9096406065,-0.054807,0.937749,-0.247792
9096426896,-0.103808,0.986749,-0.247792
9096447731,-0.152808,0.986749,-0.345792
9096468562,-0.103808,0.937749,-0.296792
9096489398,-0.054807,0.937749,-0.296792
9096510235,-0.103808,0.937749,-0.296792
9096531067,-0.054807,0.937749,-0.296792
9096551901,0.043193,0.839749,-0.345792
9096572733,-0.054807,0.888749,-0.247792
9096593564,-0.054807,0.839749,-0.247792
9096614395,-0.005808,0.888749,-0.345792
9096635225,-0.103808,0.937749,-0.296792
9096656055,-0.005808,0.888749,-0.345792
9096676886,-0.005808,0.937749,-0.296792
9096697718,-0.103808,0.888749,-0.345792
9096718551,-0.005808,0.937749,-0.345792
9096739381,-0.005808,0.888749,-0.394792
9096760210,-0.152808,1.035749,-0.345792
9096781042,-0.005808,0.986749,-0.394792
9096801873,-0.054807,0.986749,-0.394792
9096822705,-0.005808,0.937749,-0.345792
9096843537,-0.005808,0.937749,-0.394792
9096864367,-0.054807,0.937749,-0.394792
9096885197,-0.103808,0.986749,-0.345792
9096906026,-0.054807,0.937749,-0.394792
9096926857,-0.103808,1.035749,-0.345792
9096947689,-0.152808,0.937749,-0.394792
9096968520,-0.152808,0.986749,-0.443792
9096989352,-0.054807,0.986749,-0.394792
9097010183,-0.005808,0.986749,-0.443792
9097031016,-0.054807,0.937749,-0.443792
9097051848,-0.152808,0.986749,-0.443792
9097072679,-0.005808,0.937749,-0.345792
9097093509,-0.005808,0.937749,-0.345792
9097114341,-0.103808,0.937749,-0.443792
9097135172,-0.152808,0.937749,-0.394792
9097156006,-0.152808,0.888749,-0.443792
9097176840,-0.005808,0.888749,-0.443792
9097197675,-0.005808,0.888749,-0.443792
9097218508,-0.054807,0.888749,-0.443792
9097239339,-0.054807,0.937749,-0.345792
9097260172,-0.005808,0.888749,-0.394792
9097281004,-0.054807,0.986749,-0.443792
9097301837,-0.054807,0.937749,-0.394792
9097322669,-0.005808,0.888749,-0.394792
9097343501,-0.103808,0.986749,-0.345792
9097364333,-0.005808,0.937749,-0.394792
9097385164,-0.103808,0.888749,-0.443792
9097405996,0.043193,0.888749,-0.296792
9097426827,-0.103808,0.937749,-0.345792
9097447658,-0.103808,0.986749,-0.296792
9097468486,-0.103808,0.888749,-0.345792
9097489315,-0.054807,0.937749,-0.296792
9097510144,-0.005808,0.937749,-0.296792
9097530985,-0.103808,0.937749,-0.247792
9097551806,-0.054807,1.035749,-0.296792
9097572637,-0.103808,0.986749,-0.345792
9097593471,-0.103808,0.888749,-0.247792
9097614309,-0.054807,0.937749,-0.296792
9097635139,-0.054807,0.937749,-0.296792
9097655969,-0.103808,0.937749,-0.296792
9097676800,-0.103808,0.986749,-0.443792
9097697633,-0.103808,0.937749,-0.345792
9097718464,-0.103808,0.986749,-0.296792
9097739295,-0.054807,0.937749,-0.198792
9097760129,-0.103808,0.937749,-0.296792
9097780964,-0.103808,0.937749,-0.247792
9097801799,-0.005808,0.937749,-0.345792
9097822631,-0.103808,0.937749,-0.296792
9097843461,-0.054807,0.986749,-0.296792
9097864296,-0.103808,0.937749,-0.345792
9097885128,-0.054807,0.888749,-0.345792
9097905961,-0.103808,0.986749,-0.394792
9097926793,-0.103808,0.937749,-0.394792
9097947627,-0.103808,0.986749,-0.345792
9097968462,-0.054807,0.937749,-0.345792
9097989295,-0.054807,0.937749,-0.247792
9098010128,-0.152808,0.937749,-0.345792
9098030960,-0.103808,0.888749,-0.345792
9098051792,-0.054807,0.986749,-0.296792
9098072626,-0.103808,0.888749,-0.394792
9098093460,-0.152808,0.937749,-0.345792
9098114295,-0.054807,0.888749,-0.345792
9098135131,-0.054807,0.937749,-0.296792
9098155966,-0.103808,0.986749,-0.345792
9098176799,-0.103808,1.035749,-0.198792
9098197632,-0.103808,0.937749,-0.443792
9098218464,-0.103808,0.937749,-0.345792
9098239295,-0.005808,0.937749,-0.296792
9098260127,-0.005808,0.937749,-0.345792
9098280959,-0.152808,0.888749,-0.443792
9098301791,-0.054807,0.888749,-0.394792
9098322625,-0.005808,0.888749,-0.345792
9098343459,-0.054807,0.888749,-0.296792
9098364292,-0.201807,0.986749,-0.394792
9098385123,-0.103808,0.986749,-0.394792
9098405953,-0.103808,0.986749,-0.394792
9098426783,-0.054807,0.986749,-0.443792
9098447614,-0.103808,0.986749,-0.443792
9098468444,-0.103808,0.888749,-0.394792
9098489277,-0.005808,0.937749,-0.443792
9098510109,-0.005808,0.937749,-0.541792
9098530946,-0.103808,1.035749,-0.443792
9098551780,-0.054807,0.888749,-0.492792
9098572613,-0.152808,0.839749,-0.443792
9098593447,-0.005808,0.937749,-0.394792
9098614279,-0.103808,0.986749,-0.394792
9098635109,-0.054807,0.937749,-0.394792
9098655938,-0.005808,0.937749,-0.394792
9098676768,-0.054807,0.937749,-0.345792
9098697600,-0.005808,0.937749,-0.345792
9098718432,-0.054807,0.937749,-0.394792
9098739262,-0.005808,0.888749,-0.296792
9098760090,-0.054807,0.986749,-0.345792
9098780922,-0.005808,0.937749,-0.394792
9098801753,-0.103808,0.937749,-0.345792
