Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9094949987,0.263693,-1.064234,1.140991
9095000090,0.254820,-1.055322,1.151007
9095050194,0.254773,-1.073104,1.150859
9095100298,0.263705,-1.055325,1.140771
9095150405,0.254721,-1.064154,1.140627
9095200509,0.254741,-1.055257,1.140603
9095250615,0.263886,-1.064354,1.171034
9095300719,0.263813,-1.064302,1.160822
9095350822,0.254777,-1.064182,1.150442
9095400925,0.254741,-1.055257,1.140603
9095451026,0.263833,-1.055405,1.160797
9095501129,0.263733,-1.046439,1.140942
9095551239,0.263677,-1.064209,1.140601
9095601348,0.254785,-1.064194,1.150639
9095651453,0.254785,-1.064194,1.150639
9095701556,0.254793,-1.064207,1.150835
9095751657,0.254793,-1.064207,1.150835
9095801764,0.254785,-1.064194,1.150639
9095851881,0.254861,-1.055325,1.160428
9095901987,0.263729,-1.073159,1.150833
9095952092,0.254649,-1.064102,1.130422
9096002199,0.245700,-1.064059,1.130641
9096052305,0.254785,-1.064194,1.150639
9096102409,0.254744,-1.064192,1.141212
9096152513,0.254785,-1.064194,1.150639
9096202620,0.245693,-1.064046,1.130448
9096252723,0.254721,-1.064154,1.140627
9096302826,0.254701,-1.073051,1.140652
9096352929,0.254736,-1.064179,1.141017
9096403032,0.263757,-1.064274,1.151005
9096453136,0.263681,-1.055288,1.140187
9096503245,0.254800,-1.064219,1.151031
9096553360,0.272650,-1.064290,1.140965
9096603472,0.254843,-1.055359,1.151596
9096653575,0.254729,-1.064167,1.140822
9096703669,0.263781,-1.046455,1.150563
9096753783,0.254718,-1.055220,1.140018
9096803895,0.245814,-1.064114,1.150272
9096854003,0.254729,-1.064167,1.140822
9096904109,0.254913,-1.064274,1.170662
9096954220,0.245848,-1.055242,1.150640
9097004323,0.245836,-1.064151,1.150861
9097054435,0.245757,-1.064086,1.140458
9097104543,0.245859,-1.064189,1.151450
9097154641,0.263785,-1.055389,1.151177
9097204753,0.245821,-1.064126,1.150468
9097254858,0.245833,-1.055217,1.150248
9097304959,0.245729,-1.072971,1.140288
9097355063,0.254657,-1.064114,1.130615
9097405173,0.254834,-1.064209,1.160255
9097455286,0.263806,-1.064290,1.160624
9097505400,0.263734,-1.064237,1.150416
9097555509,0.254721,-1.064154,1.140627
9097605615,0.272485,-1.073082,1.120576
9097655719,0.263590,-1.064132,1.130009
9097705827,0.263701,-1.064247,1.141186
9097755931,0.263613,-1.064169,1.130589
9097806044,0.263677,-1.064209,1.140601
9097856153,0.263630,-1.081991,1.140455
9097906257,0.272622,-1.073175,1.140794
9097956391,0.263650,-1.073094,1.140430
9098006459,0.263685,-1.064222,1.140796
9098056568,0.254721,-1.064154,1.140627
9098106677,0.263677,-1.064209,1.140601
9098156783,0.254770,-1.064169,1.150246
9098206891,0.254777,-1.064182,1.150442
9098256997,0.263741,-1.064250,1.150613
9098307107,0.254716,-1.073077,1.141042
9098357209,0.254849,-1.064234,1.160650
9098407322,0.245965,-1.064231,1.170887
9098457430,0.245779,-1.064124,1.141043
9098507542,0.254842,-1.064222,1.160452
9098557650,0.245997,-1.046425,1.170639
9098607755,0.246029,-1.064271,1.180900
9098657860,0.236944,-1.064136,1.160900
9098707974,0.237001,-1.064164,1.170714
9098758080,0.254800,-1.064219,1.151031
9098808187,0.245969,-1.055310,1.170464
9098858295,0.245792,-1.055214,1.140824
9098908405,0.254906,-1.064262,1.170462
9098958512,0.245871,-1.055279,1.151229
9099008611,0.245764,-1.064099,1.140653
9099058706,0.254637,-1.073011,1.130640
9099108804,0.263757,-1.064274,1.151005
9099158903,0.254773,-1.073104,1.150859
9099208999,0.245821,-1.064126,1.150468
9099259099,0.263741,-1.064250,1.150613
9099309201,0.254785,-1.064194,1.150639
9099359300,0.254777,-1.064182,1.150442
