Timestamp (us),W Element,X Element,Y Element,Z Element
9094920962,-0.078996,-0.071777,-0.712734,-0.693441
9094923465,-0.079001,-0.071781,-0.712733,-0.693441
9094925967,-0.079005,-0.071784,-0.712732,-0.693442
9094928469,-0.079007,-0.071786,-0.712732,-0.693441
9094930972,-0.079006,-0.071785,-0.712734,-0.693440
9094933474,-0.079004,-0.071780,-0.712735,-0.693439
9094935977,-0.079002,-0.071776,-0.712735,-0.693439
9094938479,-0.079000,-0.071774,-0.712734,-0.693441
9094940981,-0.078996,-0.071772,-0.712733,-0.693443
9094943483,-0.078988,-0.071771,-0.712733,-0.693445
9094945986,-0.078980,-0.071767,-0.712732,-0.693446
9094948488,-0.078975,-0.071764,-0.712733,-0.693447
9094950991,-0.078976,-0.071766,-0.712732,-0.693447
9094953493,-0.078981,-0.071768,-0.712731,-0.693447
9094955995,-0.078987,-0.071770,-0.712729,-0.693449
9094958497,-0.078991,-0.071772,-0.712727,-0.693450
9094961000,-0.078991,-0.071777,-0.712729,-0.693447
9094963502,-0.078991,-0.071781,-0.712731,-0.693445
9094966004,-0.078994,-0.071787,-0.712730,-0.693444
9094968507,-0.078998,-0.071795,-0.712730,-0.693444
9094971009,-0.079003,-0.071804,-0.712729,-0.693443
9094973511,-0.079010,-0.071811,-0.712729,-0.693442
9094976014,-0.079016,-0.071817,-0.712730,-0.693440
9094978516,-0.079021,-0.071822,-0.712733,-0.693435
9094981018,-0.079024,-0.071828,-0.712736,-0.693431
9094983521,-0.079023,-0.071831,-0.712741,-0.693426
9094986023,-0.079024,-0.071833,-0.712744,-0.693422
9094988526,-0.079025,-0.071835,-0.712748,-0.693418
9094991028,-0.079027,-0.071841,-0.712749,-0.693416
9094993530,-0.079034,-0.071849,-0.712749,-0.693415
9094996033,-0.079042,-0.071858,-0.712745,-0.693417
9094998535,-0.079052,-0.071867,-0.712740,-0.693420
9095001037,-0.079057,-0.071873,-0.712736,-0.693422
9095003540,-0.079060,-0.071875,-0.712736,-0.693422
9095006042,-0.079062,-0.071875,-0.712737,-0.693421
9095008544,-0.079062,-0.071874,-0.712738,-0.693420
9095011047,-0.079063,-0.071872,-0.712740,-0.693418
9095013549,-0.079065,-0.071870,-0.712741,-0.693417
9095016051,-0.079069,-0.071870,-0.712740,-0.693417
9095018554,-0.079073,-0.071870,-0.712739,-0.693418
9095021056,-0.079076,-0.071873,-0.712738,-0.693418
9095023558,-0.079077,-0.071876,-0.712738,-0.693418
9095026061,-0.079076,-0.071879,-0.712738,-0.693418
9095028563,-0.079073,-0.071881,-0.712740,-0.693416
9095031065,-0.079071,-0.071881,-0.712742,-0.693414
9095033568,-0.079068,-0.071880,-0.712745,-0.693411
9095036070,-0.079065,-0.071877,-0.712748,-0.693409
9095038572,-0.079061,-0.071871,-0.712751,-0.693407
9095041074,-0.079058,-0.071864,-0.712753,-0.693406
9095043577,-0.079055,-0.071857,-0.712756,-0.693404
9095046079,-0.079054,-0.071853,-0.712757,-0.693404
9095048582,-0.079055,-0.071855,-0.712757,-0.693403
9095051084,-0.079054,-0.071858,-0.712758,-0.693402
9095053586,-0.079053,-0.071860,-0.712757,-0.693403
9095056089,-0.079051,-0.071860,-0.712756,-0.693404
9095058591,-0.079048,-0.071857,-0.712756,-0.693405
9095061093,-0.079044,-0.071855,-0.712756,-0.693405
9095063596,-0.079041,-0.071850,-0.712756,-0.693406
9095066098,-0.079036,-0.071845,-0.712754,-0.693410
9095068600,-0.079032,-0.071839,-0.712752,-0.693412
9095071103,-0.079026,-0.071837,-0.712749,-0.693416
9095073605,-0.079021,-0.071839,-0.712748,-0.693417
9095076108,-0.079019,-0.071842,-0.712751,-0.693415
9095078610,-0.079018,-0.071842,-0.712755,-0.693410
9095081112,-0.079017,-0.071840,-0.712758,-0.693407
9095083615,-0.079017,-0.071839,-0.712759,-0.693407
9095086117,-0.079015,-0.071836,-0.712757,-0.693409
9095088619,-0.079014,-0.071833,-0.712756,-0.693411
9095091121,-0.079013,-0.071827,-0.712754,-0.693414
9095093624,-0.079011,-0.071822,-0.712754,-0.693415
9095096126,-0.079009,-0.071817,-0.712752,-0.693417
9095098630,-0.079008,-0.071814,-0.712751,-0.693419
9095101132,-0.079008,-0.071818,-0.712751,-0.693419
9095103635,-0.079009,-0.071822,-0.712751,-0.693418
9095106137,-0.079010,-0.071826,-0.712750,-0.693418
9095108639,-0.079011,-0.071827,-0.712750,-0.693418
9095111142,-0.079011,-0.071826,-0.712750,-0.693418
9095113644,-0.079010,-0.071826,-0.712752,-0.693416
9095116147,-0.079009,-0.071825,-0.712754,-0.693414
9095118649,-0.079009,-0.071822,-0.712756,-0.693413
9095121151,-0.079007,-0.071820,-0.712759,-0.693411
9095123653,-0.079004,-0.071818,-0.712761,-0.693409
9095126156,-0.079001,-0.071817,-0.712762,-0.693408
9095128658,-0.079002,-0.071817,-0.712764,-0.693406
9095131160,-0.079006,-0.071820,-0.712763,-0.693406
9095133663,-0.079012,-0.071824,-0.712762,-0.693406
9095136165,-0.079017,-0.071829,-0.712762,-0.693405
9095138668,-0.079021,-0.071836,-0.712760,-0.693406
9095141170,-0.079024,-0.071841,-0.712759,-0.693406
9095143672,-0.079026,-0.071845,-0.712756,-0.693408
9095146174,-0.079030,-0.071850,-0.712752,-0.693411
9095148677,-0.079033,-0.071855,-0.712750,-0.693413
9095151179,-0.079036,-0.071860,-0.712748,-0.693414
9095153682,-0.079040,-0.071866,-0.712746,-0.693415
9095156184,-0.079047,-0.071871,-0.712743,-0.693416
9095158686,-0.079052,-0.071875,-0.712741,-0.693418
9095161189,-0.079056,-0.071880,-0.712739,-0.693419
9095163691,-0.079058,-0.071882,-0.712738,-0.693419
9095166193,-0.079059,-0.071885,-0.712739,-0.693418
9095168696,-0.079061,-0.071885,-0.712741,-0.693416
9095171198,-0.079062,-0.071889,-0.712744,-0.693412
9095173700,-0.079061,-0.071892,-0.712747,-0.693408
9095176203,-0.079058,-0.071895,-0.712750,-0.693405
9095178705,-0.079059,-0.071897,-0.712753,-0.693402
9095181207,-0.079062,-0.071900,-0.712754,-0.693400
9095183710,-0.079066,-0.071904,-0.712755,-0.693399
9095186212,-0.079068,-0.071908,-0.712755,-0.693399
9095188714,-0.079068,-0.071913,-0.712754,-0.693398
9095191217,-0.079069,-0.071916,-0.712755,-0.693397
9095193719,-0.079072,-0.071919,-0.712754,-0.693398
9095196221,-0.079075,-0.071922,-0.712753,-0.693398
9095198724,-0.079078,-0.071923,-0.712753,-0.693398
9095201226,-0.079078,-0.071923,-0.712753,-0.693397
9095203728,-0.079077,-0.071923,-0.712755,-0.693395
9095206231,-0.079077,-0.071922,-0.712756,-0.693395
9095208733,-0.079076,-0.071921,-0.712758,-0.693393
9095211236,-0.079077,-0.071919,-0.712760,-0.693391
9095213738,-0.079075,-0.071915,-0.712763,-0.693388
9095216241,-0.079073,-0.071913,-0.712765,-0.693387
9095218742,-0.079073,-0.071909,-0.712765,-0.693387
9095221245,-0.079076,-0.071909,-0.712766,-0.693386
9095223747,-0.079081,-0.071910,-0.712766,-0.693385
9095226254,-0.079088,-0.071914,-0.712764,-0.693386
9095228752,-0.079095,-0.071917,-0.712764,-0.693385
9095231254,-0.079097,-0.071921,-0.712764,-0.693384
9095233757,-0.079098,-0.071920,-0.712764,-0.693384
9095236259,-0.079100,-0.071917,-0.712764,-0.693384
9095238761,-0.079098,-0.071914,-0.712762,-0.693387
9095241264,-0.079098,-0.071910,-0.712763,-0.693387
9095243766,-0.079099,-0.071910,-0.712763,-0.693386
9095246269,-0.079101,-0.071910,-0.712763,-0.693386
9095248771,-0.079101,-0.071912,-0.712762,-0.693387
9095251273,-0.079101,-0.071914,-0.712759,-0.693390
9095253775,-0.079100,-0.071914,-0.712758,-0.693391
9095256278,-0.079101,-0.071913,-0.712757,-0.693391
9095258780,-0.079100,-0.071911,-0.712756,-0.693393
9095261282,-0.079101,-0.071908,-0.712757,-0.693392
9095263785,-0.079102,-0.071905,-0.712757,-0.693392
9095266287,-0.079102,-0.071900,-0.712758,-0.693392
9095268789,-0.079102,-0.071894,-0.712759,-0.693392
9095271292,-0.079100,-0.071889,-0.712761,-0.693390
9095273794,-0.079095,-0.071886,-0.712764,-0.693388
9095276297,-0.079091,-0.071884,-0.712768,-0.693384
9095278799,-0.079089,-0.071883,-0.712771,-0.693381
9095281301,-0.079087,-0.071883,-0.712772,-0.693381
9095283803,-0.079085,-0.071881,-0.712773,-0.693380
9095286306,-0.079082,-0.071878,-0.712773,-0.693381
9095288808,-0.079077,-0.071874,-0.712772,-0.693383
9095291310,-0.079072,-0.071867,-0.712772,-0.693384
9095293813,-0.079068,-0.071860,-0.712773,-0.693385
9095296315,-0.079064,-0.071854,-0.712774,-0.693385
9095298818,-0.079061,-0.071847,-0.712776,-0.693383
9095301320,-0.079058,-0.071843,-0.712780,-0.693380
9095303822,-0.079055,-0.071840,-0.712783,-0.693378
9095306325,-0.079053,-0.071837,-0.712782,-0.693379
9095308827,-0.079051,-0.071834,-0.712780,-0.693382
9095311347,-0.079049,-0.071831,-0.712779,-0.693384
9095313833,-0.079046,-0.071827,-0.712778,-0.693385
9095316332,-0.079043,-0.071825,-0.712778,-0.693386
9095318835,-0.079041,-0.071821,-0.712777,-0.693388
9095321337,-0.079042,-0.071816,-0.712777,-0.693388
9095323840,-0.079043,-0.071812,-0.712777,-0.693388
9095326342,-0.079042,-0.071810,-0.712777,-0.693389
9095328844,-0.079040,-0.071807,-0.712777,-0.693390
9095331346,-0.079036,-0.071802,-0.712778,-0.693389
9095333849,-0.079031,-0.071797,-0.712782,-0.693386
