Timestamp (us),Temperature (degC)
9095226254,35.250000
9096227187,35.349998
9097228123,35.375000
9098229060,35.375000
9099229998,35.375000
9100230935,35.375000
9101231874,35.375000
9102232811,35.325001
9103233748,35.275002
9104234684,35.375000
9105235621,35.250000
9106236558,35.325001
9107237496,35.325001
9108238433,35.250000
9109239371,35.250000
9110240308,35.349998
9111241246,35.375000
9112242181,35.375000
9113243118,35.375000
9114244055,35.375000
9115244993,35.375000
9116245931,35.375000
9117246869,35.349998
