Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9094949666,-0.081444,0.872085,-0.173202
9094970321,-0.081444,0.921085,-0.173202
9094990977,-0.081444,0.872085,-0.173202
9095011632,-0.032444,0.921085,-0.124202
9095032287,-0.081444,0.823085,-0.124202
9095052964,-0.081444,0.872085,-0.173202
9095073598,0.016556,0.872085,-0.173202
9095094254,-0.081444,0.921085,-0.075202
9095114909,-0.032444,0.823085,-0.075202
9095135565,-0.081444,0.921085,-0.124202
9095156220,-0.130444,0.921085,-0.124202
9095176876,0.016556,0.921085,-0.173202
9095197533,-0.081444,0.823085,-0.124202
9095218189,-0.081444,0.823085,-0.075202
9095238844,-0.081444,0.823085,-0.173202
9095259500,-0.130444,0.921085,-0.124202
9095280155,-0.032444,0.872085,-0.222202
9095300811,0.016556,0.872085,-0.173202
9095321466,-0.032444,0.921085,-0.173202
9095342121,-0.081444,0.921085,-0.075202
9095362776,-0.032444,0.872085,-0.222202
9095383431,0.016556,0.872085,-0.173202
9095404087,-0.081444,0.872085,-0.173202
9095424741,-0.081444,0.921085,-0.173202
9095445396,-0.032444,0.872085,-0.124202
9095466051,0.016556,0.921085,-0.124202
9095486705,-0.081444,0.872085,-0.173202
9095507360,-0.032444,0.921085,-0.173202
9095528015,-0.032444,0.872085,-0.271202
9095548670,-0.032444,0.970085,-0.173202
9095569327,-0.032444,0.823085,-0.173202
9095589983,-0.032444,0.921085,-0.124202
9095610638,-0.081444,0.921085,-0.173202
9095631293,-0.032444,0.921085,-0.271202
9095651949,-0.032444,0.970085,-0.124202
9095672606,-0.032444,0.872085,-0.173202
9095693262,-0.081444,0.921085,-0.124202
9095713918,-0.081444,0.872085,-0.222202
9095734573,-0.081444,0.921085,-0.222202
9095755228,0.016556,0.921085,-0.124202
9095775884,-0.081444,0.872085,-0.173202
9095796539,-0.032444,0.872085,-0.124202
9095817210,-0.032444,0.823085,-0.222202
9095837851,-0.032444,0.921085,-0.222202
9095858507,-0.032444,0.921085,-0.222202
9095879162,-0.032444,0.921085,-0.124202
9095899818,0.016556,0.872085,-0.075202
9095920475,-0.130444,0.823085,-0.173202
9095941132,0.016556,0.823085,-0.173202
9095961787,-0.081444,0.872085,-0.222202
9095982443,-0.081444,0.872085,-0.173202
9096003100,0.016556,0.823085,-0.124202
9096023755,-0.081444,0.872085,-0.173202
9096044410,-0.032444,0.921085,-0.173202
9096065065,0.016556,0.970085,-0.173202
9096085721,-0.130444,0.921085,-0.075202
9096106376,-0.130444,0.823085,-0.173202
9096127031,-0.081444,0.921085,-0.124202
9096147687,-0.081444,0.921085,-0.075202
9096168343,-0.081444,0.921085,-0.124202
9096188999,-0.081444,0.872085,-0.026202
9096209655,-0.081444,0.921085,-0.124202
9096230311,0.016556,0.970085,-0.075202
9096250966,0.065556,0.823085,-0.026202
9096271619,-0.032444,0.823085,-0.075202
9096292272,-0.032444,0.872085,-0.026202
9096312925,-0.032444,0.872085,-0.026202
9096333578,0.065556,0.823085,-0.075202
9096354232,-0.081444,0.921085,0.022798
9096374886,0.016556,0.823085,-0.124202
9096395540,-0.081444,0.774085,-0.075202
9096416195,-0.081444,0.970085,-0.075202
9096436849,-0.081444,0.921085,-0.075202
9096457503,-0.032444,0.872085,-0.124202
9096478157,0.016556,0.872085,-0.124202
9096498810,0.114556,0.970085,-0.124202
9096519464,-0.032444,0.872085,-0.124202
9096540118,-0.081444,0.823085,-0.124202
9096560770,0.065556,0.725085,-0.124202
9096581451,0.016556,0.823085,-0.075202
9096602075,-0.081444,0.823085,-0.124202
9096622726,0.065556,0.872085,-0.026202
9096643378,-0.032444,0.823085,-0.075202
9096664031,-0.130444,0.872085,0.071798
9096684684,-0.179444,0.823085,-0.124202
9096705338,-0.081444,0.774085,-0.222202
9096725993,0.016556,0.823085,-0.026202
9096746648,0.016556,0.872085,-0.026202
9096767301,-0.130444,1.019085,-0.075202
9096787955,-0.179444,0.970085,-0.124202
9096808610,-0.032444,0.921085,-0.173202
9096829265,-0.032444,0.970085,-0.222202
9096849920,-0.032444,0.921085,-0.320202
9096870575,-0.032444,0.970085,-0.320202
