Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9094935502,-4.300543,-0.418492,0.900909,0.008955,0.992378,0.127203
9094938000,-4.239500,-0.236205,0.900133,0.006741,0.988040,0.126419
9094940497,-4.239083,-0.114822,0.778094,0.005246,0.986588,0.129298
9094942995,-4.239045,0.006769,0.777431,0.008146,0.987284,0.130789
9094945492,-4.238836,0.067461,0.716411,0.008862,0.983652,0.128589
9094947990,-4.299614,0.128252,0.655173,0.008853,0.986545,0.132245
9094950488,-4.238268,0.067148,0.534347,0.005235,0.991652,0.135150
9094953003,-4.115936,0.005943,0.413739,0.003763,0.987313,0.132921
9094955484,-3.932846,-0.176849,0.354701,0.005910,0.985832,0.135114
9094957979,-3.810930,-0.359436,0.356132,0.008783,0.985793,0.138779
9094960476,-3.689015,-0.542024,0.357563,0.011643,0.984301,0.142433
9094962974,-3.505318,-0.603537,0.115797,0.013105,0.982120,0.139526
9094965471,-3.322018,-0.725637,-0.004261,0.010240,0.981438,0.134402
9094967969,-3.139098,-0.847529,-0.002943,0.005212,0.983678,0.130003
9094970466,-3.017484,-0.786725,0.118538,0.005981,0.983689,0.125651
9094972964,-2.834657,-0.604534,0.178887,0.008898,0.981495,0.122759
9094975461,-2.529630,-0.301055,0.178321,0.006081,0.982280,0.114013
9094977959,-2.041531,-0.241165,0.119049,0.003990,0.985231,0.107472
9094980457,-1.492615,-0.120474,0.120351,0.004043,0.989597,0.106052
9094982954,-1.004686,0.000317,0.121435,0.009831,0.990983,0.110486
9094985451,-0.638976,-0.060975,0.183764,0.014936,0.988773,0.106892
9094987949,-0.456245,-0.182762,0.245770,0.018689,0.993133,0.098972
9094990447,-0.334159,-0.426250,0.186845,0.020869,0.994562,0.100461
9094992944,-0.334027,-0.608741,0.127151,0.017851,0.989475,0.106930
9094995442,-0.333895,-0.791233,0.067458,0.017766,0.990889,0.117114
9094997939,-0.394920,-0.912724,0.067902,0.021929,0.992945,0.139705
9095000437,-0.577898,-0.973220,0.067579,0.022290,0.992793,0.177498
9095002934,-0.699720,-1.094715,0.007117,0.024868,0.991189,0.210219
9095005432,-0.760631,-1.459494,-0.051801,0.026936,0.991125,0.221869
9095007929,-1.065982,-2.188438,0.011773,0.022727,0.993396,0.208031
9095010427,-1.615145,-3.099473,0.014780,0.020821,0.992800,0.178936
9095012924,-2.530587,-3.948903,0.137522,0.021892,0.995827,0.146267
9095015422,-3.690106,-4.615441,0.319084,0.017864,1.003238,0.118662
9095017919,-4.910476,-4.856309,0.498107,0.015061,1.003304,0.107730
9095020417,-5.947870,-5.036682,0.677454,0.016502,1.001115,0.107003
9095022915,-6.923841,-5.034976,0.734648,0.018587,0.998161,0.114271
9095025412,-7.655867,-5.033670,0.792716,0.022014,0.992255,0.130253
9095027910,-8.021748,-4.911478,0.790743,0.018242,0.985715,0.138156
9095030407,-8.021898,-4.789783,0.850768,0.008758,0.979991,0.135828
9095032905,-7.655752,-4.668896,0.790727,0.010264,0.977103,0.127829
9095035402,-7.167653,-4.609005,0.731454,0.010265,0.974207,0.124900
9095037899,-6.496197,-4.488828,0.551129,0.004498,0.973553,0.119017
9095040397,-5.825252,-4.185950,0.551874,0.003059,0.972847,0.116816
9095042895,-5.032086,-3.700990,0.491372,0.005947,0.971366,0.117563
9095045392,-4.239432,-3.033330,0.611941,0.005941,0.969915,0.116825
9095047890,-3.263460,-2.426974,0.612120,0.005982,0.971380,0.113930
9095050387,-2.165571,-2.003205,0.613730,0.000178,0.973607,0.114609
9095052885,-1.006546,-1.701233,0.555533,0.003101,0.973588,0.113188
9095055382,0.091645,-1.520856,0.437092,0.007415,0.971359,0.116126
9095057880,1.128868,-1.279583,0.318102,0.005178,0.970631,0.121183
9095060377,1.921956,-1.037806,0.258927,0.003735,0.974993,0.124107
9095062875,2.654077,-0.735132,0.199202,0.009557,0.978565,0.127105
9095065372,3.081437,-0.492859,0.078028,0.013883,0.980685,0.132983
9095067870,3.203656,-0.310776,0.016782,0.016735,0.980638,0.138828
9095070368,3.081741,-0.128189,0.015351,0.021793,0.984926,0.146183
9095072865,2.837606,-0.127684,0.075166,0.021036,0.987817,0.152011
9095075363,2.532693,-0.066388,0.073743,0.020276,0.984190,0.151975
9095077860,2.105788,-0.065688,0.072214,0.020295,0.987817,0.153456
9095080357,1.495755,-0.003787,0.130387,0.018833,0.989275,0.155631
