Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9094936957,0.059629,-1.340516,0.336877
9094986598,0.059621,-1.331439,0.336896
9095036239,0.059621,-1.331439,0.336896
9095085878,0.059474,-1.331568,0.347360
9095135510,0.059764,-1.340329,0.326362
9095185154,0.059625,-1.340497,0.336860
9095234797,0.059621,-1.331439,0.336896
9095284445,0.059490,-1.340685,0.347379
9095334084,0.068370,-1.340690,0.347458
9095383725,0.050884,-1.340323,0.326280
9095433373,0.059617,-1.331419,0.336879
9095483012,0.059617,-1.322381,0.336932
9095532653,0.059486,-1.340665,0.347361
9095582294,0.059478,-1.340627,0.347323
9095631932,0.050459,-1.340789,0.357748
9095681572,0.050591,-1.331544,0.347263
9095731209,0.059474,-1.331568,0.347360
9095780848,0.041850,-1.322331,0.336738
9095830489,0.059331,-1.331717,0.357841
9095880126,0.059467,-1.313452,0.347432
9095929765,0.059196,-1.331905,0.368365
9095979405,0.050448,-1.340731,0.357687
9096029038,0.050448,-1.331692,0.357744
9096078680,0.041568,-1.340726,0.357610
9096128310,0.041707,-1.331519,0.347165
9096177948,0.050594,-1.340602,0.347226
9096227591,0.033398,-1.339956,0.305108
9096277225,0.042150,-1.349227,0.315678
9096326858,0.041996,-1.340279,0.326167
9096376490,0.042139,-1.349169,0.315636
9096426117,0.033556,-1.348924,0.294623
9096475755,0.024514,-1.330892,0.305060
9096525399,0.033116,-1.349312,0.326034
9096575050,0.042289,-1.340020,0.305230
9096624696,0.051170,-1.349064,0.305266
9096674333,0.042143,-1.349188,0.315650
9096723966,0.041857,-1.331408,0.336719
9096773602,0.059192,-1.340925,0.368285
9096823239,0.067640,-1.314241,0.399961
9096872876,0.058185,-1.314812,0.441794
9096922515,0.067200,-1.296553,0.431450
9096972143,0.057763,-1.315297,0.473316
9097021776,0.057888,-1.287935,0.462868
9097071410,0.066629,-1.288109,0.473448
9097121041,0.066339,-1.279349,0.494449
9097170676,0.074930,-1.261555,0.515584
9097220310,0.057169,-1.270582,0.515397
9097269946,0.066046,-1.261530,0.515487
9097319576,0.083817,-1.270638,0.515645
9097369207,0.075076,-1.270464,0.505065
9097418844,0.075362,-1.270166,0.484100
9097468481,0.093567,-1.278846,0.452845
9097518129,0.075807,-1.278833,0.452719
9097567772,0.058181,-1.305754,0.441830
9097617417,0.040846,-1.314315,0.410152
9097667061,0.049872,-1.314191,0.399767
9097716707,0.032251,-1.314011,0.389115
9097766348,0.041139,-1.323095,0.389175
9097815989,0.032398,-1.331960,0.378535
9097865632,0.023513,-1.322896,0.378497
9097915269,0.032547,-1.331850,0.368096
9097964914,0.032401,-1.341018,0.378498
9098014552,0.014629,-1.322871,0.378400
9098064199,0.032684,-1.331662,0.357569
9098113847,0.050451,-1.340751,0.357707
9098163493,0.041428,-1.340894,0.368113
9098213139,0.050019,-1.323100,0.389248
9098262788,0.040563,-1.314632,0.431148
9098312435,0.049301,-1.296708,0.441835
9098362089,0.030808,-1.297347,0.493947
9098411737,0.013472,-1.296869,0.462346
9098461384,0.022353,-1.296875,0.462407
9098511022,0.013180,-1.288090,0.483308
9098560667,0.022070,-1.297192,0.483408
9098610312,0.021923,-1.279243,0.494004
9098659949,0.039398,-1.270514,0.515159
9098709594,0.039544,-1.261343,0.504797
9098759231,0.021630,-1.270464,0.514965
9098808869,0.030800,-1.279231,0.494020
9098858516,0.031100,-1.297086,0.473060
9098908147,0.022365,-1.305990,0.462478
9098957791,0.031533,-1.314737,0.441502
9099007438,0.013618,-1.305778,0.451827
9099057087,0.023081,-1.323324,0.409921
9099106732,0.023078,-1.323305,0.409893
9099156402,0.023221,-1.323156,0.399412
9099206020,0.014340,-1.323150,0.399342
9099255664,0.023367,-1.323026,0.388956
9099305322,-0.003284,-1.322951,0.388665
9099354976,0.005883,-1.322659,0.367775
9099404620,0.023793,-1.322560,0.357488
9099454277,0.014777,-1.340820,0.367821
9099503932,0.050594,-1.340602,0.347226
9099553585,0.050888,-1.340343,0.326295
9099603229,0.042011,-1.331317,0.326281
9099652877,0.032680,-1.331643,0.357549
9099702533,0.041425,-1.331836,0.368149
9099752183,0.040706,-1.323522,0.420598
9099801830,0.040413,-1.296664,0.441705
9099851483,0.022356,-1.296894,0.462443
9099901132,0.022213,-1.297043,0.472926
9099950772,0.013615,-1.296720,0.451863
9100000419,0.021923,-1.288283,0.493927
9100050071,0.039973,-1.278976,0.473193
9100099718,0.030514,-1.270489,0.515062
9100149363,0.021777,-1.279373,0.504446
9100199009,0.030810,-1.279286,0.494141
9100248652,0.039827,-1.270067,0.483711
9100298292,0.039541,-1.279405,0.504598
9100347938,0.022066,-1.288134,0.483444
9100397574,0.031379,-1.287712,0.452094
