Timestamp (us),W Element,X Element,Y Element,Z Element
9094935502,-0.046743,-0.048800,-0.658875,-0.749373
9094938000,-0.046741,-0.048814,-0.658805,-0.749434
9094940497,-0.046739,-0.048824,-0.658734,-0.749496
9094942995,-0.046735,-0.048832,-0.658663,-0.749558
9094945492,-0.046731,-0.048839,-0.658592,-0.749620
9094947990,-0.046727,-0.048844,-0.658520,-0.749684
9094950488,-0.046727,-0.048847,-0.658448,-0.749747
9094953003,-0.046730,-0.048849,-0.658378,-0.749807
9094955484,-0.046735,-0.048854,-0.658312,-0.749865
9094957979,-0.046743,-0.048863,-0.658246,-0.749922
9094960476,-0.046752,-0.048876,-0.658180,-0.749978
9094962974,-0.046766,-0.048887,-0.658119,-0.750030
9094965471,-0.046783,-0.048898,-0.658062,-0.750079
9094967969,-0.046804,-0.048909,-0.658009,-0.750123
9094970466,-0.046821,-0.048922,-0.657960,-0.750164
9094972964,-0.046833,-0.048933,-0.657914,-0.750203
9094975461,-0.046842,-0.048940,-0.657876,-0.750235
9094977959,-0.046850,-0.048944,-0.657849,-0.750259
9094980457,-0.046856,-0.048947,-0.657831,-0.750274
9094982954,-0.046858,-0.048951,-0.657819,-0.750283
9094985451,-0.046859,-0.048958,-0.657815,-0.750287
9094987949,-0.046859,-0.048969,-0.657815,-0.750286
9094990447,-0.046863,-0.048984,-0.657817,-0.750283
9094992944,-0.046871,-0.049001,-0.657817,-0.750281
9094995442,-0.046883,-0.049019,-0.657814,-0.750282
9094997939,-0.046896,-0.049040,-0.657804,-0.750289
9095000437,-0.046911,-0.049061,-0.657780,-0.750308
9095002934,-0.046928,-0.049083,-0.657745,-0.750336
9095005432,-0.046952,-0.049110,-0.657705,-0.750367
9095007929,-0.046986,-0.049149,-0.657664,-0.750399
9095010427,-0.047033,-0.049202,-0.657621,-0.750430
9095012924,-0.047091,-0.049271,-0.657571,-0.750466
9095015422,-0.047157,-0.049352,-0.657509,-0.750511
9095017919,-0.047226,-0.049437,-0.657429,-0.750570
9095020417,-0.047295,-0.049527,-0.657333,-0.750644
9095022915,-0.047364,-0.049618,-0.657218,-0.750734
9095025412,-0.047431,-0.049709,-0.657087,-0.750839
9095027910,-0.047499,-0.049796,-0.656947,-0.750951
9095030407,-0.047566,-0.049880,-0.656809,-0.751063
9095032905,-0.047631,-0.049961,-0.656678,-0.751167
9095035402,-0.047696,-0.050042,-0.656557,-0.751264
9095037899,-0.047762,-0.050116,-0.656449,-0.751349
9095040397,-0.047824,-0.050187,-0.656353,-0.751424
9095042895,-0.047879,-0.050250,-0.656270,-0.751489
9095045392,-0.047920,-0.050304,-0.656200,-0.751543
9095047890,-0.047952,-0.050350,-0.656149,-0.751583
9095050387,-0.047978,-0.050388,-0.656116,-0.751608
9095052885,-0.047999,-0.050422,-0.656102,-0.751616
9095055382,-0.048017,-0.050455,-0.656106,-0.751610
9095057880,-0.048033,-0.050481,-0.656126,-0.751589
9095060377,-0.048046,-0.050504,-0.656158,-0.751559
9095062875,-0.048053,-0.050523,-0.656202,-0.751519
9095065372,-0.048058,-0.050537,-0.656252,-0.751474
9095067870,-0.048060,-0.050549,-0.656302,-0.751429
9095070368,-0.048058,-0.050559,-0.656348,-0.751388
9095072865,-0.048056,-0.050569,-0.656389,-0.751352
9095075363,-0.048054,-0.050578,-0.656424,-0.751321
9095077860,-0.048053,-0.050586,-0.656453,-0.751296
9095080357,-0.048050,-0.050592,-0.656471,-0.751280
9095082855,-0.048046,-0.050595,-0.656476,-0.751275
9095085352,-0.048041,-0.050593,-0.656470,-0.751281
9095087850,-0.048035,-0.050587,-0.656450,-0.751299
9095090348,-0.048028,-0.050578,-0.656415,-0.751331
9095092845,-0.048018,-0.050571,-0.656361,-0.751379
9095095343,-0.048009,-0.050563,-0.656292,-0.751440
9095097840,-0.048000,-0.050556,-0.656209,-0.751514
9095100338,-0.047989,-0.050547,-0.656111,-0.751601
9095102835,-0.047975,-0.050538,-0.656000,-0.751699
9095105333,-0.047959,-0.050529,-0.655878,-0.751808
9095107831,-0.047944,-0.050519,-0.655745,-0.751925
9095110328,-0.047931,-0.050509,-0.655607,-0.752047
9095112826,-0.047919,-0.050498,-0.655466,-0.752171
9095115323,-0.047906,-0.050486,-0.655324,-0.752296
9095117821,-0.047895,-0.050472,-0.655184,-0.752420
9095120318,-0.047889,-0.050456,-0.655042,-0.752545
9095122816,-0.047884,-0.050439,-0.654900,-0.752670
9095125313,-0.047879,-0.050424,-0.654763,-0.752791
9095127811,-0.047872,-0.050411,-0.654634,-0.752904
9095130308,-0.047865,-0.050399,-0.654511,-0.753012
9095132806,-0.047860,-0.050388,-0.654393,-0.753115
9095135303,-0.047853,-0.050380,-0.654281,-0.753214
9095137801,-0.047849,-0.050371,-0.654177,-0.753305
9095140298,-0.047845,-0.050359,-0.654083,-0.753388
9095142796,-0.047839,-0.050347,-0.654001,-0.753461
9095145294,-0.047831,-0.050334,-0.653928,-0.753525
9095147791,-0.047822,-0.050323,-0.653864,-0.753582
9095150289,-0.047810,-0.050312,-0.653807,-0.753633
9095152786,-0.047799,-0.050301,-0.653760,-0.753675
9095155284,-0.047785,-0.050289,-0.653722,-0.753710
9095157781,-0.047769,-0.050280,-0.653694,-0.753735
9095160279,-0.047752,-0.050270,-0.653674,-0.753755
9095162776,-0.047733,-0.050263,-0.653662,-0.753767
9095165274,-0.047713,-0.050259,-0.653657,-0.753773
9095167771,-0.047695,-0.050251,-0.653658,-0.753774
9095170269,-0.047679,-0.050245,-0.653664,-0.753770
9095172766,-0.047663,-0.050241,-0.653676,-0.753761
9095175263,-0.047651,-0.050236,-0.653691,-0.753749
9095177761,-0.047641,-0.050232,-0.653708,-0.753735
9095180260,-0.047634,-0.050230,-0.653726,-0.753720
9095182758,-0.047623,-0.050233,-0.653745,-0.753704
9095185255,-0.047611,-0.050236,-0.653764,-0.753688
9095187753,-0.047601,-0.050239,-0.653784,-0.753671
9095190250,-0.047591,-0.050241,-0.653803,-0.753655
9095192748,-0.047580,-0.050244,-0.653822,-0.753639
9095195245,-0.047571,-0.050247,-0.653841,-0.753623
9095197743,-0.047563,-0.050251,-0.653858,-0.753609
9095200240,-0.047560,-0.050254,-0.653872,-0.753596
9095202738,-0.047559,-0.050256,-0.653883,-0.753586
9095205235,-0.047559,-0.050258,-0.653893,-0.753578
9095207733,-0.047560,-0.050259,-0.653897,-0.753575
9095210230,-0.047561,-0.050262,-0.653898,-0.753573
9095212728,-0.047563,-0.050264,-0.653899,-0.753572
9095215225,-0.047566,-0.050265,-0.653895,-0.753575
