Timestamp (us),Percentage (%),Power (dBm)
9095167903,94.000000,-53.000000
9096164418,88.000000,-56.000000
9097155921,96.000000,-52.000000
9098157039,96.000000,-52.000000
9099163962,100.000000,-49.000000
9100165444,98.000000,-51.000000
9101154465,84.000000,-58.000000
9102165965,96.000000,-52.000000
9103164979,84.000000,-58.000000
9104166487,94.000000,-53.000000
9105163004,96.000000,-52.000000
9106154522,96.000000,-52.000000
9107156033,92.000000,-54.000000
9108165037,98.000000,-51.000000
9109166545,84.000000,-58.000000
9110165559,82.000000,-59.000000
9111162076,90.000000,-55.000000
9112163607,100.000000,-50.000000
9113162599,100.000000,-47.000000
9114151621,84.000000,-58.000000
9115160625,100.000000,-50.000000
9116167149,98.000000,-51.000000
9117161148,100.000000,-48.000000
