Timestamp (us),Percentage (%),Voltage (V),Charging Status
9095262378,88.283653,3.882836,0.000000
9096262909,88.266197,3.882662,0.000000
9097263443,88.283646,3.882837,0.000000
9098263975,88.254105,3.882541,0.000000
9099264505,88.264854,3.882648,0.000000
9100265037,88.248741,3.882488,0.000000
9101265569,88.250084,3.882501,0.000000
9102266102,88.254112,3.882541,0.000000
9103266633,88.229942,3.882299,0.000000
9104267164,88.219193,3.882192,0.000000
9105267695,88.248741,3.882488,0.000000
9106268226,88.225906,3.882259,0.000000
9107268757,88.213821,3.882138,0.000000
9108269289,88.192337,3.881924,0.000000
9109269820,88.199059,3.881991,0.000000
9110270351,88.225914,3.882259,0.000000
9111270883,88.185631,3.881856,0.000000
9112271419,88.184280,3.881843,0.000000
9113271950,88.173546,3.881736,0.000000
9114272483,88.203087,3.882031,0.000000
9115273014,88.180260,3.881802,0.000000
9116273547,88.180252,3.881802,0.000000
9117274081,88.185631,3.881856,0.000000
