Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9094939885,0.176069,1.038445,-0.635987
9094959766,0.274069,1.038445,-0.586987
9094979648,0.225069,0.989445,-0.537987
9094999528,0.176069,0.940445,-0.586987
9095019410,0.127069,0.989445,-0.635987
9095039292,0.225069,1.038445,-0.537987
9095059175,0.176069,0.940445,-0.635987
9095079057,0.176069,0.940445,-0.733987
9095098940,0.225069,0.940445,-0.635987
9095118822,0.127069,1.038445,-0.586987
9095138703,0.176069,0.989445,-0.684987
9095158585,0.176069,0.940445,-0.684987
9095178468,0.176069,1.038445,-0.586987
9095198350,0.274069,0.989445,-0.586987
9095218233,0.127069,0.989445,-0.537987
9095238116,0.225069,0.989445,-0.684987
9095258001,0.176069,0.940445,-0.586987
9095277883,0.127069,0.989445,-0.635987
9095297766,0.127069,1.038445,-0.586987
9095317649,0.176069,0.989445,-0.586987
9095337532,0.176069,0.940445,-0.635987
9095357415,0.225069,1.038445,-0.586987
9095377296,0.127069,0.940445,-0.635987
9095397178,0.078069,0.989445,-0.586987
9095417061,0.225069,0.940445,-0.684987
9095436943,0.176069,0.989445,-0.635987
9095456825,0.176069,0.989445,-0.537987
9095476707,0.176069,0.940445,-0.635987
9095496589,0.225069,0.989445,-0.684987
9095516471,0.225069,0.940445,-0.586987
9095536354,0.176069,0.989445,-0.635987
9095556236,0.176069,0.940445,-0.635987
9095576119,0.176069,0.989445,-0.586987
9095596003,0.274069,0.989445,-0.684987
9095615887,0.127069,0.940445,-0.733987
9095635770,0.176069,0.940445,-0.586987
9095655653,0.323069,1.038445,-0.684987
9095675536,0.176069,0.989445,-0.635987
9095695418,0.176069,0.989445,-0.586987
9095715301,0.176069,1.038445,-0.586987
9095735183,0.176069,1.038445,-0.635987
9095755066,0.127069,0.989445,-0.635987
9095774948,0.225069,0.940445,-0.635987
9095794830,0.274069,0.989445,-0.586987
9095814713,0.176069,1.087445,-0.684987
9095834605,0.127069,1.038445,-0.929987
9095854478,0.078069,0.940445,-0.684987
9095874360,0.225069,0.940445,-0.586987
9095894243,0.372069,1.038445,-0.488987
9095914125,0.176069,0.842445,-0.488987
9095934008,-0.117931,0.989445,-0.635987
9095953891,-0.019931,0.940445,-0.782987
9095973775,0.078069,1.038445,-0.635987
9095993656,0.176069,1.038445,-0.635987
9096013539,0.421069,1.038445,-0.782987
9096033421,0.470069,0.989445,-0.880987
9096053304,0.470069,1.185445,-0.733987
9096073186,0.568069,1.038445,-0.782987
9096093068,0.519069,0.989445,-0.782987
9096112950,0.470069,1.136445,-0.831987
9096132833,0.470069,0.940445,-0.782987
9096152717,0.568069,1.038445,-0.782987
9096172601,0.764069,0.940445,-0.733987
9096192486,0.666069,0.891445,-0.831987
9096212370,0.617069,0.989445,-0.831987
9096232253,0.666069,0.940445,-0.635987
9096252137,0.715069,0.891445,-0.782987
9096272020,0.666069,0.891445,-0.831987
9096291905,0.666069,0.695445,-0.733987
9096311789,0.617069,0.597445,-0.684987
9096331672,0.519069,0.646445,-0.684987
9096351554,0.568069,0.548445,-0.782987
9096371438,0.519069,0.597445,-0.782987
9096391322,0.568069,0.450445,-0.831987
9096411206,0.568069,0.401445,-0.831987
9096431089,0.470069,0.352445,-0.782987
9096450988,0.372069,0.352445,-0.831987
9096470857,0.421069,0.499445,-0.929987
9096490741,0.421069,0.352445,-0.978987
9096510625,0.029069,0.205445,-1.125987
9096530509,0.127069,0.401445,-1.076987
9096550392,0.323069,0.548445,-0.978987
9096570274,0.323069,0.695445,-0.929987
9096590157,0.372069,0.646445,-0.733987
9096610041,0.323069,0.646445,-0.880987
9096629924,0.274069,0.646445,-0.782987
9096649807,0.323069,0.842445,-0.880987
9096669693,0.274069,1.038445,-1.076987
9096689577,0.323069,1.038445,-1.076987
9096709461,0.568069,1.038445,-0.929987
9096729344,0.617069,1.479445,-0.782987
9096749227,0.568069,1.332445,-0.733987
9096769110,0.127069,1.038445,-0.831987
9096788994,-0.264931,1.234445,-0.684987
9096808877,-0.313931,1.479445,-0.684987
9096828760,-0.166931,1.577445,-1.076987
9096848644,-0.215931,1.528445,-1.125987
9096868527,-0.215931,1.528445,-1.174987
9096888411,-0.117931,1.479445,-1.027987
9096908294,0.029069,1.381445,-1.076987
9096928177,0.421069,1.234445,-1.272987
9096948060,0.176069,0.744445,-0.929987
9096967943,-0.803931,0.842445,-0.831987
9096987826,-0.950931,0.450445,-1.125987
9097007709,-0.607931,0.499445,-0.831987
9097027592,-0.313931,0.548445,-0.929987
9097047476,-0.264931,0.401445,-1.125987
9097067370,-0.362931,0.303445,-0.978987
9097087245,-0.215931,0.303445,-0.831987
9097107130,-0.411931,0.352445,-1.027987
9097127014,-0.362931,0.303445,-0.880987
9097146898,-0.313931,0.254445,-1.027987
9097166782,-0.264931,0.254445,-0.978987
9097186665,-0.264931,0.303445,-0.880987
9097206550,-0.313931,0.254445,-1.027987
9097226433,-0.313931,0.401445,-1.125987
9097246315,-0.264931,0.450445,-0.929987
9097266197,-0.215931,0.352445,-1.027987
9097286081,-0.313931,0.499445,-0.733987
9097305963,-0.460931,0.597445,-0.929987
9097325845,-0.558931,0.646445,-0.831987
9097345727,-0.558931,0.646445,-1.027987
9097365610,-0.607931,0.695445,-1.076987
9097385493,-0.558931,1.087445,-0.880987
9097405375,-0.607931,1.332445,-0.929987
9097425258,-0.509931,1.234445,-1.125987
9097445140,-0.362931,1.185445,-0.929987
9097465023,-0.313931,1.430445,-1.076987
9097484905,0.029069,1.577445,-1.076987
9097504787,0.127069,1.724445,-1.027987
9097524669,0.078069,1.577445,-1.076987
9097544551,0.078069,1.528445,-0.929987
9097564436,0.225069,1.479445,-0.782987
9097584320,0.323069,1.381445,-0.733987
9097604203,0.323069,1.332445,-0.831987
9097624088,0.519069,1.087445,-0.880987
9097643972,0.421069,1.087445,-0.831987
9097663855,0.519069,0.842445,-0.782987
9097683741,0.421069,0.744445,-0.929987
9097703621,0.421069,0.744445,-0.880987
9097723505,0.519069,0.646445,-0.929987
9097743388,0.568069,0.499445,-0.782987
9097763270,0.764069,0.401445,-0.880987
9097783151,0.764069,0.401445,-0.929987
9097803033,0.519069,0.499445,-0.782987
9097822916,0.519069,0.352445,-0.978987
9097842799,0.372069,0.156445,-0.978987
9097862682,0.421069,0.156445,-0.978987
9097882566,0.372069,0.156445,-0.929987
9097902450,0.470069,0.205445,-0.880987
9097922332,0.519069,0.156445,-0.782987
9097942216,0.666069,0.205445,-0.880987
9097962100,0.666069,0.107445,-0.782987
9097981983,0.127069,0.156445,-0.929987
9098001866,0.078069,0.156445,-1.027987
9098021749,0.078069,0.303445,-0.929987
9098041634,0.176069,0.499445,-0.782987
9098061518,0.470069,0.744445,-0.929987
9098081404,0.519069,0.793445,-0.684987
9098101289,0.323069,0.842445,-0.880987
9098121174,0.470069,1.038445,-1.076987
9098141060,0.519069,1.283445,-0.978987
9098160944,0.617069,1.185445,-1.027987
9098180828,0.617069,1.185445,-0.929987
9098200712,0.470069,1.430445,-0.831987
9098220596,0.274069,1.479445,-0.782987
9098240479,0.176069,1.528445,-1.027987
9098260364,0.078069,1.724445,-0.831987
9098280248,0.127069,1.675445,-0.880987
9098300138,-0.215931,1.577445,-0.880987
9098320018,-0.411931,1.577445,-1.125987
9098339901,-0.460931,1.626445,-1.174987
9098359785,-0.460931,1.626445,-0.880987
9098379668,-0.166931,1.332445,-1.125987
9098399552,-0.068931,1.234445,-1.174987
9098419436,0.029069,1.038445,-1.174987
9098439322,0.176069,0.891445,-1.223987
9098459206,0.078069,0.401445,-1.174987
9098479090,-0.166931,0.352445,-0.978987
9098498975,-0.362931,0.352445,-0.880987
9098518861,-0.166931,0.303445,-0.978987
9098538746,-0.215931,0.156445,-0.978987
9098558631,-0.068931,0.107445,-1.076987
9098578515,0.029069,0.156445,-0.978987
9098598400,-0.117931,0.254445,-1.125987
9098618285,-0.117931,0.156445,-1.027987
9098638169,-0.264931,0.156445,-1.027987
9098658054,-0.215931,0.107445,-1.125987
9098677937,-0.215931,0.107445,-1.125987
9098697821,-0.215931,0.254445,-0.978987
9098717706,-0.215931,0.450445,-0.831987
9098737592,-0.460931,0.401445,-0.978987
9098757477,-0.607931,0.548445,-1.076987
9098777362,-0.607931,0.646445,-0.978987
9098797247,-0.313931,0.744445,-0.880987
9098817131,0.029069,0.744445,-0.978987
9098837016,-0.117931,1.136445,-0.880987
9098856900,-0.166931,1.381445,-1.076987
9098876785,-0.068931,1.528445,-1.272987
