Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9094933661,0.186010,3.418281,0.190551,0.186640,0.968673,-0.115278
9094936156,0.308463,3.661268,0.191537,0.189627,0.970174,-0.119572
9094938652,0.308851,3.783009,0.191940,0.185215,0.969439,-0.116744
9094941147,0.308657,3.722139,0.191739,0.187392,0.970134,-0.115967
9094943643,0.308657,3.722139,0.191739,0.185917,0.972285,-0.113038
9094946138,0.247748,3.661792,0.130733,0.188084,0.972968,-0.111533
9094948634,0.247871,3.662068,0.070019,0.191739,0.968636,-0.115923
9094951129,0.308639,3.601226,0.009193,0.190336,0.971587,-0.117349
9094953624,0.369531,3.540659,-0.112346,0.190304,0.971551,-0.115165
9094956120,0.369125,3.298005,-0.295295,0.191035,0.975149,-0.112901
9094958615,0.308076,3.116468,-0.478132,0.193249,0.977325,-0.113554
9094961111,0.307741,2.934409,-0.600164,0.194633,0.971473,-0.112910
9094963606,0.429153,2.812448,-0.661101,0.193838,0.969963,-0.109308
9094966102,0.733133,2.629425,-0.843398,0.197581,0.974370,-0.113537
9094968597,1.036673,2.384979,-0.904467,0.198331,0.980869,-0.110491
9094971093,1.340018,2.079663,-0.965738,0.195405,0.977996,-0.111321
9094973590,1.460531,1.713943,-0.966767,0.201147,0.968497,-0.112858
9094976084,1.520258,1.288152,-1.089515,0.196814,0.969292,-0.114371
9094978579,1.579862,0.862086,-1.151549,0.195346,0.972170,-0.111428
9094981075,1.639783,0.497166,-1.274096,0.195332,0.975035,-0.108462
9094983570,1.760419,0.131722,-1.335839,0.195316,0.967097,-0.112979
9094986066,1.637702,-0.232730,-1.397942,0.191740,0.970797,-0.114427
9094988561,1.698011,-0.475909,-1.520086,0.193212,0.971523,-0.115118
9094991056,1.697429,-0.658521,-1.520690,0.191761,0.968660,-0.117379
9094993552,1.697606,-0.718563,-1.703034,0.193952,0.968651,-0.118072
