Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9094931731,0.205981,-1.251593,-0.042225
9094982201,0.224362,-1.251588,-0.042019
9095032669,0.242654,-1.260984,-0.031460
9095083137,0.205697,-1.251816,-0.021485
9095133603,0.233276,-1.251834,-0.021191
9095184073,0.233286,-1.251868,-0.021205
9095234547,0.233418,-1.251723,-0.031561
9095285007,0.242758,-1.251635,-0.041843
9095335466,0.233276,-1.251834,-0.021191
9095385925,0.233413,-1.251706,-0.031552
9095436386,0.224362,-1.251588,-0.042019
9095486840,0.214830,-1.270424,-0.011005
9095537297,0.233423,-1.251740,-0.031570
9095587756,0.224239,-1.251768,-0.031685
9095638218,0.224225,-1.251717,-0.031659
9095688683,0.224235,-1.251751,-0.031676
9095739149,0.223889,-1.242651,-0.010910
9095789615,0.223937,-1.251922,-0.010913
9095840084,0.214928,-1.261059,-0.021376
9095890554,0.223800,-1.252051,-0.000548
9095941015,0.223601,-1.242857,0.009828
9095991476,0.214225,-1.261633,0.030468
9096041943,0.176985,-1.252687,0.061183
9096092404,0.130599,-1.253008,0.091812
9096142866,0.038284,-1.262499,0.121924
9096193327,-0.072925,-1.253873,0.183000
9096243789,-0.211181,-1.235459,0.202217
9096294240,-0.349576,-1.189334,0.221496
9096344686,-0.478873,-1.152564,0.251221
9096395141,-0.543566,-1.078485,0.250510
9096445603,-0.589856,-1.069422,0.270757
9096496058,-0.580990,-1.060396,0.291592
9096546516,-0.543959,-1.088087,0.281660
9096596978,-0.460715,-1.134178,0.261781
9096647445,-0.313477,-1.199186,0.273777
9096697914,-0.119780,-1.245238,0.244706
9096748383,0.081711,-1.236659,0.298674
9096798858,0.338545,-1.172322,0.322259
9096849333,0.539423,-1.062054,0.386569
9096899800,0.674524,-0.887867,0.533185
9096950281,0.839066,-0.665738,0.524298
9097000762,0.967812,-0.461456,0.453031
9097051236,0.956797,-0.305018,0.535959
9097101705,0.946463,-0.185153,0.577226
9097152173,0.918518,-0.101841,0.576980
9097202642,0.918513,-0.073972,0.566526
9097253112,0.946423,-0.110891,0.556537
9097303575,0.984515,-0.212047,0.494742
9097354037,0.977261,-0.359111,0.401310
9097404511,0.932816,-0.599353,0.369747
9097454977,0.787272,-0.839526,0.337156
9097505448,0.549771,-1.070397,0.303620
9097555918,0.266108,-1.199225,0.248810
9097606396,-0.008615,-1.244610,0.183618
9097656857,-0.238755,-1.235424,0.201898
9097707323,-0.432583,-1.161626,0.230974
9097757783,-0.589204,-1.087486,0.229282
9097808252,-0.673162,-1.004795,0.290555
9097858715,-0.720163,-0.940563,0.341977
9097909180,-0.766636,-0.885207,0.362116
9097959651,-0.785222,-0.876061,0.372335
9098010112,-0.711110,-0.931393,0.352304
9098060579,-0.635821,-1.041530,0.259920
9098111039,-0.496712,-1.114962,0.199136
9098161506,-0.302670,-1.207190,0.159752
9098211981,-0.054960,-1.254167,0.214233
9098262458,0.228903,-1.227426,0.289944
9098312933,0.493250,-1.080741,0.406775
9098363409,0.701336,-0.842067,0.575026
9098413881,0.762110,-0.566238,0.741392
9098464357,0.807090,-0.288412,0.721145
9098514830,0.852893,-0.102799,0.669626
9098565299,0.842978,-0.001202,0.690418
9098615768,0.815194,0.063686,0.679458
9098666243,0.842989,0.054541,0.669564
9098716717,0.880807,-0.056106,0.628340
9098767185,0.937670,-0.194164,0.556686
9098817653,0.892397,-0.444349,0.587248
9098868118,0.756052,-0.721666,0.565052
9098918582,0.519673,-0.988747,0.458770
9098969047,0.292689,-1.162957,0.311471
9099019514,0.027972,-1.235526,0.194421
9099069981,-0.202173,-1.226323,0.212681
9099120447,-0.414240,-1.152384,0.231167
9099170909,-0.562629,-1.088297,0.302207
9099221369,-0.655867,-0.987090,0.363375
9099271831,-0.739512,-0.913444,0.403948
9099322292,-0.785792,-0.848642,0.403490
9099372752,-0.776447,-0.857810,0.393324
9099423212,-0.766916,-0.876124,0.372778
9099473675,-0.701507,-0.940364,0.321472
9099524139,-0.590151,-1.041796,0.281190
9099574598,-0.442144,-1.143334,0.251610
9099625059,-0.248326,-1.217165,0.222584
9099675520,0.008736,-1.236198,0.256479
9099725977,0.292653,-1.190768,0.321693
9099776442,0.538378,-1.053565,0.459108
9099826907,0.682241,-0.814726,0.616232
9099877367,0.743582,-0.557095,0.751865
9099927832,0.835180,-0.306606,0.690331
9099978296,0.852738,-0.130785,0.690376
9100028759,0.814787,-0.029517,0.741801
9100079224,0.815018,0.026374,0.711051
9100129689,0.833852,0.008156,0.679763
9100180156,0.881167,-0.065126,0.607766
9100230614,0.947625,-0.240003,0.515234
9100281073,0.920876,-0.462206,0.525181
9100331530,0.756733,-0.748977,0.523512
9100381990,0.594393,-0.987955,0.376809
9100432451,0.394921,-1.162071,0.229430
9100482916,0.193681,-1.226143,0.175422
9100533376,-0.017667,-1.244544,0.173214
9100583835,-0.174279,-1.235424,0.192310
9100634300,-0.312498,-1.198440,0.201224
9100684768,-0.395910,-1.171017,0.241739
9100735231,-0.432909,-1.152595,0.251711
9100785695,-0.469861,-1.115567,0.251339
9100836160,-0.488336,-1.124905,0.261484
9100886628,-0.442428,-1.143556,0.272351
9100937096,-0.368240,-1.161685,0.231689
9100987568,-0.293730,-1.216706,0.180634
9101038040,-0.137081,-1.235115,0.161583
9101088502,0.074166,-1.253989,0.184591
9101138967,0.257899,-1.226332,0.186521
9101189424,0.413615,-1.161908,0.208960
9101239885,0.504792,-1.125365,0.251366
9101290347,0.550346,-1.097855,0.272590
9101340810,0.568647,-1.079358,0.272780
9101391270,0.577545,-1.079573,0.293585
9101441729,0.568528,-1.079497,0.283222
9101492187,0.577808,-1.070124,0.272909
9101542651,0.596533,-1.079182,0.252392
9101593114,0.605844,-1.079049,0.242057
9101643579,0.587120,-1.069991,0.262569
