Timestamp (us),W Element,X Element,Y Element,Z Element
9094933661,0.505395,0.649521,0.366476,0.434324
9094936156,0.505362,0.649496,0.366512,0.434368
9094938652,0.505331,0.649469,0.366549,0.434414
9094941147,0.505299,0.649443,0.366586,0.434460
9094943643,0.505268,0.649416,0.366622,0.434505
9094946138,0.505240,0.649388,0.366658,0.434550
9094948634,0.505210,0.649361,0.366694,0.434595
9094951129,0.505180,0.649335,0.366731,0.434637
9094953624,0.505152,0.649309,0.366770,0.434676
9094956120,0.505128,0.649283,0.366808,0.434711
9094958615,0.505107,0.649256,0.366846,0.434742
9094961111,0.505089,0.649231,0.366883,0.434769
9094963606,0.505071,0.649207,0.366920,0.434794
9094966102,0.505051,0.649188,0.366960,0.434811
9094968597,0.505031,0.649174,0.367002,0.434823
9094971093,0.505009,0.649165,0.367044,0.434826
9094973590,0.504986,0.649162,0.367082,0.434824
9094976084,0.504968,0.649163,0.367118,0.434813
9094978579,0.504954,0.649167,0.367152,0.434795
9094981075,0.504944,0.649173,0.367183,0.434771
9094983570,0.504932,0.649183,0.367216,0.434742
9094986066,0.504926,0.649195,0.367246,0.434707
9094988561,0.504921,0.649208,0.367275,0.434667
9094991056,0.504918,0.649224,0.367303,0.434623
9094993552,0.504917,0.649240,0.367332,0.434577
9094996047,0.504916,0.649256,0.367360,0.434529
9094998543,0.504918,0.649274,0.367392,0.434475
9095001038,0.504917,0.649292,0.367426,0.434419
9095003534,0.504914,0.649310,0.367466,0.434362
9095006029,0.504911,0.649326,0.367509,0.434304
9095008525,0.504910,0.649342,0.367555,0.434244
9095011020,0.504911,0.649356,0.367601,0.434183
9095013516,0.504912,0.649370,0.367649,0.434121
9095016011,0.504912,0.649382,0.367698,0.434059
9095018507,0.504915,0.649394,0.367748,0.433997
9095021002,0.504919,0.649404,0.367798,0.433935
9095023498,0.504924,0.649413,0.367848,0.433873
9095025993,0.504930,0.649422,0.367897,0.433811
9095028488,0.504936,0.649431,0.367946,0.433749
9095030984,0.504940,0.649442,0.367994,0.433687
9095033480,0.504937,0.649451,0.368049,0.433630
9095035975,0.504933,0.649460,0.368104,0.433575
9095038470,0.504926,0.649473,0.368158,0.433518
9095040966,0.504916,0.649489,0.368209,0.433461
9095043462,0.504907,0.649508,0.368254,0.433406
9095045957,0.504897,0.649528,0.368293,0.433354
9095048452,0.504888,0.649548,0.368327,0.433306
9095050948,0.504880,0.649567,0.368359,0.433259
9095053443,0.504874,0.649587,0.368387,0.433213
9095055939,0.504868,0.649607,0.368413,0.433167
9095058434,0.504861,0.649628,0.368436,0.433124
9095060930,0.504855,0.649647,0.368457,0.433085
9095063425,0.504847,0.649665,0.368479,0.433049
9095065921,0.504839,0.649681,0.368501,0.433015
9095068416,0.504831,0.649697,0.368524,0.432981
9095070912,0.504822,0.649714,0.368546,0.432948
9095073407,0.504812,0.649731,0.368566,0.432916
9095075903,0.504801,0.649746,0.368586,0.432889
9095078398,0.504789,0.649758,0.368608,0.432867
9095080894,0.504779,0.649767,0.368628,0.432849
9095083389,0.504771,0.649774,0.368644,0.432833
9095085885,0.504766,0.649780,0.368658,0.432819
9095088380,0.504758,0.649785,0.368674,0.432807
9095090875,0.504748,0.649789,0.368693,0.432796
9095093371,0.504738,0.649791,0.368713,0.432788
9095095868,0.504727,0.649791,0.368736,0.432780
9095098363,0.504717,0.649790,0.368761,0.432774
9095100859,0.504708,0.649789,0.368784,0.432766
9095103354,0.504698,0.649790,0.368806,0.432756
9095105850,0.504690,0.649792,0.368827,0.432745
9095108345,0.504684,0.649795,0.368846,0.432731
9095110841,0.504677,0.649801,0.368863,0.432717
9095113336,0.504670,0.649807,0.368879,0.432702
9095115832,0.504664,0.649814,0.368893,0.432687
9095118327,0.504661,0.649818,0.368906,0.432672
9095120823,0.504660,0.649821,0.368917,0.432659
9095123318,0.504663,0.649820,0.368931,0.432646
9095125813,0.504669,0.649815,0.368947,0.432633
9095128309,0.504677,0.649810,0.368963,0.432617
9095130805,0.504685,0.649805,0.368979,0.432603
9095133300,0.504695,0.649800,0.368991,0.432588
9095135795,0.504708,0.649789,0.369006,0.432576
9095138290,0.504726,0.649778,0.369019,0.432560
9095140786,0.504746,0.649769,0.369031,0.432540
9095143282,0.504770,0.649761,0.369040,0.432518
9095145777,0.504795,0.649755,0.369045,0.432493
9095148273,0.504822,0.649749,0.369050,0.432466
9095150768,0.504850,0.649743,0.369050,0.432443
9095153264,0.504875,0.649742,0.369048,0.432415
9095155759,0.504899,0.649746,0.369043,0.432386
9095158255,0.504925,0.649751,0.369035,0.432354
9095160750,0.504952,0.649757,0.369026,0.432321
9095163245,0.504979,0.649762,0.369015,0.432292
9095165741,0.505002,0.649766,0.369007,0.432266
9095168237,0.505022,0.649772,0.368997,0.432243
9095170732,0.505039,0.649778,0.368988,0.432222
9095173228,0.505053,0.649782,0.368979,0.432206
9095175723,0.505062,0.649786,0.368971,0.432196
9095178218,0.505067,0.649789,0.368964,0.432192
9095180714,0.505068,0.649791,0.368960,0.432192
9095183209,0.505065,0.649792,0.368958,0.432196
9095185705,0.505057,0.649790,0.368958,0.432207
9095188201,0.505046,0.649788,0.368961,0.432221
9095190696,0.505035,0.649782,0.368967,0.432238
9095193191,0.505022,0.649773,0.368976,0.432259
9095195687,0.505006,0.649763,0.368989,0.432282
9095198182,0.504987,0.649751,0.369006,0.432307
9095200678,0.504964,0.649739,0.369029,0.432333
9095203173,0.504936,0.649727,0.369056,0.432361
9095205669,0.504905,0.649713,0.369087,0.432391
9095208164,0.504871,0.649698,0.369122,0.432423
9095210660,0.504837,0.649682,0.369160,0.432455
9095213155,0.504801,0.649664,0.369198,0.432491
9095215651,0.504762,0.649646,0.369234,0.432532
9095218146,0.504723,0.649627,0.369268,0.432578
9095220642,0.504683,0.649608,0.369297,0.432628
9095223137,0.504640,0.649590,0.369327,0.432680
9095225633,0.504595,0.649573,0.369353,0.432735
9095228128,0.504554,0.649557,0.369372,0.432791
9095230623,0.504516,0.649542,0.369384,0.432848
9095233119,0.504484,0.649528,0.369388,0.432903
9095235614,0.504458,0.649520,0.369382,0.432950
9095238110,0.504437,0.649513,0.369372,0.432994
9095240605,0.504418,0.649507,0.369362,0.433033
9095243101,0.504401,0.649502,0.369353,0.433069
9095245597,0.504383,0.649498,0.369345,0.433103
9095248092,0.504366,0.649495,0.369338,0.433133
9095250587,0.504352,0.649493,0.369332,0.433157
9095253083,0.504337,0.649493,0.369328,0.433177
9095255579,0.504323,0.649495,0.369328,0.433191
9095258074,0.504310,0.649497,0.369332,0.433199
9095260569,0.504298,0.649502,0.369339,0.433200
9095263065,0.504284,0.649511,0.369348,0.433195
9095265560,0.504271,0.649524,0.369358,0.433183
9095268055,0.504259,0.649539,0.369369,0.433165
9095270551,0.504248,0.649553,0.369383,0.433144
9095273048,0.504237,0.649568,0.369397,0.433123
9095275550,0.504225,0.649581,0.369410,0.433105
9095278048,0.504213,0.649593,0.369422,0.433092
9095280533,0.504203,0.649602,0.369431,0.433081
9095283028,0.504193,0.649611,0.369439,0.433075
9095285524,0.504183,0.649618,0.369442,0.433071
9095288019,0.504173,0.649626,0.369444,0.433071
9095290515,0.504160,0.649633,0.369440,0.433077
9095293011,0.504148,0.649638,0.369433,0.433091
9095295506,0.504136,0.649641,0.369424,0.433109
9095298001,0.504125,0.649641,0.369415,0.433130
9095300497,0.504112,0.649640,0.369405,0.433154
9095302992,0.504093,0.649642,0.369394,0.433182
9095305488,0.504070,0.649645,0.369386,0.433211
9095307983,0.504046,0.649645,0.369380,0.433244
9095310478,0.504022,0.649644,0.369374,0.433279
9095312974,0.503995,0.649643,0.369369,0.433316
9095315470,0.503966,0.649642,0.369366,0.433355
9095317965,0.503936,0.649639,0.369363,0.433396
9095320461,0.503907,0.649635,0.369361,0.433437
9095322956,0.503880,0.649632,0.369360,0.433474
9095325451,0.503854,0.649629,0.369361,0.433507
9095327947,0.503829,0.649627,0.369364,0.433538
9095330442,0.503800,0.649627,0.369367,0.433570
9095332938,0.503772,0.649627,0.369370,0.433598
9095335434,0.503743,0.649628,0.369376,0.433626
9095337929,0.503711,0.649624,0.369387,0.433660
9095340424,0.503678,0.649619,0.369398,0.433695
9095342920,0.503648,0.649614,0.369409,0.433729
9095345415,0.503618,0.649610,0.369418,0.433762
9095347911,0.503589,0.649607,0.369426,0.433794
9095350406,0.503560,0.649605,0.369433,0.433822
9095352902,0.503534,0.649604,0.369442,0.433847
9095355397,0.503510,0.649600,0.369455,0.433870
9095357893,0.503487,0.649594,0.369468,0.433896
9095360388,0.503466,0.649584,0.369481,0.433924
9095362884,0.503446,0.649570,0.369496,0.433954
9095365379,0.503426,0.649553,0.369515,0.433988
9095367875,0.503406,0.649531,0.369534,0.434027
9095370370,0.503386,0.649508,0.369553,0.434069
9095372866,0.503364,0.649484,0.369574,0.434112
9095375361,0.503341,0.649458,0.369595,0.434160
9095377856,0.503315,0.649429,0.369618,0.434213
9095380352,0.503286,0.649399,0.369638,0.434275
9095382848,0.503249,0.649369,0.369661,0.434343
9095385343,0.503209,0.649336,0.369687,0.434417
9095387838,0.503168,0.649304,0.369715,0.434489
9095390334,0.503127,0.649272,0.369745,0.434559
9095392851,0.503088,0.649242,0.369772,0.434625
9095395338,0.503051,0.649218,0.369794,0.434686
9095397830,0.503012,0.649199,0.369813,0.434743
9095400315,0.502971,0.649183,0.369832,0.434797
9095402810,0.502933,0.649167,0.369852,0.434849
9095405305,0.502894,0.649151,0.369872,0.434901
9095407801,0.502854,0.649137,0.369892,0.434950
9095410296,0.502813,0.649123,0.369914,0.435001
9095412792,0.502773,0.649109,0.369935,0.435050
9095415287,0.502734,0.649095,0.369957,0.435096
9095417783,0.502699,0.649081,0.369977,0.435141
9095420278,0.502665,0.649068,0.369995,0.435185
9095422774,0.502630,0.649054,0.370014,0.435229
9095425269,0.502594,0.649041,0.370033,0.435274
9095427765,0.502559,0.649025,0.370053,0.435321
9095430260,0.502523,0.649009,0.370074,0.435370
9095432756,0.502488,0.648989,0.370098,0.435419
9095435251,0.502456,0.648967,0.370123,0.435469
9095437746,0.502429,0.648947,0.370142,0.435513
9095440242,0.502404,0.648925,0.370163,0.435556
9095442737,0.502379,0.648903,0.370186,0.435598
9095445233,0.502352,0.648879,0.370211,0.435644
9095447728,0.502324,0.648854,0.370238,0.435690
9095450224,0.502294,0.648830,0.370267,0.435737
9095452719,0.502265,0.648805,0.370296,0.435782
9095455215,0.502238,0.648780,0.370327,0.435823
9095457710,0.502212,0.648756,0.370359,0.435863
9095460206,0.502188,0.648732,0.370389,0.435901
9095462701,0.502165,0.648709,0.370420,0.435935
9095465197,0.502145,0.648689,0.370448,0.435964
9095467692,0.502126,0.648673,0.370473,0.435988
9095470187,0.502108,0.648663,0.370493,0.436008
9095472683,0.502088,0.648656,0.370509,0.436026
9095475179,0.502069,0.648652,0.370523,0.436042
9095477674,0.502054,0.648652,0.370534,0.436051
9095480169,0.502043,0.648655,0.370541,0.436052
9095482665,0.502036,0.648664,0.370541,0.436046
9095485160,0.502033,0.648678,0.370536,0.436035
9095487656,0.502023,0.648687,0.370538,0.436031
9095490151,0.502015,0.648697,0.370536,0.436027
9095492647,0.502011,0.648708,0.370529,0.436022
9095495142,0.502010,0.648720,0.370516,0.436015
9095497638,0.502012,0.648736,0.370500,0.436004
9095500133,0.502014,0.648753,0.370479,0.435992
9095502629,0.502016,0.648773,0.370458,0.435979
9095505124,0.502018,0.648794,0.370435,0.435965
9095507620,0.502020,0.648817,0.370410,0.435949
9095510115,0.502023,0.648842,0.370382,0.435933
9095512611,0.502026,0.648868,0.370352,0.435916
9095515106,0.502030,0.648892,0.370325,0.435899
9095517602,0.502034,0.648913,0.370301,0.435883
9095520097,0.502037,0.648931,0.370278,0.435872
9095522592,0.502037,0.648947,0.370259,0.435865
9095525088,0.502034,0.648960,0.370244,0.435862
9095527583,0.502026,0.648971,0.370232,0.435865
9095530079,0.502015,0.648980,0.370223,0.435872
9095532575,0.502001,0.648986,0.370217,0.435883
9095535070,0.501984,0.648988,0.370218,0.435899
9095537566,0.501969,0.648988,0.370222,0.435913
9095540061,0.501948,0.648985,0.370234,0.435932
9095542556,0.501921,0.648978,0.370250,0.435959
9095545052,0.501888,0.648969,0.370269,0.435995
9095547547,0.501850,0.648957,0.370293,0.436037
9095550043,0.501810,0.648940,0.370324,0.436081
9095552538,0.501770,0.648918,0.370360,0.436130
9095555034,0.501729,0.648891,0.370402,0.436181
9095557529,0.501687,0.648860,0.370446,0.436239
9095560025,0.501642,0.648828,0.370492,0.436299
9095562520,0.501595,0.648797,0.370537,0.436360
9095565016,0.501548,0.648767,0.370579,0.436424
9095567511,0.501499,0.648740,0.370622,0.436484
9095570007,0.501450,0.648714,0.370665,0.436543
9095572502,0.501402,0.648685,0.370708,0.436603
9095574997,0.501354,0.648657,0.370749,0.436665
9095577493,0.501311,0.648627,0.370787,0.436727
9095579988,0.501274,0.648598,0.370820,0.436785
9095582484,0.501242,0.648569,0.370850,0.436839
9095584979,0.501217,0.648545,0.370876,0.436882
9095587475,0.501197,0.648526,0.370898,0.436914
9095589971,0.501184,0.648512,0.370915,0.436936
9095592466,0.501173,0.648500,0.370930,0.436952
9095594961,0.501164,0.648489,0.370946,0.436965
9095597457,0.501155,0.648480,0.370962,0.436976
9095599952,0.501144,0.648475,0.370975,0.436986
9095602448,0.501132,0.648472,0.370981,0.436997
9095604943,0.501118,0.648475,0.370982,0.437007
9095607439,0.501104,0.648483,0.370979,0.437015
9095609934,0.501090,0.648496,0.370970,0.437019
9095612430,0.501079,0.648514,0.370953,0.437020
9095614925,0.501070,0.648538,0.370924,0.437019
9095617420,0.501068,0.648567,0.370887,0.437011
9095619916,0.501072,0.648600,0.370843,0.436994
9095622412,0.501082,0.648637,0.370795,0.436968
9095624907,0.501098,0.648677,0.370742,0.436935
9095627402,0.501115,0.648721,0.370685,0.436898
9095629898,0.501136,0.648766,0.370627,0.436856
9095632393,0.501159,0.648812,0.370567,0.436813
9095634889,0.501184,0.648856,0.370509,0.436769
9095637384,0.501208,0.648898,0.370455,0.436724
9095639880,0.501229,0.648938,0.370406,0.436682
9095642375,0.501247,0.648976,0.370362,0.436642
9095644871,0.501261,0.649012,0.370325,0.436605
9095647366,0.501272,0.649043,0.370295,0.436571
9095649862,0.501280,0.649070,0.370273,0.436541
9095652357,0.501285,0.649091,0.370262,0.436512
9095654853,0.501285,0.649108,0.370260,0.436489
9095657348,0.501280,0.649121,0.370268,0.436469
9095659843,0.501272,0.649127,0.370285,0.436455
9095662339,0.501260,0.649127,0.370311,0.436446
9095664834,0.501244,0.649123,0.370343,0.436443
9095667330,0.501229,0.649114,0.370378,0.436444
9095669825,0.501213,0.649104,0.370414,0.436447
9095672321,0.501197,0.649094,0.370448,0.436451
9095674816,0.501181,0.649084,0.370483,0.436455
9095677312,0.501165,0.649075,0.370516,0.436459
9095679807,0.501148,0.649066,0.370549,0.436464
9095682303,0.501130,0.649058,0.370579,0.436471
9095684798,0.501109,0.649054,0.370606,0.436478
9095687294,0.501087,0.649051,0.370633,0.436485
9095689789,0.501061,0.649049,0.370660,0.436495
9095692285,0.501032,0.649047,0.370686,0.436509
9095694780,0.500998,0.649046,0.370712,0.436528
9095697276,0.500961,0.649048,0.370738,0.436544
9095699771,0.500921,0.649058,0.370761,0.436556
9095702267,0.500884,0.649073,0.370780,0.436560
9095704762,0.500846,0.649092,0.370795,0.436562
9095707258,0.500812,0.649117,0.370803,0.436558
9095709753,0.500783,0.649145,0.370808,0.436546
9095712249,0.500760,0.649174,0.370810,0.436527
9095714744,0.500744,0.649204,0.370810,0.436501
9095717239,0.500737,0.649232,0.370807,0.436469
9095719735,0.500738,0.649260,0.370797,0.436435
9095722230,0.500747,0.649286,0.370786,0.436396
9095724726,0.500764,0.649311,0.370771,0.436351
9095727221,0.500789,0.649334,0.370759,0.436300
9095729717,0.500815,0.649359,0.370745,0.436244
9095732212,0.500840,0.649387,0.370732,0.436185
9095734708,0.500865,0.649415,0.370721,0.436123
9095737203,0.500890,0.649445,0.370708,0.436060
9095739698,0.500908,0.649475,0.370702,0.436001
9095742194,0.500926,0.649509,0.370692,0.435938
9095744690,0.500944,0.649548,0.370679,0.435869
9095747185,0.500965,0.649592,0.370665,0.435793
9095749681,0.500987,0.649639,0.370649,0.435711
9095752176,0.501012,0.649688,0.370632,0.435624
9095754671,0.501035,0.649740,0.370613,0.435535
9095757167,0.501058,0.649795,0.370593,0.435445
9095759662,0.501081,0.649849,0.370574,0.435353
9095762158,0.501101,0.649902,0.370560,0.435261
9095764653,0.501119,0.649952,0.370553,0.435174
9095767149,0.501134,0.649996,0.370551,0.435091
9095769644,0.501149,0.650034,0.370554,0.435015
9095772140,0.501157,0.650069,0.370562,0.434946
9095774635,0.501159,0.650103,0.370574,0.434883
9095777131,0.501152,0.650136,0.370588,0.434830
9095779626,0.501140,0.650166,0.370601,0.434788
9095782122,0.501124,0.650196,0.370612,0.434752
9095784617,0.501102,0.650227,0.370622,0.434723
9095787113,0.501072,0.650262,0.370631,0.434698
9095789608,0.501028,0.650306,0.370638,0.434677
9095792104,0.500975,0.650358,0.370642,0.434656
9095794599,0.500910,0.650423,0.370643,0.434634
9095797095,0.500832,0.650502,0.370636,0.434611
9095799590,0.500743,0.650592,0.370624,0.434588
9095802086,0.500636,0.650698,0.370610,0.434565
9095804581,0.500508,0.650823,0.370598,0.434536
9095807077,0.500356,0.650967,0.370594,0.434500
9095809572,0.500183,0.651134,0.370598,0.434444
9095812067,0.499990,0.651327,0.370612,0.434365
9095814563,0.499773,0.651551,0.370635,0.434259
9095817059,0.499525,0.651805,0.370674,0.434130
9095819554,0.499242,0.652083,0.370739,0.433983
9095822049,0.498917,0.652380,0.370841,0.433824
9095824545,0.498551,0.652682,0.370989,0.433662
9095827040,0.498144,0.652980,0.371193,0.433508
9095829536,0.497694,0.653262,0.371455,0.433375
9095832031,0.497205,0.653517,0.371778,0.433274
9095834527,0.496712,0.653703,0.372137,0.433252
9095837022,0.496182,0.653849,0.372550,0.433283
9095839518,0.495621,0.653953,0.373015,0.433367
9095842013,0.495037,0.654018,0.373523,0.433500
9095844509,0.494432,0.654042,0.374074,0.433680
9095847006,0.493812,0.654029,0.374664,0.433896
9095849501,0.493183,0.653992,0.375282,0.434133
9095851996,0.492548,0.653954,0.375956,0.434328
9095854509,0.491930,0.653907,0.376634,0.434512
9095856987,0.491358,0.653863,0.377277,0.434667
9095859483,0.490833,0.653836,0.377880,0.434778
9095861978,0.490365,0.653841,0.378412,0.434836
9095864474,0.489958,0.653894,0.378852,0.434831
9095866969,0.489612,0.654009,0.379184,0.434758
9095869465,0.489325,0.654195,0.379396,0.434617
9095871960,0.489092,0.654459,0.379483,0.434404
9095874456,0.488905,0.654802,0.379452,0.434125
9095876951,0.488757,0.655221,0.379314,0.433782
9095879447,0.488639,0.655709,0.379080,0.433381
9095881942,0.488561,0.656260,0.378812,0.432870
9095884438,0.488517,0.656861,0.378482,0.432296
9095886933,0.488508,0.657503,0.378100,0.431664
9095889429,0.488538,0.658176,0.377676,0.430976
9095891924,0.488602,0.658862,0.377228,0.430244
9095894419,0.488716,0.659559,0.376752,0.429464
9095896915,0.488878,0.660263,0.376248,0.428639
9095899410,0.489090,0.660971,0.375716,0.427772
9095901906,0.489339,0.661680,0.375120,0.426914
9095904401,0.489635,0.662385,0.374510,0.426016
9095906897,0.489972,0.663085,0.373886,0.425086
9095909392,0.490341,0.663778,0.373251,0.424135
9095911888,0.490728,0.664465,0.372612,0.423174
9095914383,0.491122,0.665139,0.371976,0.422215
9095916879,0.491517,0.665801,0.371349,0.421264
9095919374,0.491903,0.666448,0.370735,0.420329
9095921870,0.492276,0.667074,0.370144,0.419421
9095924365,0.492596,0.667698,0.369539,0.418584
9095926861,0.492891,0.668293,0.368957,0.417800
