Timestamp (us),Percentage (%),Power (dBm)
9095285096,94.000000,-53.000000
9096288819,98.000000,-51.000000
9097299502,100.000000,-50.000000
9098297678,98.000000,-51.000000
9099287513,78.000000,-61.000000
9100294057,94.000000,-53.000000
9101297262,96.000000,-52.000000
9102287959,84.000000,-58.000000
9103298610,82.000000,-59.000000
9104285564,92.000000,-54.000000
9105289634,98.000000,-51.000000
9106285711,98.000000,-51.000000
9107286382,72.000000,-64.000000
9108297050,78.000000,-61.000000
9109287753,94.000000,-53.000000
9110281526,96.000000,-52.000000
9111288107,86.000000,-57.000000
9112284444,98.000000,-51.000000
9113281565,72.000000,-64.000000
9114287910,70.000000,-65.000000
9115289394,94.000000,-53.000000
9116295052,92.000000,-54.000000
9117292426,98.000000,-51.000000
