Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9094968901,0.103034,0.781954,-0.364118
9094989358,-0.092966,0.830954,-0.364118
9095009816,0.005034,0.781954,-0.413118
9095030280,-0.043966,0.732954,-0.364118
9095050731,0.054034,0.830954,-0.413118
9095071189,0.054034,0.781954,-0.315118
9095091647,0.054034,0.781954,-0.462118
9095112106,0.005034,0.830954,-0.364118
9095132564,0.005034,0.781954,-0.364118
9095153023,0.005034,0.732954,-0.462118
9095173483,0.005034,0.781954,-0.413118
9095193943,0.054034,0.781954,-0.413118
9095214402,0.054034,0.732954,-0.462118
9095234863,0.005034,0.781954,-0.511118
9095255317,-0.092966,0.781954,-0.413118
9095275775,0.054034,0.781954,-0.315118
9095296233,0.005034,0.879954,-0.413118
9095316691,0.054034,0.830954,-0.413118
9095337148,0.005034,0.781954,-0.364118
9095357605,0.054034,0.732954,-0.462118
9095378063,0.054034,0.781954,-0.364118
9095398520,-0.043966,0.781954,-0.462118
9095418977,0.054034,0.781954,-0.364118
9095439434,0.005034,0.830954,-0.364118
9095459891,0.005034,0.732954,-0.413118
9095480349,-0.092966,0.781954,-0.413118
9095500806,0.005034,0.732954,-0.364118
9095521264,0.103034,0.830954,-0.315118
9095541722,0.005034,0.781954,-0.364118
9095562179,0.005034,0.830954,-0.364118
9095582638,0.005034,0.781954,-0.364118
9095603095,0.054034,0.781954,-0.462118
9095623552,0.005034,0.781954,-0.462118
9095644009,-0.043966,0.830954,-0.413118
9095664467,0.054034,0.830954,-0.364118
9095684924,0.054034,0.732954,-0.413118
9095705381,-0.043966,0.830954,-0.413118
9095725838,0.054034,0.830954,-0.364118
9095746296,0.005034,0.732954,-0.364118
9095766754,0.005034,0.879954,-0.364118
9095787211,0.103034,0.781954,-0.413118
9095807668,0.005034,0.830954,-0.413118
9095828125,0.054034,0.879954,-0.462118
9095848582,0.201034,0.781954,-0.413118
9095869039,0.103034,0.781954,-0.511118
9095889496,-0.043966,0.781954,-0.560118
9095909954,-0.043966,0.830954,-0.511118
9095930411,0.005034,0.781954,-0.413118
9095950869,0.103034,0.830954,-0.217118
9095971326,0.103034,0.732954,-0.315118
9095991782,0.201034,0.781954,-0.413118
9096012240,0.103034,0.830954,-0.511118
9096032698,0.054034,0.732954,-0.658118
9096053155,0.201034,0.781954,-0.609118
9096073613,0.250034,0.781954,-0.511118
9096094071,0.152034,0.781954,-0.560118
