Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
9094971937,-0.508711,-1.385486,0.192021
9095022527,-0.487571,-1.394593,0.192121
9095073115,-0.508493,-1.394756,0.191917
9095123701,-0.487676,-1.385216,0.183015
9095174285,-0.518920,-1.394750,0.182604
9095224880,-0.508520,-1.385361,0.182809
9095275463,-0.498018,-1.385349,0.192120
9095326053,-0.498032,-1.394675,0.192019
9095376644,-0.487496,-1.394574,0.192120
9095427227,-0.487571,-1.394593,0.192121
9095477812,-0.508571,-1.394775,0.191918
9095528388,-0.508320,-1.403957,0.182603
9095578959,-0.498109,-1.394693,0.192020
9095629541,-0.497893,-1.403963,0.191916
9095680118,-0.508633,-1.385468,0.192020
9095730700,-0.497643,-1.413145,0.182601
9095781282,-0.477002,-1.394404,0.183013
9095831859,-0.497782,-1.403856,0.182705
9095882436,-0.539864,-1.385518,0.173292
9095933015,-0.529660,-1.376254,0.182709
9095983599,-0.529591,-1.376078,0.164289
9096034166,-0.571590,-1.367363,0.191612
9096084742,-0.550942,-1.367501,0.219449
9096135316,-0.593201,-1.340369,0.265395
9096185897,-0.604250,-1.313027,0.311652
9096236472,-0.604930,-1.295262,0.394751
9096287049,-0.605841,-1.259240,0.514886
9096337629,-0.617676,-1.204754,0.635141
9096388209,-0.619007,-1.149844,0.718675
9096438787,-0.619851,-1.104005,0.783651
9096489373,-0.651697,-1.067083,0.783744
9096539958,-0.703657,-1.076250,0.727869
9096590538,-0.703241,-1.085085,0.681705
9096641127,-0.754577,-1.130978,0.579378
9096691707,-0.774185,-1.175994,0.412878
9096742284,-0.762618,-1.211653,0.265207
9096792863,-0.762142,-1.191131,0.062796
9096843444,-0.741054,-1.123281,-0.212564
9096894020,-0.647652,-1.017829,-0.477614
9096944604,-0.617771,-0.876746,-0.632326
9096995187,-0.630685,-0.690426,-0.694813
9097045768,-0.706488,-0.523978,-0.675247
9097096349,-0.750525,-0.385240,-0.646476
9097146927,-0.762274,-0.301811,-0.636437
9097197513,-0.794274,-0.283735,-0.608940
9097248099,-0.762604,-0.302068,-0.608840
9097298691,-0.761412,-0.366830,-0.637178
9097349274,-0.737869,-0.533866,-0.638819
9097399860,-0.724756,-0.710532,-0.613036
9097450453,-0.690653,-0.925160,-0.486172
9097501045,-0.688831,-1.103512,-0.294743
9097551637,-0.719329,-1.226898,-0.047727
9097602228,-0.688281,-1.266106,0.191624
9097652825,-0.668214,-1.267903,0.394452
9097703422,-0.691045,-1.186145,0.570170
9097754007,-0.693162,-1.076080,0.718762
9097804600,-0.726178,-0.984057,0.783958
9097855191,-0.769494,-0.901059,0.812123
9097905777,-0.801945,-0.827163,0.831050
9097956365,-0.802343,-0.808592,0.831271
9098006947,-0.791310,-0.836282,0.821839
9098057540,-0.758962,-0.900801,0.793805
9098108135,-0.746337,-1.020845,0.728080
9098158719,-0.765641,-1.093740,0.561278
9098209309,-0.763495,-1.175043,0.320884
9098259904,-0.762174,-1.200862,0.108742
9098310495,-0.730639,-1.142069,-0.185054
9098361085,-0.752909,-1.000699,-0.413972
9098411675,-0.734138,-0.804036,-0.558929
9098462258,-0.799797,-0.599732,-0.603317
9098512839,-0.812835,-0.432793,-0.583138
9098563419,-0.835568,-0.312203,-0.581998
9098614002,-0.836367,-0.266025,-0.553851
9098664579,-0.847107,-0.247529,-0.553746
9098715158,-0.772709,-0.320820,-0.599923
9098765746,-0.738776,-0.468668,-0.656514
9098816323,-0.725988,-0.645344,-0.630781
9098866908,-0.744220,-0.851099,-0.504303
9098917495,-0.699574,-1.065732,-0.368111
9098968079,-0.677556,-1.206962,-0.157643
9099018667,-0.687972,-1.265310,0.108735
9099069253,-0.678647,-1.248860,0.339292
9099119838,-0.701162,-1.194986,0.514704
9099170418,-0.734736,-1.085090,0.653790
9099220997,-0.778277,-0.983936,0.728187
9099271587,-0.821999,-0.873329,0.784278
9099322177,-0.844229,-0.799366,0.803334
9099372759,-0.823930,-0.762223,0.822373
9099423348,-0.844682,-0.771587,0.812855
9099473939,-0.833191,-0.827055,0.793903
9099524526,-0.821287,-0.900744,0.737906
9099575111,-0.819013,-1.010959,0.607720
9099625697,-0.806696,-1.120963,0.459247
9099676285,-0.794419,-1.184033,0.265211
9099726866,-0.761762,-1.199801,-0.001777
9099777449,-0.709649,-1.122443,-0.276744
9099828031,-0.689887,-0.980814,-0.496016
9099878612,-0.671132,-0.802926,-0.622784
9099929193,-0.726120,-0.617295,-0.648857
9099979780,-0.770621,-0.450512,-0.638211
9100030366,-0.793237,-0.339565,-0.600318
9100080941,-0.814977,-0.284266,-0.572257
9100131528,-0.804603,-0.284092,-0.581380
9100182109,-0.772107,-0.348514,-0.618637
9100232690,-0.738742,-0.468580,-0.665724
9100283268,-0.694145,-0.663496,-0.649084
9100333849,-0.639129,-0.877544,-0.568091
9100384432,-0.636114,-1.102042,-0.404750
9100435009,-0.613880,-1.252635,-0.185169
9100485587,-0.603279,-1.310303,0.026148
9100536159,-0.646056,-1.303623,0.265297
9100586741,-0.647365,-1.258523,0.403965
9100637328,-0.658829,-1.222598,0.524005
9100687906,-0.701820,-1.158347,0.570370
9100738492,-0.712976,-1.121627,0.607521
9100789075,-0.703244,-1.094222,0.663204
9100839658,-0.714328,-1.057578,0.709554
9100890240,-0.682700,-1.075745,0.691246
9100940818,-0.713288,-1.103138,0.616938
9100991400,-0.743985,-1.139933,0.551755
9101041982,-0.711070,-1.203546,0.431601
9101092577,-0.688762,-1.257950,0.311453
9101143154,-0.678059,-1.266393,0.228568
9101193745,-0.656239,-1.293108,0.127152
9101244325,-0.666670,-1.273816,0.044367
9101294910,-0.655870,-1.273100,-0.019996
9101345491,-0.645362,-1.291716,-0.010898
9101396075,-0.655688,-1.301336,0.016529
9101446661,-0.655961,-1.292152,0.025840
9101497249,-0.634734,-1.291441,-0.029212
9101598414,-0.602890,-1.309083,-0.102796
9101648993,-0.666222,-1.272418,-0.102997
9101699577,-0.697961,-1.234978,-0.158151
9101750161,-0.719448,-1.178700,-0.231416
9101800747,-0.761559,-1.132026,-0.286550
9101851355,-0.814937,-1.058039,-0.295444
9101901909,-0.815582,-1.020807,-0.304250
9101952492,-0.805000,-1.020714,-0.304138
9102003076,-0.773635,-1.020215,-0.331470
9102053662,-0.636673,-1.055245,-0.441072
9102104244,-0.573494,-1.063335,-0.514240
9102154825,-0.562613,-1.100762,-0.477712
9102205401,-0.509616,-1.165918,-0.422677
9102255987,-0.456395,-1.240350,-0.367732
9102306582,-0.350860,-1.324016,-0.275538
9102357175,-0.224570,-1.407960,-0.137088
