Timestamp (us),W Element,X Element,Y Element,Z Element
9094950336,0.534108,0.804921,-0.254179,-0.049675
9094952832,0.534111,0.804912,-0.254198,-0.049687
9094955328,0.534114,0.804903,-0.254216,-0.049700
9094957824,0.534118,0.804894,-0.254234,-0.049713
9094960319,0.534123,0.804884,-0.254253,-0.049726
9094962815,0.534128,0.804873,-0.254274,-0.049737
9094965311,0.534131,0.804864,-0.254296,-0.049749
9094967807,0.534134,0.804855,-0.254317,-0.049758
9094970301,0.534139,0.804845,-0.254337,-0.049764
9094972797,0.534143,0.804835,-0.254357,-0.049772
9094975293,0.534146,0.804826,-0.254379,-0.049780
9094977789,0.534148,0.804817,-0.254401,-0.049790
9094980285,0.534148,0.804809,-0.254425,-0.049798
9094982781,0.534148,0.804802,-0.254447,-0.049806
9094985277,0.534148,0.804794,-0.254469,-0.049810
9094987772,0.534148,0.804787,-0.254492,-0.049813
9094990268,0.534147,0.804780,-0.254514,-0.049817
9094992764,0.534143,0.804775,-0.254536,-0.049823
9094995260,0.534141,0.804770,-0.254557,-0.049829
9094997756,0.534140,0.804763,-0.254577,-0.049835
9095000251,0.534142,0.804757,-0.254595,-0.049836
9095002747,0.534144,0.804750,-0.254611,-0.049833
9095005243,0.534145,0.804745,-0.254625,-0.049830
9095007739,0.534149,0.804740,-0.254636,-0.049827
9095010235,0.534154,0.804734,-0.254646,-0.049823
9095012730,0.534158,0.804727,-0.254658,-0.049818
9095015226,0.534162,0.804721,-0.254670,-0.049816
9095017722,0.534167,0.804715,-0.254681,-0.049815
9095020218,0.534174,0.804707,-0.254689,-0.049813
9095022714,0.534183,0.804705,-0.254680,-0.049802
9095025210,0.534194,0.804702,-0.254669,-0.049787
9095027705,0.534205,0.804699,-0.254658,-0.049770
9095030201,0.534216,0.804697,-0.254644,-0.049753
9095032697,0.534229,0.804694,-0.254630,-0.049735
9095035193,0.534242,0.804692,-0.254614,-0.049716
9095037689,0.534258,0.804689,-0.254592,-0.049696
9095040185,0.534278,0.804686,-0.254566,-0.049672
9095042680,0.534302,0.804680,-0.254537,-0.049644
9095045176,0.534327,0.804676,-0.254505,-0.049614
9095047672,0.534354,0.804670,-0.254473,-0.049581
9095050168,0.534386,0.804663,-0.254437,-0.049544
9095052664,0.534418,0.804656,-0.254400,-0.049500
9095055159,0.534453,0.804648,-0.254359,-0.049454
9095057655,0.534492,0.804639,-0.254315,-0.049404
9095060151,0.534537,0.804628,-0.254269,-0.049349
9095062647,0.534586,0.804613,-0.254222,-0.049293
9095065142,0.534635,0.804598,-0.254177,-0.049236
9095067639,0.534686,0.804583,-0.254131,-0.049178
9095070134,0.534741,0.804564,-0.254086,-0.049118
9095072630,0.534795,0.804545,-0.254043,-0.049059
9095075126,0.534847,0.804523,-0.254016,-0.049005
9095077622,0.534896,0.804500,-0.253992,-0.048953
9095080118,0.534944,0.804478,-0.253972,-0.048901
9095082614,0.534987,0.804458,-0.253954,-0.048854
9095085109,0.535027,0.804439,-0.253939,-0.048814
9095087605,0.535062,0.804421,-0.253928,-0.048777
9095090101,0.535092,0.804405,-0.253921,-0.048743
9095092597,0.535115,0.804393,-0.253918,-0.048707
9095095093,0.535133,0.804385,-0.253914,-0.048671
9095097588,0.535150,0.804378,-0.253908,-0.048634
9095100084,0.535166,0.804372,-0.253899,-0.048596
