Timestamp (us),Percentage (%),Power (dBm)
9095554458,76.000000,-62.000000
9096557748,82.000000,-59.000000
9097566071,80.000000,-60.000000
9098561903,76.000000,-62.000000
9099555256,90.000000,-55.000000
9100558587,88.000000,-56.000000
9102564408,100.000000,-50.000000
9103561032,100.000000,-43.000000
9104554367,82.000000,-59.000000
9105552696,76.000000,-62.000000
9106562683,86.000000,-57.000000
9107554345,100.000000,-47.000000
9108572451,100.000000,-49.000000
9109565991,76.000000,-62.000000
9110564301,80.000000,-60.000000
9111552663,100.000000,-50.000000
9112553469,70.000000,-65.000000
9113557900,100.000000,-45.000000
9114562605,98.000000,-51.000000
9115563430,70.000000,-65.000000
9116556765,76.000000,-62.000000
9117555122,70.000000,-65.000000
