Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9094946254,0.289051,0.759329,0.221502
9094965913,0.338051,0.759329,0.172502
9094985573,0.240051,0.759329,0.172502
9095005233,0.289051,0.759329,0.221502
9095024892,0.289051,0.759329,0.270502
9095044551,0.289051,0.808329,0.319502
9095064209,0.289051,0.710329,0.221502
9095083868,0.289051,0.759329,0.270502
9095103525,0.240051,0.710329,0.221502
9095123184,0.240051,0.759329,0.221502
9095142843,0.338051,0.759329,0.221502
9095162503,0.191051,0.808329,0.270502
9095182161,0.338051,0.710329,0.221502
9095201820,0.289051,0.759329,0.172502
9095221479,0.240051,0.759329,0.270502
9095241136,0.289051,0.759329,0.270502
9095260793,0.289051,0.808329,0.319502
9095280450,0.289051,0.808329,0.319502
9095300109,0.240051,0.808329,0.221502
9095319767,0.240051,0.857329,0.172502
9095339425,0.289051,0.759329,0.221502
9095359084,0.289051,0.661329,0.319502
9095378742,0.289051,0.808329,0.221502
9095398400,0.289051,0.808329,0.368502
9095418058,0.289051,0.710329,0.172502
9095437716,0.240051,0.710329,0.270502
9095457375,0.240051,0.759329,0.221502
9095477033,0.289051,0.710329,0.270502
9095496691,0.289051,0.759329,0.319502
9095516348,0.289051,0.710329,0.172502
9095536007,0.289051,0.759329,0.270502
9095555665,0.338051,0.710329,0.270502
9095575324,0.240051,0.710329,0.221502
9095594984,0.240051,0.808329,0.319502
9095614644,0.240051,0.759329,0.221502
9095634304,0.338051,0.808329,0.221502
9095653961,0.240051,0.710329,0.319502
9095673651,0.240051,0.759329,0.270502
9095693278,0.240051,0.759329,0.319502
9095712937,0.338051,0.710329,0.270502
9095732596,0.289051,0.759329,0.221502
9095752254,0.240051,0.710329,0.221502
9095771913,0.240051,0.759329,0.319502
9095791572,0.289051,0.808329,0.319502
9095811231,0.240051,0.710329,0.172502
9095830891,0.289051,0.808329,0.221502
9095850548,0.289051,0.759329,0.319502
9095870205,0.240051,0.710329,0.270502
9095889862,0.289051,0.759329,0.319502
9095909520,0.289051,0.710329,0.270502
9095929178,0.338051,0.710329,0.221502
9095948836,0.240051,0.759329,0.172502
9095968494,0.338051,0.759329,0.172502
9095988153,0.240051,0.759329,0.221502
9096007811,0.289051,0.710329,0.319502
9096027470,0.240051,0.710329,0.221502
9096047129,0.240051,0.759329,0.221502
9096066791,0.338051,0.759329,0.270502
9096086449,0.240051,0.710329,0.270502
9096106107,0.289051,0.710329,0.319502
9096125764,0.289051,0.710329,0.172502
9096145423,0.191051,0.759329,0.270502
9096165082,0.289051,0.808329,0.270502
9096184740,0.240051,0.808329,0.221502
9096204399,0.338051,0.808329,0.270502
9096224057,0.338051,0.759329,0.172502
9096243716,0.240051,0.759329,0.221502
9096263376,0.289051,0.759329,0.172502
9096283035,0.240051,0.808329,0.123502
9096302693,0.240051,0.808329,0.221502
9096322351,0.240051,0.857329,0.221502
9096342010,0.240051,0.857329,0.172502
9096361670,0.191051,0.759329,0.172502
9096381331,0.338051,0.808329,0.270502
9096400988,0.240051,0.808329,0.270502
9096420647,0.240051,0.808329,0.172502
9096440306,0.289051,0.808329,0.221502
9096459965,0.240051,0.759329,0.172502
9096479625,0.338051,0.857329,0.221502
9096499284,0.289051,0.857329,0.270502
9096518942,0.338051,0.759329,0.221502
9096538602,0.289051,0.857329,0.319502
9096558259,0.289051,0.759329,0.172502
9096577916,0.289051,0.808329,0.221502
9096597575,0.240051,0.808329,0.319502
9096617233,0.289051,0.759329,0.172502
9096636892,0.289051,0.759329,0.074502
9096656550,0.240051,0.710329,0.270502
9096676206,0.289051,0.759329,0.270502
9096695864,0.240051,0.661329,0.172502
9096715522,0.240051,0.808329,0.319502
9096735180,0.338051,0.759329,0.221502
9096754839,0.240051,0.759329,0.270502
9096774496,0.191051,0.710329,0.319502
9096794153,0.289051,0.710329,0.270502
9096813811,0.289051,0.710329,0.270502
9096833470,0.240051,0.710329,0.319502
9096853129,0.387051,0.710329,0.319502
9096872788,0.338051,0.612329,0.368502
9096892445,0.240051,0.661329,0.270502
9096912104,0.240051,0.661329,0.368502
9096931762,0.338051,0.661329,0.221502
9096951421,0.289051,0.759329,0.466502
9096971080,0.289051,0.710329,0.319502
9096990740,0.240051,0.612329,0.319502
9097030059,0.289051,0.661329,0.368502
9097049718,0.240051,0.710329,0.417502
9097069377,0.387051,0.612329,0.319502
9097089037,0.289051,0.759329,0.466502
9097108697,0.338051,0.612329,0.417502
9097128358,0.338051,0.563329,0.515502
9097148016,0.240051,0.612329,0.368502
9097167673,0.240051,0.710329,0.417502
9097187333,0.240051,0.661329,0.417502
9097206993,0.338051,0.759329,0.270502
9097226651,0.338051,0.710329,0.368502
9097246308,0.289051,0.661329,0.368502
9097265966,0.338051,0.710329,0.270502
9097285625,0.289051,0.710329,0.368502
9097305284,0.289051,0.759329,0.221502
9097324944,0.240051,0.661329,0.319502
9097344602,0.240051,0.710329,0.270502
9097364261,0.289051,0.710329,0.270502
9097383920,0.289051,0.710329,0.172502
9097403580,0.191051,0.759329,0.221502
9097423240,0.289051,0.808329,0.221502
9097442899,0.240051,0.710329,0.270502
9097462557,0.387051,0.759329,0.319502
9097482219,0.289051,0.808329,0.319502
9097501878,0.240051,0.808329,0.172502
