Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9094937771,0.149447,0.200353,0.025693,0.279163,0.779906,0.562035
9094940273,0.088776,0.261469,0.025229,0.279883,0.777714,0.560567
9094942776,0.027883,0.201002,0.086091,0.282079,0.779146,0.560603
9094945278,0.027526,0.018149,0.087120,0.281352,0.779155,0.560595
9094947781,-0.033338,-0.042538,0.087340,0.283508,0.777670,0.561337
9094950284,0.027421,-0.043070,0.026794,0.285689,0.776190,0.559890
9094952787,0.088268,0.017625,0.026538,0.280602,0.776249,0.559834
9094955289,0.088250,0.017323,-0.034092,0.277695,0.777010,0.560537
9094957792,0.027357,-0.043067,0.026788,0.282755,0.778400,0.564252
9094960295,-0.033382,-0.043102,-0.033946,0.284919,0.778371,0.565735
9094962797,-0.033381,-0.042792,0.026687,0.285664,0.776184,0.562078
9094965300,-0.033370,-0.042778,0.026678,0.286400,0.773996,0.559151
9094967803,0.027487,0.018213,0.087044,0.284970,0.777654,0.560623
9094970306,0.027604,0.078841,0.026043,0.279113,0.778440,0.564941
9094972808,-0.033126,0.078471,-0.095314,0.276223,0.779205,0.564186
9094975311,0.027517,0.016971,-0.155450,0.279858,0.776254,0.561285
9094977814,0.027392,-0.043964,-0.155050,0.279843,0.773341,0.559803
9094980317,0.027374,-0.043653,-0.094379,0.282032,0.774045,0.559833
9094982819,0.027463,0.017884,0.026544,0.282070,0.779872,0.562067
9094985322,0.027455,0.017878,0.026535,0.279874,0.778439,0.562032
9094987825,0.088079,-0.043603,-0.033639,0.279131,0.776989,0.562012
9094990328,0.087935,-0.104519,-0.033277,0.281335,0.779151,0.562054
9094992831,0.148522,-0.165368,0.027811,0.282087,0.779148,0.559873
9094995333,0.148466,-0.165019,0.088425,0.284186,0.774014,0.562045
9094997836,0.087787,-0.103492,0.148564,0.284244,0.776936,0.559880
9095000339,-0.033595,-0.042329,0.087335,0.281322,0.774057,0.558366
9095002842,-0.094208,0.018862,0.086852,0.282799,0.776227,0.558399
9095005344,-0.154784,0.079441,-0.034876,0.286441,0.776914,0.558445
9095007847,-0.154494,0.200979,-0.096191,0.282823,0.778414,0.558417
