Timestamp (us),W Element,X Element,Y Element,Z Element
9094937771,-0.740172,-0.280348,0.374407,0.483336
9094940273,-0.740174,-0.280354,0.374403,0.483331
9094942776,-0.740177,-0.280358,0.374400,0.483327
9094945278,-0.740179,-0.280360,0.374400,0.483323
9094947781,-0.740181,-0.280359,0.374401,0.483320
9094950284,-0.740182,-0.280360,0.374403,0.483317
9094952787,-0.740182,-0.280363,0.374403,0.483314
9094955289,-0.740182,-0.280367,0.374402,0.483313
9094957792,-0.740183,-0.280368,0.374402,0.483311
9094960295,-0.740184,-0.280368,0.374401,0.483310
9094962797,-0.740185,-0.280367,0.374401,0.483308
9094965300,-0.740187,-0.280366,0.374403,0.483305
9094967803,-0.740179,-0.280360,0.374409,0.483316
9094970306,-0.740172,-0.280355,0.374411,0.483328
9094972808,-0.740163,-0.280352,0.374412,0.483343
9094975311,-0.740153,-0.280348,0.374415,0.483358
9094977814,-0.740142,-0.280344,0.374420,0.483373
9094980317,-0.740133,-0.280338,0.374425,0.483388
9094982819,-0.740124,-0.280333,0.374430,0.483399
9094985322,-0.740116,-0.280329,0.374434,0.483412
9094987825,-0.740106,-0.280325,0.374440,0.483425
9094990328,-0.740096,-0.280320,0.374447,0.483438
9094992831,-0.740085,-0.280315,0.374456,0.483450
9094995333,-0.740076,-0.280308,0.374466,0.483460
9094997836,-0.740067,-0.280301,0.374475,0.483470
9095000339,-0.740060,-0.280294,0.374481,0.483481
9095002842,-0.740053,-0.280286,0.374486,0.483493
9095005344,-0.740046,-0.280278,0.374489,0.483506
9095007847,-0.740038,-0.280273,0.374489,0.483519
9095010349,-0.740030,-0.280270,0.374490,0.483533
9095012853,-0.740023,-0.280264,0.374492,0.483546
9095015355,-0.740016,-0.280258,0.374493,0.483560
9095017858,-0.740016,-0.280258,0.374492,0.483560
9095020361,-0.740015,-0.280259,0.374493,0.483561
9095022863,-0.740013,-0.280261,0.374492,0.483563
9095025366,-0.740013,-0.280263,0.374489,0.483564
9095027869,-0.740015,-0.280261,0.374488,0.483564
9095030372,-0.740017,-0.280259,0.374486,0.483563
9095032874,-0.740019,-0.280257,0.374481,0.483565
9095035377,-0.740023,-0.280253,0.374474,0.483566
9095037880,-0.740025,-0.280248,0.374470,0.483569
9095040383,-0.740026,-0.280243,0.374468,0.483572
9095042885,-0.740026,-0.280237,0.374471,0.483574
9095045388,-0.740025,-0.280231,0.374475,0.483576
9095047891,-0.740024,-0.280228,0.374477,0.483577
9095050394,-0.740025,-0.280226,0.374475,0.483579
9095052896,-0.740027,-0.280224,0.374470,0.483580
9095055399,-0.740029,-0.280224,0.374464,0.483582
9095057902,-0.740030,-0.280224,0.374462,0.483581
9095060405,-0.740033,-0.280223,0.374457,0.483583
9095062908,-0.740034,-0.280221,0.374455,0.483583
9095065411,-0.740035,-0.280217,0.374454,0.483585
9095067914,-0.740035,-0.280214,0.374454,0.483586
9095070417,-0.740035,-0.280213,0.374453,0.483587
9095072920,-0.740036,-0.280212,0.374451,0.483588
9095075422,-0.740038,-0.280212,0.374446,0.483588
9095077925,-0.740041,-0.280209,0.374443,0.483588
9095080428,-0.740044,-0.280207,0.374440,0.483587
9095082931,-0.740045,-0.280204,0.374440,0.483587
9095085434,-0.740046,-0.280203,0.374439,0.483587
9095087936,-0.740048,-0.280204,0.374437,0.483586
9095090439,-0.740049,-0.280204,0.374435,0.483585
9095092941,-0.740051,-0.280202,0.374432,0.483586
9095095444,-0.740054,-0.280197,0.374429,0.483586
9095097947,-0.740056,-0.280196,0.374426,0.483586
9095100450,-0.740056,-0.280198,0.374423,0.483586
9095102953,-0.740056,-0.280202,0.374422,0.483586
9095105455,-0.740056,-0.280205,0.374419,0.483586
9095107958,-0.740058,-0.280205,0.374416,0.483586
9095110461,-0.740059,-0.280205,0.374412,0.483587
9095112963,-0.740060,-0.280204,0.374408,0.483589
9095115466,-0.740063,-0.280203,0.374403,0.483589
9095117969,-0.740067,-0.280204,0.374397,0.483587
9095120471,-0.740069,-0.280205,0.374392,0.483586
9095122974,-0.740072,-0.280206,0.374388,0.483586
9095125480,-0.740073,-0.280205,0.374387,0.483586
9095127980,-0.740072,-0.280205,0.374386,0.483588
