Timestamp (us),Percentage (%),Power (dBm)
9095838857,90.000000,-55.000000
9096839952,92.000000,-54.000000
9097836042,76.000000,-62.000000
9098837139,90.000000,-55.000000
9099838236,80.000000,-60.000000
9100841833,88.000000,-56.000000
9101847969,78.000000,-61.000000
9102839021,98.000000,-51.000000
9103837615,98.000000,-51.000000
9104846220,92.000000,-54.000000
9105837133,88.000000,-56.000000
9106830925,100.000000,-50.000000
9107836995,100.000000,-47.000000
9108835591,74.000000,-63.000000
9109844302,92.000000,-54.000000
9110830274,78.000000,-61.000000
9111838879,100.000000,-46.000000
9112829964,82.000000,-59.000000
9113841081,96.000000,-52.000000
9114841168,86.000000,-57.000000
9115825780,80.000000,-60.000000
9116849368,82.000000,-59.000000
