Timestamp (us),Temperature (degC)
9095570963,30.125000
9096572059,30.200001
9097573154,30.225000
9098574252,30.125000
9099575348,30.125000
9100576443,30.225000
9101577539,30.200001
9102578636,30.150000
9103579732,30.250000
9104580830,30.250000
9105581925,30.250000
9106583022,30.250000
9107584119,30.250000
9108585215,30.250000
9109586313,30.250000
9110587408,30.250000
9111588505,30.200001
9112589601,30.125000
9113590700,30.125000
9114591796,30.225000
9115592891,30.250000
9116593988,30.250000
9117595084,30.250000
