Timestamp (us),Percentage (%),Voltage (V),Charging Status
9467949609,82.403564,3.824036,0.000000
9468950142,82.392815,3.823928,0.000000
9469950676,82.399521,3.823995,0.000000
9470951207,82.386108,3.823861,0.000000
9471951738,82.382080,3.823821,0.000000
9472952269,82.386093,3.823861,0.000000
9473952800,82.375351,3.823753,0.000000
9474953334,82.382072,3.823821,0.000000
9475953865,82.353874,3.823539,0.000000
9476954397,82.369980,3.823700,0.000000
9477954932,82.356560,3.823565,0.000000
9478955465,82.348511,3.823485,0.000000
9479955996,82.345825,3.823458,0.000000
9480956532,82.371330,3.823713,0.000000
9481957106,82.349838,3.823498,0.000000
9482957637,82.341797,3.823418,0.000000
9483958168,82.345818,3.823458,0.000000
9484958699,82.340439,3.823404,0.000000
9485959232,82.322983,3.823230,0.000000
9486959764,82.316269,3.823163,0.000000
9487960296,82.331055,3.823310,0.000000
9488960827,82.339111,3.823391,0.000000
9489961358,82.305527,3.823055,0.000000
9490961892,82.300156,3.823001,0.000000
9491962423,82.296127,3.822961,0.000000
9492962954,82.313591,3.823136,0.000000
9493963485,82.289429,3.822894,0.000000
9494964016,82.289421,3.822894,0.000000
9495964546,82.285400,3.822854,0.000000
9496965086,82.282715,3.822827,0.000000
9497965616,82.269272,3.822693,0.000000
9498966147,82.267944,3.822679,0.000000
9499966679,82.265244,3.822652,0.000000
9500967210,82.265244,3.822652,0.000000
9501967741,82.281372,3.822814,0.000000
9502968274,82.266586,3.822666,0.000000
9503968830,82.242432,3.822424,0.000000
9504969361,82.255844,3.822559,0.000000
9505969891,82.253166,3.822531,0.000000
9506970425,82.265251,3.822652,0.000000
9507970961,82.241074,3.822411,0.000000
9508971492,82.238396,3.822384,0.000000
9509972023,82.249130,3.822491,0.000000
9510972556,82.227654,3.822276,0.000000
9511973088,82.246460,3.822465,0.000000
9512973621,82.237045,3.822371,0.000000
9513974155,82.215569,3.822156,0.000000
9514974686,82.230331,3.822303,0.000000
9515975217,82.216904,3.822169,0.000000
9516975750,82.207512,3.822075,0.000000
9517976280,82.188721,3.821887,0.000000
9518976811,82.210205,3.822102,0.000000
9519977343,82.183334,3.821833,0.000000
9520977873,82.194077,3.821941,0.000000
9521978406,82.200790,3.822008,0.000000
9522978942,82.196762,3.821968,0.000000
9523979472,82.177963,3.821780,0.000000
9524980005,82.180649,3.821807,0.000000
9525980536,82.187370,3.821873,0.000000
9526981067,82.180649,3.821807,0.000000
9527981597,82.192734,3.821927,0.000000
9528982131,82.157822,3.821578,0.000000
9529982705,82.167229,3.821672,0.000000
9530983235,82.163208,3.821632,0.000000
9531983765,82.153793,3.821538,0.000000
9532984297,82.172600,3.821726,0.000000
9533984828,82.147079,3.821471,0.000000
9534985361,82.160522,3.821605,0.000000
9535985891,82.133652,3.821337,0.000000
9536986427,82.157822,3.821578,0.000000
9537986963,82.140373,3.821404,0.000000
9538987494,82.161858,3.821619,0.000000
9539988025,82.143059,3.821431,0.000000
9540988558,82.132309,3.821323,0.000000
9541989089,82.134995,3.821350,0.000000
9542989621,82.122910,3.821229,0.000000
9543990154,82.121567,3.821216,0.000000
9544990685,82.117554,3.821175,0.000000
9545991216,82.096062,3.820961,0.000000
9546991747,82.104111,3.821041,0.000000
9547992283,82.101425,3.821014,0.000000
9548992818,82.097397,3.820974,0.000000
9549993348,82.075912,3.820759,0.000000
9550993882,82.089340,3.820894,0.000000
9551994413,82.074570,3.820745,0.000000
9552994949,82.067856,3.820678,0.000000
9553995481,82.066513,3.820665,0.000000
9554996012,82.065170,3.820652,0.000000
9555996545,82.062485,3.820625,0.000000
9556997079,82.057114,3.820571,0.000000
9557997611,82.055771,3.820558,0.000000
9558998143,82.049065,3.820490,0.000000
9559998675,82.065170,3.820652,0.000000
9560999239,82.046371,3.820464,0.000000
9561999773,82.050400,3.820504,0.000000
9563000305,82.054443,3.820544,0.000000
9564000838,82.039658,3.820397,0.000000
9565001368,82.059799,3.820598,0.000000
9566001898,82.039658,3.820396,0.000000
9567002429,82.031609,3.820316,0.000000
9568002960,82.019524,3.820195,0.000000
9569003492,82.035645,3.820356,0.000000
