Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
9466980718,-0.140634,0.919460,-0.480036
9467001335,-0.042634,0.870460,-0.578036
9467021951,-0.042634,0.772460,-0.529036
9467042569,-0.140634,0.968460,-0.578036
9467063185,-0.091634,0.870460,-0.578036
9467083803,-0.140634,0.919460,-0.480036
9467104419,-0.091634,0.870460,-0.480036
9467125037,-0.042634,0.870460,-0.578036
9467145653,-0.091634,0.919460,-0.529036
9467166273,-0.042634,0.821460,-0.529036
9467186893,-0.140634,0.870460,-0.578036
9467207508,-0.140634,0.919460,-0.529036
9467228124,-0.091634,0.919460,-0.529036
9467248740,-0.140634,0.919460,-0.480036
9467269354,-0.189634,0.919460,-0.529036
9467289967,-0.042634,0.919460,-0.529036
9467310580,-0.042634,0.870460,-0.480036
9467331196,-0.042634,0.870460,-0.529036
9467351814,-0.042634,0.919460,-0.529036
9467372432,-0.042634,0.919460,-0.529036
9467393049,-0.042634,0.919460,-0.676036
9467413669,-0.042634,0.821460,-0.578036
9467434288,-0.042634,0.919460,-0.627036
9467454906,-0.091634,0.821460,-0.627036
9467475524,-0.042634,0.870460,-0.529036
9467496141,-0.091634,0.870460,-0.480036
9467516758,-0.042634,0.821460,-0.529036
9467537376,-0.091634,0.919460,-0.529036
9467557998,-0.091634,0.968460,-0.578036
9467578621,-0.042634,0.870460,-0.529036
9467599241,-0.042634,0.919460,-0.480036
9467619863,-0.091634,0.870460,-0.529036
9467640483,-0.091634,0.919460,-0.529036
9467661106,-0.042634,0.870460,-0.578036
9467681726,0.006366,0.870460,-0.529036
9467702348,-0.042634,0.968460,-0.529036
9467722969,-0.140634,0.919460,-0.578036
9467743591,-0.091634,0.919460,-0.578036
9467764213,-0.091634,0.870460,-0.480036
9467784834,-0.091634,0.870460,-0.480036
9467805455,0.006366,0.870460,-0.578036
9467826077,-0.042634,0.919460,-0.480036
9467846698,0.006366,0.821460,-0.578036
9467867317,-0.140634,0.821460,-0.578036
9467887935,-0.091634,0.919460,-0.627036
9467908553,-0.042634,0.870460,-0.578036
9467929170,-0.140634,0.919460,-0.578036
9467949786,-0.140634,0.968460,-0.627036
9467970404,-0.091634,0.968460,-0.627036
9467991024,-0.042634,0.919460,-0.578036
9468011642,-0.091634,0.919460,-0.480036
9468032261,-0.091634,0.968460,-0.578036
9468052880,-0.042634,0.870460,-0.529036
9468073499,-0.042634,0.919460,-0.578036
9468094117,-0.091634,0.919460,-0.529036
9468114736,-0.091634,0.919460,-0.480036
9468135355,-0.091634,0.919460,-0.529036
9468155974,0.006366,0.821460,-0.529036
9468176592,-0.091634,0.870460,-0.431036
9468197211,-0.140634,0.919460,-0.529036
9468217829,-0.042634,0.919460,-0.578036
9468238447,-0.042634,0.968460,-0.529036
9468259066,-0.042634,0.968460,-0.431036
9468279684,-0.042634,0.821460,-0.529036
9468300302,-0.042634,0.919460,-0.529036
9468320921,-0.091634,0.919460,-0.480036
9468341539,0.006366,0.968460,-0.529036
9468362156,-0.091634,0.919460,-0.480036
9468382771,0.006366,0.968460,-0.431036
9468403391,-0.042634,0.919460,-0.431036
9468424013,-0.042634,0.919460,-0.333036
9468444635,-0.042634,0.968460,-0.529036
9468465258,-0.042634,0.968460,-0.333036
9468485880,0.006366,0.968460,-0.480036
9468506502,-0.042634,0.919460,-0.431036
9468527123,-0.042634,0.919460,-0.382036
9468547746,0.006366,0.919460,-0.284036
9468568369,-0.091634,0.870460,-0.382036
9468588991,-0.042634,0.968460,-0.382036
9468609611,0.006366,0.919460,-0.382036
9468630229,-0.091634,1.017460,-0.333036
9468650846,-0.091634,0.968460,-0.431036
9468671465,0.006366,0.870460,-0.382036
9468692083,-0.189634,0.968460,-0.382036
9468712701,-0.091634,0.919460,-0.431036
9468733319,-0.042634,0.919460,-0.578036
9468753936,-0.091634,1.017460,-0.627036
9468774553,-0.189634,1.017460,-0.480036
9468795170,-0.189634,0.919460,-0.480036
9468815789,-0.189634,0.968460,-0.627036
9468836412,-0.042634,0.870460,-0.676036
9468857033,-0.042634,0.772460,-0.627036
9468877655,-0.091634,0.821460,-0.725036
9468898277,-0.189634,0.821460,-0.823036
9468918899,-0.091634,0.723460,-0.872036
9468939522,-0.189634,0.870460,-1.019036
9468960145,-0.140634,0.870460,-0.970036
9468980769,-0.091634,0.821460,-0.823036
9469001392,-0.042634,0.821460,-0.872036
9469022015,-0.140634,0.772460,-0.823036
9469042639,-0.238634,0.821460,-0.872036
9469063262,-0.091634,0.821460,-0.774036
9469083886,-0.091634,0.723460,-0.676036
9469104509,-0.091634,0.723460,-0.774036
9469125133,-0.189634,0.723460,-0.725036
9469145756,-0.189634,0.723460,-0.774036
9469166380,-0.238634,0.772460,-0.774036
9469187003,-0.091634,0.723460,-0.823036
9469207625,-0.140634,0.723460,-0.823036
9469228248,-0.091634,0.674460,-0.774036
9469248872,-0.189634,0.576460,-0.823036
9469269496,-0.140634,0.772460,-0.970036
9469290119,-0.042634,0.772460,-0.921036
9469310742,-0.140634,0.772460,-0.970036
9469331367,-0.140634,0.821460,-0.970036
9469351992,-0.091634,0.821460,-1.019036
9469372617,-0.140634,0.870460,-1.068036
9469393240,-0.238634,0.870460,-0.823036
9469413865,-0.140634,0.919460,-0.774036
9469434489,0.006366,0.919460,-0.627036
9469455114,-0.091634,0.870460,-0.578036
9469475737,-0.042634,0.870460,-0.480036
9469496361,-0.042634,0.919460,-0.529036
9469516985,-0.042634,0.968460,-0.578036
9469537606,-0.042634,0.919460,-0.480036
9469558226,-0.091634,1.017460,-0.431036
9469578846,-0.042634,0.919460,-0.480036
9469599468,0.006366,0.870460,-0.382036
9469620091,0.006366,0.870460,-0.529036
9469640713,-0.042634,0.821460,-0.529036
9469661335,-0.091634,0.919460,-0.578036
9469681957,-0.140634,0.919460,-0.529036
9469702580,-0.091634,0.870460,-0.578036
9469723202,-0.042634,1.017460,-0.529036
9469743822,-0.091634,0.870460,-0.578036
9469764444,-0.140634,0.870460,-0.578036
9469785067,-0.091634,0.919460,-0.627036
9469805689,0.006366,0.919460,-0.774036
9469826312,-0.091634,0.919460,-0.676036
9469846934,-0.042634,0.870460,-0.578036
9469867557,-0.140634,0.870460,-0.627036
9469888178,-0.140634,0.968460,-0.480036
9469908800,0.006366,0.870460,-0.529036
9469929423,-0.091634,0.968460,-0.529036
9469950046,-0.042634,0.919460,-0.480036
9469970669,0.006366,0.821460,-0.578036
9469991288,-0.091634,0.968460,-0.578036
9470011906,0.006366,0.919460,-0.578036
9470032525,-0.091634,0.919460,-0.529036
9470053144,-0.140634,0.968460,-0.431036
9470073763,-0.091634,0.968460,-0.480036
9470094381,-0.091634,0.968460,-0.480036
9470115001,-0.042634,0.821460,-0.382036
9470135622,-0.091634,0.870460,-0.431036
9470156247,-0.091634,0.968460,-0.578036
9470176863,-0.042634,0.919460,-0.529036
9470197482,-0.091634,0.821460,-0.627036
9470218101,-0.140634,0.772460,-0.725036
9470238719,-0.189634,0.919460,-0.725036
9470259338,-0.140634,0.870460,-0.872036
9470279959,-0.140634,0.821460,-0.921036
9470300582,-0.189634,0.772460,-0.970036
9470321206,-0.189634,0.821460,-0.921036
9470341829,-0.189634,0.821460,-0.725036
9470362451,-0.091634,0.821460,-0.921036
9470383074,-0.091634,0.821460,-0.774036
9470403698,-0.140634,0.772460,-0.774036
9470424320,-0.189634,0.821460,-0.774036
9470444943,-0.091634,0.821460,-0.823036
9470465567,-0.140634,0.772460,-0.774036
9470486190,-0.091634,0.821460,-0.774036
9470506813,-0.238634,0.821460,-0.921036
9470527435,-0.189634,0.772460,-0.774036
9470548057,-0.238634,0.723460,-0.774036
9470568678,-0.140634,0.723460,-0.823036
9470589301,-0.091634,0.723460,-0.970036
9470609921,-0.091634,0.723460,-0.872036
9470630539,-0.140634,0.772460,-0.823036
9470651157,-0.189634,0.723460,-0.823036
9470671774,-0.238634,0.723460,-0.823036
9470692393,-0.189634,0.821460,-0.823036
9470713011,-0.091634,0.772460,-0.921036
9470733630,-0.238634,0.870460,-0.921036
9470754248,-0.091634,0.772460,-1.019036
