Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9466975832,8.322610,2.885722,0.063990,-0.035805,0.968142,-0.228622
9466978332,8.506625,2.519036,0.186043,-0.030642,0.958743,-0.231547
9466980831,8.569981,1.845854,0.430101,-0.028438,0.955857,-0.231554
9466983331,8.451807,0.866177,0.735075,-0.021182,0.955917,-0.236666
9466985831,8.152100,-0.419995,1.100968,-0.016809,0.953774,-0.239588
9466988330,7.671125,-2.073419,1.405608,-0.010952,0.948742,-0.238877
9466990830,7.008173,-3.910853,1.710137,-0.006586,0.948055,-0.238161
9466993329,6.345666,-5.870771,2.075694,-0.003676,0.948083,-0.235259
9466995829,5.561611,-7.892218,2.441201,-0.002194,0.944463,-0.236718
9466998329,4.777770,-9.975002,2.867758,-0.004380,0.945900,-0.233074
9467000828,3.933056,-12.057786,3.233227,-0.005075,0.942262,-0.233073
9467003328,3.088819,-14.262665,3.537578,-0.006519,0.940795,-0.235252
9467005828,2.243907,-16.283918,3.780923,-0.006536,0.942245,-0.238162
9467008327,1.458964,-18.060394,4.024374,-0.008014,0.944407,-0.242523
9467010827,0.855551,-19.530378,4.206907,-0.013829,0.944353,-0.244690
9467013327,0.373210,-20.816736,4.450610,-0.018160,0.939951,-0.251227
9467015827,-0.109789,-21.919270,4.572234,-0.023291,0.944259,-0.256306
9467018326,-0.532360,-22.899323,4.693919,-0.029848,0.945650,-0.260654
9467020826,-0.834304,-23.573265,4.815744,-0.034952,0.947054,-0.265005
9467023326,-1.076034,-24.063387,4.876579,-0.040812,0.951354,-0.271538
9467025825,-1.318883,-24.247395,4.815382,-0.044481,0.954220,-0.278803
9467028325,-1.562422,-24.247967,4.754251,-0.043102,0.960760,-0.289720
9467030825,-1.685350,-23.942621,4.754337,-0.038783,0.964425,-0.294825
9467033324,-1.687635,-23.330973,4.693491,-0.040239,0.964410,-0.297004
9467035824,-1.630167,-22.413214,4.571699,-0.040946,0.960035,-0.308643
9467038324,-1.573159,-21.373161,4.449953,-0.032262,0.963013,-0.313760
9467040823,-1.455706,-20.210434,4.267193,-0.018496,0.966764,-0.315979
9467043323,-1.339174,-18.803127,4.084524,-0.013462,0.972618,-0.316720
9467045823,-1.222872,-17.334673,3.901877,-0.010548,0.971919,-0.315273
9467048322,-1.107015,-15.743734,3.658203,-0.004731,0.971974,-0.311651
9467050822,-0.929824,-14.275089,3.475571,-0.000452,0.982185,-0.305841
9467053322,-0.813308,-12.867974,3.353976,0.001029,0.980025,-0.300024
9467055821,-0.635689,-11.522006,3.293444,0.002501,0.979319,-0.292025
9467058321,-0.335848,-10.298141,3.293970,0.002459,0.985864,-0.282566
9467060821,0.086000,-9.135038,3.294501,0.001793,0.981513,-0.268012
9467063320,0.447190,-8.033274,3.294995,-0.001088,0.981501,-0.252725
9467065820,0.747904,-7.054570,3.478649,-0.001792,0.981508,-0.238172
9467068320,0.987975,-6.137011,3.601194,-0.009035,0.981456,-0.225056
9467070819,1.472029,-5.341363,3.845896,-0.014819,0.980691,-0.211216
9467073319,2.078337,-4.667431,4.029508,-0.020606,0.980653,-0.195921
9467075819,2.867954,-4.176943,4.396314,-0.020587,0.980664,-0.184280
9467078318,3.597357,-3.870275,4.824111,-0.018376,0.977053,-0.183559
9467080818,4.266545,-3.747429,5.312900,-0.022664,0.969755,-0.179182
9467083318,5.057742,-3.685345,5.801693,-0.026313,0.971903,-0.177717
9467085817,5.910319,-3.744975,6.168309,-0.023361,0.966847,-0.176270
9467088317,6.824706,-4.048995,6.534848,-0.021881,0.963225,-0.179185
9467090817,7.740046,-4.597210,6.779149,-0.021853,0.961052,-0.173364
9467093316,8.412978,-5.451918,7.023280,-0.020366,0.955975,-0.179917
9467095816,8.843279,-6.551972,7.267263,-0.018869,0.950174,-0.184287
9467098316,9.091390,-7.774697,7.450085,-0.016658,0.945832,-0.187931
9467100815,9.096159,-9.059525,7.693902,-0.010134,0.945882,-0.196680
9467103315,8.857175,-10.283586,7.815537,-0.007168,0.939373,-0.194505
9467105815,8.313976,-11.569748,7.937079,-0.010058,0.937166,-0.196680
9467108314,7.527225,-12.856675,8.058564,-0.005734,0.940105,-0.202513
9467110814,6.618448,-14.083033,8.241117,-0.009396,0.942975,-0.205413
9467113314,5.526331,-15.126333,8.362623,-0.011597,0.945133,-0.206862
9467115814,4.372174,-15.864098,8.484228,-0.016695,0.947271,-0.203210
9467118313,3.217113,-16.357086,8.544851,-0.024736,0.952280,-0.207554
9467120813,2.000257,-16.605492,8.544477,-0.025464,0.953002,-0.204641
9467123313,0.843387,-16.608932,8.483135,-0.031353,0.960935,-0.209718
9467125812,-0.009286,-16.550463,8.482960,-0.036448,0.962344,-0.208249
9467128312,-0.741102,-16.247030,8.482904,-0.035035,0.966714,-0.208980
9467130811,-1.169133,-15.758816,8.360841,-0.030693,0.968202,-0.211902
9467133311,-1.415648,-14.964303,8.238933,-0.028571,0.974758,-0.211907
9467135811,-1.296798,-14.168256,7.994963,-0.027907,0.981298,-0.215546
9467138310,-0.934394,-13.371445,7.751050,-0.025742,0.982038,-0.220645
9467140810,-0.389093,-12.635204,7.507156,-0.026478,0.982756,-0.222826
9467143310,0.279104,-12.204697,7.385324,-0.025747,0.982036,-0.223556
9467145809,1.009111,-12.018579,7.263415,-0.025761,0.983488,-0.224283
9467148309,1.740253,-12.138382,7.202466,-0.023630,0.987128,-0.235202
9467150807,2.167181,-12.320289,7.141424,-0.028003,0.987081,-0.244649
9467153307,2.533664,-12.624868,7.141395,-0.027217,0.979823,-0.246834
9467155807,2.778600,-12.990976,7.141315,-0.022134,0.979137,-0.251941
9467158306,2.780227,-13.418801,7.080083,-0.022834,0.975497,-0.254850
9467160807,2.720981,-13.846624,6.957762,-0.023562,0.975489,-0.256303
9467163306,2.357061,-14.214257,6.835394,-0.026446,0.973286,-0.254113
9467165805,1.992681,-14.459599,6.713072,-0.027169,0.972552,-0.256294
9467168305,1.384532,-14.644367,6.529642,-0.027908,0.973998,-0.256292
9467170805,0.653914,-14.646082,6.346252,-0.025723,0.973291,-0.256297
9467173304,-0.199401,-14.403595,6.162925,-0.030811,0.973973,-0.254829
9467175804,-1.053407,-13.977674,5.979666,-0.033688,0.970315,-0.256276
9467178304,-1.847231,-13.368316,5.857563,-0.038047,0.971736,-0.248989
9467180804,-2.519245,-12.758190,5.613341,-0.038050,0.971734,-0.250444
9467183303,-2.947259,-12.269786,5.430203,-0.039522,0.973170,-0.254805
9467185803,-3.193529,-11.536223,5.247200,-0.033757,0.979034,-0.251910
9467188303,-3.318266,-10.741328,5.125319,-0.039561,0.978987,-0.247529
9467190802,-3.199893,-9.823182,4.942469,-0.039542,0.978268,-0.239525
9467193302,-2.959742,-8.904656,4.759646,-0.037965,0.965214,-0.232982
9467195801,-2.597568,-8.046700,4.515756,-0.043830,0.970971,-0.234421
9467198301,-2.235377,-7.188549,4.210792,-0.043862,0.975332,-0.230783
9467200801,-1.812314,-6.330401,3.966916,-0.042330,0.966632,-0.228605
9467203300,-1.267473,-5.471870,3.723068,-0.044512,0.967341,-0.226416
9467205800,-0.783291,-4.674676,3.479182,-0.053245,0.969444,-0.224937
9467208300,-0.299077,-3.877095,3.113151,-0.051053,0.968741,-0.220578
9467210799,-0.058649,-3.019133,2.747085,-0.056150,0.971609,-0.212561
9467213299,0.182423,-2.345188,2.564172,-0.059802,0.974485,-0.208913
9467215799,0.240844,-1.671623,2.320142,-0.059820,0.977394,-0.204547
9467218298,0.299479,-1.059397,2.137164,-0.060511,0.974488,-0.197997
9467220798,0.236352,-0.447360,1.893083,-0.063385,0.970831,-0.197989
9467223298,0.113242,-0.080289,1.709971,-0.055391,0.970174,-0.199466
9467225798,-0.131202,0.163915,1.587859,-0.059018,0.970145,-0.196546
9467228297,-0.435844,0.224491,1.465664,-0.058996,0.967968,-0.194364
9467230797,-0.801343,0.285263,1.221308,-0.057510,0.965810,-0.185637
9467233297,-1.105723,0.285081,0.976944,-0.059696,0.966517,-0.185631
9467235796,-1.410103,0.284899,0.732580,-0.053197,0.970202,-0.190013
9467238296,-1.592491,0.223760,0.549294,-0.053186,0.968748,-0.191469
9467240796,-1.713991,0.162812,0.366023,-0.047450,0.976785,-0.195122
9467243295,-1.774617,0.101862,0.243840,-0.048953,0.983313,-0.190752
9467245795,-1.774339,0.041297,0.060597,-0.051131,0.983294,-0.190018
9467248295,-1.713451,0.041488,0.060611,-0.054082,0.986892,-0.198741
9467250794,-1.591689,0.041677,0.121712,-0.049776,0.992739,-0.200207
